  #K-Path    Energy        Bi        As
# NKPTS & NBANDS:  80  77
# Band-Index:    1
    0.000  -35.7179     0.000     0.998
    0.022  -35.7179     0.000     0.998
    0.044  -35.7179     0.000     0.998
    0.066  -35.7179     0.000     0.998
    0.088  -35.7179     0.000     0.998
    0.110  -35.7179     0.000     0.998
    0.132  -35.7179     0.000     0.998
    0.154  -35.7179     0.000     0.998
    0.176  -35.7179     0.000     0.998
    0.198  -35.7180     0.000     0.998
    0.220  -35.7180     0.000     0.998
    0.242  -35.7180     0.000     0.998
    0.264  -35.7180     0.000     0.998
    0.286  -35.7180     0.000     0.998
    0.308  -35.7180     0.000     0.998
    0.330  -35.7180     0.000     0.998
    0.352  -35.7180     0.000     0.998
    0.374  -35.7180     0.000     0.998
    0.396  -35.7180     0.000     0.998
    0.418  -35.7180     0.000     0.998
    0.418  -35.7180     0.000     0.998
    0.465  -35.7180     0.000     0.998
    0.511  -35.7180     0.000     0.998
    0.558  -35.7180     0.000     0.998
    0.605  -35.7180     0.000     0.998
    0.652  -35.7179     0.000     0.998
    0.698  -35.7179     0.000     0.998
    0.745  -35.7179     0.000     0.998
    0.792  -35.7179     0.000     0.998
    0.838  -35.7178     0.000     0.998
    0.885  -35.7178     0.000     0.998
    0.932  -35.7178     0.000     0.998
    0.978  -35.7178     0.000     0.998
    1.025  -35.7177     0.000     0.998
    1.072  -35.7177     0.000     0.998
    1.118  -35.7177     0.000     0.998
    1.165  -35.7177     0.000     0.998
    1.212  -35.7177     0.000     0.998
    1.258  -35.7177     0.000     0.998
    1.305  -35.7177     0.000     0.998
    1.305  -35.7177     0.000     0.998
    1.352  -35.7177     0.000     0.998
    1.399  -35.7177     0.000     0.998
    1.445  -35.7177     0.000     0.998
    1.492  -35.7177     0.000     0.998
    1.539  -35.7177     0.000     0.998
    1.585  -35.7177     0.000     0.998
    1.632  -35.7178     0.000     0.998
    1.679  -35.7178     0.000     0.998
    1.725  -35.7178     0.000     0.998
    1.772  -35.7178     0.000     0.998
    1.819  -35.7179     0.000     0.998
    1.865  -35.7179     0.000     0.998
    1.912  -35.7179     0.000     0.998
    1.959  -35.7179     0.000     0.998
    2.005  -35.7180     0.000     0.998
    2.052  -35.7180     0.000     0.998
    2.099  -35.7180     0.000     0.998
    2.145  -35.7180     0.000     0.998
    2.192  -35.7180     0.000     0.998
    2.192  -35.7180     0.000     0.998
    2.233  -35.7180     0.000     0.998
    2.275  -35.7180     0.000     0.998
    2.316  -35.7180     0.000     0.998
    2.357  -35.7180     0.000     0.998
    2.398  -35.7180     0.000     0.998
