  #K-Path    Energy        Bi        As
# NKPTS & NBANDS:  80  77
# Band-Index:    1
    0.000  -35.8302     0.000     0.998
    0.024  -35.8302     0.000     0.998
    0.048  -35.8302     0.000     0.998
    0.071  -35.8302     0.000     0.998
    0.095  -35.8302     0.000     0.998
    0.119  -35.8303     0.000     0.998
    0.143  -35.8303     0.000     0.998
    0.166  -35.8303     0.000     0.998
    0.190  -35.8303     0.000     0.998
    0.214  -35.8303     0.000     0.998
    0.238  -35.8303     0.000     0.998
    0.261  -35.8303     0.000     0.998
    0.285  -35.8304     0.000     0.998
    0.309  -35.8304     0.000     0.998
    0.333  -35.8304     0.000     0.998
    0.357  -35.8304     0.000     0.998
    0.380  -35.8304     0.000     0.998
    0.404  -35.8304     0.000     0.998
    0.428  -35.8304     0.000     0.998
    0.452  -35.8304     0.000     0.998
    0.452  -35.8304     0.000     0.998
    0.498  -35.8304     0.000     0.998
    0.544  -35.8304     0.000     0.998
    0.590  -35.8304     0.000     0.998
    0.636  -35.8304     0.000     0.998
    0.682  -35.8303     0.000     0.998
    0.729  -35.8303     0.000     0.998
    0.775  -35.8303     0.000     0.998
    0.821  -35.8302     0.000     0.998
    0.867  -35.8302     0.000     0.998
    0.913  -35.8302     0.000     0.998
    0.960  -35.8302     0.000     0.998
    1.006  -35.8301     0.000     0.998
    1.052  -35.8301     0.000     0.998
    1.098  -35.8301     0.000     0.998
    1.144  -35.8301     0.000     0.998
    1.190  -35.8300     0.000     0.998
    1.237  -35.8300     0.000     0.998
    1.283  -35.8300     0.000     0.998
    1.329  -35.8300     0.000     0.999
    1.329  -35.8300     0.000     0.998
    1.375  -35.8300     0.000     0.998
    1.421  -35.8300     0.000     0.998
    1.467  -35.8300     0.000     0.998
    1.514  -35.8301     0.000     0.998
    1.560  -35.8301     0.000     0.998
    1.606  -35.8301     0.000     0.998
    1.652  -35.8301     0.000     0.998
    1.698  -35.8302     0.000     0.998
    1.745  -35.8302     0.000     0.998
    1.791  -35.8302     0.000     0.998
    1.837  -35.8302     0.000     0.998
    1.883  -35.8303     0.000     0.998
    1.929  -35.8303     0.000     0.998
    1.975  -35.8303     0.000     0.998
    2.022  -35.8304     0.000     0.998
    2.068  -35.8304     0.000     0.998
    2.114  -35.8304     0.000     0.998
    2.160  -35.8304     0.000     0.998
    2.206  -35.8304     0.000     0.998
    2.206  -35.8304     0.000     0.998
    2.246  -35.8304     0.000     0.998
    2.285  -35.8304     0.000     0.998
    2.325  -35.8304     0.000     0.998
    2.365  -35.8304     0.000     0.998
    2.404  -35.8304     0.000     0.998
    2.444  -35.8303     0.000     0.998
    2.483  -35.8303     0.000     0.998
    2.523  -35.8303     0.000     0.998
    2.563  -35.8303     0.000     0.998
    2.602  -35.8303     0.000     0.998
    2.642  -35.8302     0.000     0.998
    2.681  -35.8302     0.000     0.998
    2.721  -35.8302     0.000     0.998
    2.761  -35.8301     0.000     0.998
    2.800  -35.8301     0.000     0.998
    2.840  -35.8301     0.000     0.998
    2.879  -35.8301     0.000     0.998
    2.919  -35.8301     0.000     0.998
    2.958  -35.8300     0.000     0.998
 
# Band-Index:    2
    2.958  -35.8300     0.000     0.998
    2.919  -35.8300     0.000     0.998
    2.879  -35.8300     0.000     0.998
    2.840  -35.8300     0.000     0.998
    2.800  -35.8301     0.000     0.998
    2.761  -35.8301     0.000     0.998
    2.721  -35.8301     0.000     0.998
    2.681  -35.8302     0.000     0.998
    2.642  -35.8302     0.000     0.998
    2.602  -35.8302     0.000     0.998
    2.563  -35.8303     0.000     0.998
    2.523  -35.8303     0.000     0.998
    2.483  -35.8303     0.000     0.998
    2.444  -35.8303     0.000     0.998
    2.404  -35.8304     0.000     0.998
    2.365  -35.8304     0.000     0.998
    2.325  -35.8304     0.000     0.998
    2.285  -35.8304     0.000     0.998
    2.246  -35.8304     0.000     0.998
    2.206  -35.8304     0.000     0.998
    2.206  -35.8304     0.000     0.998
    2.160  -35.8304     0.000     0.998
