#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  44
# Band-Index:    1
   0.00000    -35.619481  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.05069    -35.619478  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.10137    -35.619477  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.15206    -35.619473  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.20275    -35.619471  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.25343    -35.619475  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.30412    -35.619480  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.35480    -35.619493  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.40549    -35.619500  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.45618    -35.619507  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.50686    -35.619517  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.55755    -35.619527  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.60824    -35.619529  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.999
   0.65892    -35.619535  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.998
   0.70961    -35.619532  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.998
   0.76030    -35.619546  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.998
   0.81098    -35.619548  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.998
   0.86167    -35.619562  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.998
   0.91236    -35.619579  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.998
   0.96304    -35.619573  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.998
   0.96304    -35.619573  0.000  0.000  0.000  0.000  0.407  0.092  0.000  0.092  0.407  0.998
