      #Energy        TDOS
     -37.78810       0.00000
     -37.63010       0.00000
     -37.47310       0.00000
     -37.31510       0.00000
     -37.15810       0.00000
     -37.00010       0.00000
     -36.84310       0.00000
     -36.68510       0.00000
     -36.52810       0.00000
     -36.37010       0.00000
     -36.21310       0.00000
     -36.05510       0.00000
     -35.89810       0.00000
     -35.74010       0.02977
     -35.58310      21.37000
     -35.42510       4.00100
     -35.26810       0.00000
     -35.11010       0.00000
     -34.95310       2.85800
     -34.79510      35.03000
     -34.63810       0.20560
     -34.48010       0.00000
     -34.32310       0.00000
     -34.16510       0.00000
     -34.00810       0.00000
     -33.85010       0.00000
     -33.69310       0.00000
     -33.53510       0.00000
     -33.37810       0.00000
     -33.22010       0.00000
     -33.06310       0.00000
     -32.90610       0.00000
     -32.74810       0.00000
     -32.59110       0.00000
     -32.43310       0.00000
     -32.27610       0.00000
     -32.11810       0.00000
     -31.96110       0.00000
     -31.80310       0.00000
     -31.64610       0.00000
     -31.48810       0.00000
     -31.33110       0.00000
     -31.17310       0.00000
     -31.01610       0.00000
     -30.85810       0.00000
     -30.70110       0.00000
     -30.54310       0.00000
     -30.38610       0.00000
     -30.22810       0.00000
     -30.07110       0.00000
     -29.91310       0.00000
     -29.75610       0.00000
     -29.59810       0.00000
     -29.44110       0.00000
     -29.28310       0.00000
     -29.12610       0.00000
     -28.96810       0.00000
     -28.81110       0.00000
     -28.65310       0.00000
     -28.49610       0.00000
     -28.33810       0.00000
     -28.18110       0.00000
     -28.02310       0.00000
     -27.86610       0.00000
     -27.70810       0.00000
     -27.55110       0.00000
     -27.39310       0.00000
     -27.23610       0.00000
     -27.07810       0.00000
     -26.92110       0.00000
     -26.76310       0.00000
     -26.60610       0.00000
     -26.44810       0.00000
     -26.29110       0.00000
     -26.13310       0.00000
     -25.97610       0.00000
     -25.81810       0.00000
     -25.66110       0.00000
     -25.50310       0.00000
     -25.34610       0.00000
     -25.18810       0.00000
     -25.03110       0.00000
     -24.87310       0.00000
     -24.71610       0.00000
     -24.55810       0.00000
     -24.40110       0.00000
     -24.24310       0.05303
     -24.08610      22.73000
     -23.92810       2.61700
     -23.77110       0.00000
     -23.61310       0.00000
     -23.45610       0.00000
     -23.29810       0.00000
     -23.14110       0.00000
     -22.98310       0.00000
     -22.82610       0.00000
     -22.66910       0.00000
     -22.51110       0.00000
     -22.35410       0.00000
     -22.19610       0.00000
     -22.03910       0.00000
     -21.88110       0.00000
     -21.72410       0.00000
     -21.56610       0.00000
     -21.40910       0.00000
     -21.25110       0.85250
     -21.09410      36.29000
     -20.93610       0.95770
     -20.77910       0.00000
     -20.62110       0.00000
     -20.46410       0.00000
     -20.30610       0.00000
     -20.14910       0.00000
     -19.99110       0.00000
     -19.83410       0.00000
     -19.67610       0.00000
     -19.51910       0.00000
     -19.36110       0.00000
     -19.20410       0.00000
     -19.04610       0.00000
     -18.88910       0.00000
     -18.73110       0.00000
     -18.57410       0.00000
     -18.41610       0.00000
     -18.25910       0.00000
     -18.10110       0.00000
     -17.94410       0.00000
     -17.78610       0.00000
     -17.62910       0.00000
     -17.47110       0.00000
     -17.31410       0.00000
     -17.15610       0.00000
     -16.99910       0.00000
     -16.84110       0.00000
     -16.68410       0.00000
     -16.52610       0.00000
     -16.36910       0.00000
     -16.21110       0.00000
     -16.05410       0.00000
     -15.89610       0.00000
     -15.73910       0.00000
     -15.58110       0.00000
     -15.42410       0.00000
     -15.26610       0.00000
     -15.10910       0.00000
     -14.95110       0.00000
     -14.79410       0.00000
     -14.63610       0.00000
     -14.47910       0.00000
     -14.32110       0.00000
     -14.16410       0.00000
     -14.00610       0.00000
     -13.84910       0.00000
     -13.69110       0.00000
     -13.53410       0.00000
     -13.37610       0.00000
     -13.21910       0.00000
     -13.06110       0.00000
     -12.90410       0.00000
     -12.74710       0.00000
     -12.58910       0.00000
     -12.43210       0.00000
     -12.27410       0.00000
     -12.11710       0.00040
     -11.95910       0.37740
     -11.80210       0.88830
     -11.64410       0.86620
     -11.48710       0.90620
     -11.32910       1.14500
     -11.17210       0.95080
     -11.01410       0.94180
     -10.85710       1.46000
     -10.69910       0.93680
     -10.54210       2.20500
     -10.38410       1.06800
     -10.22710       0.52050
     -10.06910       0.41090
      -9.91210       0.02238
      -9.75410       0.03531
      -9.59710       0.41250
      -9.43910       0.53910
      -9.28210       1.11900
      -9.12410       2.12200
      -8.96710       0.88420
      -8.80910       1.39300
      -8.65210       0.66860
      -8.49410       1.13700
      -8.33710       0.71060
      -8.17910       0.87280
      -8.02210       0.94720
      -7.86410       0.85960
      -7.70710       0.86460
      -7.54910       0.13360
      -7.39210       0.00000
      -7.23410       0.00000
      -7.07710       0.00000
      -6.91910       0.00000
      -6.76210       0.00000
      -6.60410       0.00000
      -6.44710       0.00000
      -6.28910       0.00000
      -6.13210       0.00000
      -5.97410       0.00000
      -5.81710       0.00000
      -5.65910       0.00000
      -5.50210       0.00000
      -5.34410       0.00000
      -5.18710       0.00000
      -5.02910       0.00000
      -4.87210       0.00000
      -4.71410       0.00000
      -4.55710       0.00000
      -4.39910       0.00000
      -4.24210       0.00000
      -4.08410       0.00000
      -3.92710       0.00000
      -3.76910       0.00001
      -3.61210       0.12890
      -3.45410       0.48910
      -3.29710       0.62980
      -3.13910       0.89940
      -2.98210       2.28500
      -2.82510       1.88700
      -2.66710       2.23700
      -2.51010       1.43600
      -2.35210       2.25000
      -2.19510       1.67200
      -2.03710       2.53400
      -1.88010       3.04200
      -1.72210       1.92400
      -1.56510       1.30300
      -1.40710       1.38100
      -1.25010       1.45700
      -1.09210       2.94700
      -0.93510       2.13300
      -0.77710       1.58000
      -0.62010       1.33400
      -0.46210       1.18800
      -0.30510       1.17500
      -0.14710       1.28800
       0.00990       0.90090
       0.16790       0.06499
       0.32490       0.13070
       0.48290       0.04853
       0.63990       0.28380
       0.79790       0.12830
       0.95490       1.08700
       1.11290       1.93700
       1.26990       1.76700
       1.42790       1.71800
       1.58490       0.77190
       1.74290       1.21500
       1.89990       1.94500
       2.05790       2.07000
       2.21490       1.22600
       2.37290       1.80900
       2.52990       2.27200
       2.68790       2.13400
       2.84490       1.62100
       3.00290       4.45600
       3.15990       3.37000
       3.31790       3.19500
       3.47490       4.09700
       3.63290       0.74770
       3.78990       0.00005
       3.94790       0.03356
       4.10490       0.50380
       4.26290       0.65480
       4.41990       0.69890
       4.57790       0.89890
       4.73490       1.47400
       4.89290       2.07000
       5.04990       2.64200
