    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    51   51
    #Band-Index:   19
    0.000000    0.000000   -2.193029   0.257   0.445   0.000
    0.000000    0.030417   -2.161570   0.494   0.000   0.000
    0.000000    0.060835   -2.031587   0.496   0.000   0.000
    0.000000    0.091252   -1.866978   0.507   0.000   0.000
    0.000000    0.121669   -1.696326   0.516   0.000   0.000
    0.000000    0.152087   -1.533428   0.519   0.000   0.000
    0.000000    0.182504   -1.387172   0.516   0.000   0.000
    0.000000    0.212922   -1.263924   0.509   0.000   0.000
    0.000000    0.243339   -1.167712   0.500   0.000   0.000
    0.000000    0.273756   -1.099985   0.488   0.000   0.000
    0.000000    0.304174   -1.059763   0.477   0.000   0.000
    0.000000    0.334591   -1.044251   0.466   0.000   0.000
    0.000001    0.365008   -1.049664   0.457   0.000   0.000
    0.000001    0.395426   -1.071948   0.449   0.000   0.000
    0.000001    0.425843   -1.107258   0.441   0.000   0.000
    0.000001    0.456260   -1.152198   0.434   0.000   0.000
    0.000001    0.486678   -1.203876   0.428   0.000   0.000
    0.000001    0.517095   -1.259811   0.422   0.000   0.000
    0.000001    0.547513   -1.317781   0.417   0.000   0.000
    0.000001    0.577930   -1.375646   0.411   0.000   0.000
    0.000001    0.608347   -1.431183   0.405   0.000   0.000
    0.000001    0.638765   -1.481977   0.400   0.000   0.000
    0.000001    0.669182   -1.525412   0.395   0.000   0.000
    0.000001    0.699599   -1.558805   0.391   0.000   0.000
    0.000001    0.730017   -1.579690   0.386   0.000   0.000
    0.000001    0.760434   -1.586204   0.385   0.000   0.000
   -0.000001   -0.760434   -1.586204  -0.385   0.000   0.000
   -0.000001   -0.730017   -1.579690  -0.386   0.000   0.000
   -0.000001   -0.699599   -1.558805  -0.391   0.000   0.000
   -0.000001   -0.669182   -1.525412  -0.395   0.000   0.000
   -0.000001   -0.638765   -1.481976  -0.400   0.000   0.000
   -0.000001   -0.608347   -1.431183  -0.405   0.000   0.000
   -0.000001   -0.577930   -1.375646  -0.411   0.000   0.000
   -0.000001   -0.547513   -1.317781  -0.417   0.000   0.000
   -0.000001   -0.517095   -1.259811  -0.422   0.000   0.000
   -0.000001   -0.486678   -1.203876  -0.428   0.000   0.000
   -0.000001   -0.456260   -1.152198  -0.434   0.000   0.000
   -0.000001   -0.425843   -1.107257  -0.441   0.000   0.000
   -0.000001   -0.395426   -1.071948  -0.449   0.000   0.000
   -0.000001   -0.365008   -1.049664  -0.457   0.000   0.000
   -0.000000   -0.334591   -1.044251  -0.466   0.000   0.000
   -0.000000   -0.304174   -1.059763  -0.477   0.000   0.000
   -0.000000   -0.273756   -1.099985  -0.488   0.000   0.000
   -0.000000   -0.243339   -1.167712  -0.500   0.000   0.000
   -0.000000   -0.212922   -1.263924  -0.509   0.000   0.000
   -0.000000   -0.182504   -1.387172  -0.516   0.000   0.000
   -0.000000   -0.152087   -1.533428  -0.519   0.000   0.000
   -0.000000   -0.121669   -1.696326  -0.516   0.000   0.000
   -0.000000   -0.091252   -1.866978  -0.507   0.000   0.000
   -0.000000   -0.060835   -2.031587  -0.496   0.000   0.000
   -0.000000   -0.030417   -2.161570  -0.494   0.000   0.000
    0.026342    0.015209   -2.161570   0.246  -0.428   0.000
    0.026342    0.045626   -2.071679   0.428  -0.247  -0.013
    0.026342    0.076043   -1.926855   0.475  -0.165  -0.024
    0.026342    0.106461   -1.762814   0.497  -0.125  -0.034
    0.026342    0.136878   -1.598598   0.507  -0.101  -0.041
    0.026342    0.167296   -1.445531   0.509  -0.086  -0.046
    0.026342    0.197713   -1.311535   0.506  -0.076  -0.050
    0.026342    0.228130   -1.202134   0.498  -0.070  -0.053
    0.026343    0.258548   -1.120333   0.487  -0.067  -0.056
    0.026343    0.288965   -1.066538   0.476  -0.066  -0.058
    0.026343    0.319382   -1.038937   0.463  -0.066  -0.061
    0.026343    0.349800   -1.034265   0.453  -0.068  -0.063
    0.026343    0.380217   -1.048610   0.443  -0.069  -0.066
    0.026343    0.410634   -1.078024   0.434  -0.072  -0.068
    0.026343    0.441052   -1.118894   0.426  -0.075  -0.071
    0.026343    0.471469   -1.168086   0.418  -0.078  -0.075
    0.026343    0.501887   -1.222923   0.410  -0.083  -0.078
    0.026343    0.532304   -1.281059   0.402  -0.090  -0.082
    0.026343    0.562721   -1.340322   0.393  -0.097  -0.086
    0.026343    0.593139   -1.398532   0.383  -0.108  -0.093
    0.026343    0.623556   -1.453377   0.370  -0.123  -0.102
    0.026343    0.653973   -1.502372   0.352  -0.144  -0.116
    0.026343    0.684391   -1.542966   0.324  -0.175  -0.137
    0.026343    0.714808   -1.572861   0.274  -0.219  -0.168
    0.026343    0.745225   -1.590637   0.173  -0.276  -0.209
    0.026343    0.775643   -1.596370   0.000  -0.308  -0.232
    0.026341   -0.745225   -1.590637  -0.173  -0.276  -0.209
    0.026341   -0.714808   -1.572860  -0.274  -0.219  -0.168
    0.026341   -0.684391   -1.542965  -0.324  -0.175  -0.137
    0.026341   -0.653973   -1.502372  -0.352  -0.144  -0.116
    0.026341   -0.623556   -1.453376  -0.370  -0.123  -0.102
    0.026341   -0.593139   -1.398531  -0.383  -0.108  -0.093
    0.026341   -0.562721   -1.340322  -0.393  -0.097  -0.086
    0.026341   -0.532304   -1.281059  -0.402  -0.090  -0.082
    0.026341   -0.501886   -1.222922  -0.410  -0.083  -0.078
    0.026341   -0.471469   -1.168085  -0.418  -0.078  -0.075
    0.026342   -0.441052   -1.118894  -0.426  -0.075  -0.071
    0.026342   -0.410634   -1.078024  -0.434  -0.072  -0.068
    0.026342   -0.380217   -1.048609  -0.443  -0.069  -0.066
