#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 200  33
# Band-Index:    1
   0.00000    -14.950130  0.000  0.000  0.000  0.000  0.001  0.287  0.403  0.287  0.001  0.978
   0.01828    -14.950145  0.000  0.000  0.000  0.000  0.001  0.286  0.402  0.289  0.001  0.978
   0.03656    -14.950188  0.000  0.000  0.000  0.000  0.001  0.284  0.402  0.290  0.001  0.978
   0.05483    -14.950263  0.000  0.000  0.000  0.000  0.001  0.282  0.402  0.291  0.002  0.978
   0.07311    -14.950368  0.000  0.000  0.000  0.000  0.001  0.281  0.402  0.292  0.002  0.978
   0.09139    -14.950509  0.000  0.000  0.000  0.000  0.002  0.279  0.402  0.292  0.003  0.978
   0.10967    -14.950688  0.000  0.000  0.000  0.000  0.002  0.278  0.401  0.293  0.004  0.978
   0.12795    -14.950899  0.000  0.000  0.000  0.000  0.003  0.277  0.401  0.293  0.005  0.978
   0.14623    -14.951138  0.000  0.000  0.000  0.000  0.003  0.276  0.401  0.292  0.005  0.978
   0.16450    -14.951402  0.000  0.000  0.000  0.000  0.004  0.275  0.401  0.292  0.006  0.978
   0.18278    -14.951691  0.000  0.000  0.000  0.000  0.005  0.274  0.401  0.291  0.007  0.978
   0.20106    -14.952001  0.000  0.000  0.000  0.000  0.005  0.274  0.401  0.290  0.008  0.978
   0.21934    -14.952322  0.000  0.000  0.000  0.000  0.006  0.273  0.401  0.289  0.008  0.977
   0.23762    -14.952655  0.000  0.000  0.000  0.000  0.006  0.273  0.401  0.288  0.009  0.977
   0.25590    -14.952994  0.000  0.000  0.000  0.000  0.006  0.273  0.401  0.287  0.010  0.977
   0.27417    -14.953339  0.000  0.000  0.000  0.000  0.006  0.273  0.401  0.286  0.010  0.977
   0.29245    -14.953685  0.000  0.000  0.000  0.000  0.007  0.273  0.402  0.285  0.010  0.977
   0.31073    -14.954026  0.000  0.000  0.000  0.000  0.007  0.273  0.402  0.284  0.010  0.977
   0.32901    -14.954359  0.000  0.000  0.000  0.000  0.007  0.274  0.403  0.283  0.011  0.977
   0.34729    -14.954682  0.000  0.000  0.000  0.000  0.007  0.274  0.404  0.281  0.011  0.977
   0.36557    -14.954994  0.000  0.000  0.000  0.000  0.007  0.274  0.405  0.280  0.010  0.977
   0.38384    -14.955292  0.000  0.000  0.000  0.000  0.006  0.275  0.406  0.279  0.010  0.977
   0.40212    -14.955573  0.000  0.000  0.000  0.000  0.006  0.275  0.407  0.278  0.010  0.977
   0.42040    -14.955837  0.000  0.000  0.000  0.000  0.006  0.276  0.408  0.277  0.010  0.977
   0.43868    -14.956084  0.000  0.000  0.000  0.000  0.006  0.276  0.409  0.276  0.010  0.976
   0.45696    -14.956308  0.000  0.000  0.000  0.000  0.006  0.276  0.410  0.275  0.009  0.976
   0.47524    -14.956512  0.000  0.000  0.000  0.000  0.005  0.277  0.411  0.274  0.009  0.976
   0.49351    -14.956692  0.000  0.000  0.000  0.000  0.005  0.277  0.413  0.273  0.008  0.976
   0.51179    -14.956849  0.000  0.000  0.000  0.000  0.005  0.277  0.414  0.272  0.008  0.976
   0.53007    -14.956980  0.000  0.000  0.000  0.000  0.004  0.278  0.415  0.272  0.008  0.976
   0.54835    -14.957090  0.000  0.000  0.000  0.000  0.004  0.278  0.416  0.271  0.007  0.976
   0.56663    -14.957170  0.000  0.000  0.000  0.000  0.004  0.278  0.417  0.270  0.007  0.976
   0.58491    -14.957224  0.000  0.000  0.000  0.000  0.003  0.278  0.419  0.270  0.006  0.976
   0.60318    -14.957251  0.000  0.000  0.000  0.000  0.003  0.279  0.420  0.269  0.006  0.976
   0.62146    -14.957249  0.000  0.000  0.000  0.000  0.003  0.279  0.421  0.269  0.005  0.976
   0.63974    -14.957222  0.000  0.000  0.000  0.000  0.002  0.279  0.422  0.269  0.005  0.976
   0.65802    -14.957165  0.000  0.000  0.000  0.000  0.002  0.279  0.423  0.269  0.004  0.977
   0.67630    -14.957081  0.000  0.000  0.000  0.000  0.002  0.278  0.424  0.268  0.004  0.977
   0.69457    -14.956969  0.000  0.000  0.000  0.000  0.001  0.278  0.425  0.268  0.003  0.977
   0.71285    -14.956831  0.000  0.000  0.000  0.000  0.001  0.278  0.426  0.268  0.003  0.977
   0.73113    -14.956670  0.000  0.000  0.000  0.000  0.001  0.278  0.427  0.269  0.002  0.977
   0.74941    -14.956483  0.000  0.000  0.000  0.000  0.001  0.277  0.428  0.269  0.002  0.977
   0.76769    -14.956272  0.000  0.000  0.000  0.000  0.001  0.277  0.428  0.269  0.002  0.977
   0.78597    -14.956036  0.000  0.000  0.000  0.000  0.001  0.277  0.429  0.270  0.001  0.977
   0.80424    -14.955779  0.000  0.000  0.000  0.000  0.000  0.276  0.429  0.270  0.001  0.977
   0.82252    -14.955502  0.000  0.000  0.000  0.000  0.000  0.276  0.430  0.270  0.001  0.977
   0.84080    -14.955208  0.000  0.000  0.000  0.000  0.000  0.275  0.430  0.271  0.001  0.977
