#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -14.950  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.018   -14.950  0.000  0.000  0.000  0.000  0.000  0.008 -0.013 -0.011  0.000 -0.016
   0.037   -14.950  0.000  0.000  0.000  0.000  0.000  0.017 -0.028 -0.022 -0.001 -0.034
   0.055   -14.950  0.000  0.000  0.000  0.000  0.000  0.026 -0.042 -0.034 -0.001 -0.051
   0.073   -14.950  0.000  0.000  0.000  0.000  0.000  0.036 -0.058 -0.045 -0.002 -0.069
   0.091   -14.951  0.000  0.000  0.000  0.000  0.000  0.045 -0.072 -0.056 -0.002 -0.085
   0.110   -14.951  0.000  0.000  0.000  0.000  0.001  0.055 -0.087 -0.067 -0.003 -0.101
   0.128   -14.951  0.000  0.000  0.000  0.000  0.001  0.064 -0.100 -0.077 -0.004 -0.116
   0.146   -14.951  0.000  0.000  0.000  0.000  0.002  0.072 -0.112 -0.086 -0.005 -0.129
   0.165   -14.951  0.000  0.000  0.000  0.000  0.002  0.079 -0.123 -0.093 -0.005 -0.140
   0.183   -14.952  0.000  0.000  0.000  0.000  0.003  0.086 -0.133 -0.100 -0.006 -0.150
   0.201   -14.952  0.000  0.000  0.000  0.000  0.003  0.092 -0.141 -0.106 -0.007 -0.159
   0.219   -14.952  0.000  0.000  0.000  0.000  0.004  0.097 -0.149 -0.111 -0.007 -0.167
   0.238   -14.953  0.000  0.000  0.000  0.000  0.004  0.102 -0.155 -0.116 -0.008 -0.173
   0.256   -14.953  0.000  0.000  0.000  0.000  0.004  0.106 -0.161 -0.120 -0.008 -0.179
   0.274   -14.953  0.000  0.000  0.000  0.000  0.005  0.109 -0.166 -0.123 -0.009 -0.184
   0.292   -14.954  0.000  0.000  0.000  0.000  0.005  0.112 -0.171 -0.126 -0.009 -0.189
   0.311   -14.954  0.000  0.000  0.000  0.000  0.005  0.114 -0.175 -0.128 -0.009 -0.193
   0.329   -14.954  0.000  0.000  0.000  0.000  0.005  0.116 -0.178 -0.130 -0.010 -0.197
   0.347   -14.955  0.000  0.000  0.000  0.000  0.005  0.118 -0.182 -0.132 -0.010 -0.200
   0.366   -14.955  0.000  0.000  0.000  0.000  0.005  0.120 -0.185 -0.134 -0.010 -0.203
   0.384   -14.955  0.000  0.000  0.000  0.000  0.005  0.121 -0.187 -0.135 -0.009 -0.206
   0.402   -14.956  0.000  0.000  0.000  0.000  0.005  0.123 -0.190 -0.137 -0.009 -0.208
   0.420   -14.956  0.000  0.000  0.000  0.000  0.005  0.124 -0.192 -0.138 -0.009 -0.210
   0.439   -14.956  0.000  0.000  0.000  0.000  0.005  0.125 -0.194 -0.139 -0.009 -0.212
   0.457   -14.956  0.000  0.000  0.000  0.000  0.005  0.125 -0.196 -0.140 -0.008 -0.214
   0.475   -14.957  0.000  0.000  0.000  0.000  0.004  0.126 -0.198 -0.140 -0.008 -0.216
   0.494   -14.957  0.000  0.000  0.000  0.000  0.004  0.127 -0.200 -0.141 -0.008 -0.218
   0.512   -14.957  0.000  0.000  0.000  0.000  0.004  0.127 -0.202 -0.141 -0.007 -0.219
   0.530   -14.957  0.000  0.000  0.000  0.000  0.003  0.128 -0.203 -0.142 -0.007 -0.220
   0.548   -14.957  0.000  0.000  0.000  0.000  0.003  0.128 -0.204 -0.142 -0.006 -0.221
   0.567   -14.957  0.000  0.000  0.000  0.000  0.003  0.128 -0.206 -0.142 -0.006 -0.222
   0.585   -14.957  0.000  0.000  0.000  0.000  0.002  0.129 -0.207 -0.142 -0.005 -0.223
   0.603   -14.957  0.000  0.000  0.000  0.000  0.002  0.129 -0.208 -0.143 -0.005 -0.224
   0.621   -14.957  0.000  0.000  0.000  0.000  0.002  0.129 -0.209 -0.143 -0.004 -0.224
   0.640   -14.957  0.000  0.000  0.000  0.000  0.001  0.130 -0.210 -0.143 -0.004 -0.225
   0.658   -14.957  0.000  0.000  0.000  0.000  0.001  0.130 -0.211 -0.142 -0.003 -0.225
   0.676   -14.957  0.000  0.000  0.000  0.000  0.001  0.130 -0.211 -0.142 -0.003 -0.225
   0.695   -14.957  0.000  0.000  0.000  0.000  0.001  0.131 -0.212 -0.142 -0.002 -0.225
   0.713   -14.957  0.000  0.000  0.000  0.000  0.000  0.131 -0.213 -0.142 -0.002 -0.225
   0.731   -14.957  0.000  0.000  0.000  0.000  0.000  0.132 -0.213 -0.141 -0.002 -0.224
   0.749   -14.956  0.000  0.000  0.000  0.000  0.000  0.132 -0.214 -0.141 -0.001 -0.224
   0.768   -14.956  0.000  0.000  0.000  0.000  0.000  0.132 -0.214 -0.141 -0.001 -0.223
   0.786   -14.956  0.000  0.000  0.000  0.000  0.000  0.133 -0.214 -0.140 -0.001 -0.223
   0.804   -14.956  0.000  0.000  0.000  0.000  0.000  0.133 -0.215 -0.140  0.000 -0.222
   0.823   -14.956  0.000  0.000  0.000  0.000  0.000  0.134 -0.215 -0.139  0.000 -0.221
   0.841   -14.955  0.000  0.000  0.000  0.000  0.000  0.135 -0.215 -0.138  0.000 -0.219
   0.859   -14.955  0.000  0.000  0.000  0.000  0.000  0.135 -0.215 -0.138  0.000 -0.218
   0.877   -14.955  0.000  0.000  0.000  0.000  0.000  0.136 -0.215 -0.137  0.000 -0.217
   0.896   -14.954  0.000  0.000  0.000  0.000  0.000 -0.237  0.373  0.237  0.000  0.373
   0.896   -14.954  0.000  0.000  0.000  0.000  0.000 -0.236  0.373  0.236  0.000  0.373
