#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -14.950  0.000  0.000  0.000  0.000  0.001  0.287 -0.403  0.287  0.001  0.173
   0.018   -14.950  0.000  0.000  0.000  0.000  0.001  0.285 -0.402  0.288  0.001  0.173
   0.037   -14.950  0.000  0.000  0.000  0.000  0.000  0.281 -0.399  0.288  0.001  0.171
   0.055   -14.950  0.000  0.000  0.000  0.000  0.000  0.275 -0.393  0.286  0.001  0.168
   0.073   -14.950  0.000  0.000  0.000  0.000  0.000  0.267 -0.385  0.282  0.001  0.164
   0.091   -14.951  0.000  0.000  0.000  0.000 -0.001  0.258 -0.375  0.276  0.000  0.159
   0.110   -14.951  0.000  0.000  0.000  0.000 -0.001  0.247 -0.362  0.269  0.000  0.153
   0.128   -14.951  0.000  0.000  0.000  0.000 -0.001  0.235 -0.348  0.260  0.000  0.146
   0.146   -14.951  0.000  0.000  0.000  0.000 -0.002  0.222 -0.333  0.251 -0.001  0.138
   0.165   -14.951  0.000  0.000  0.000  0.000 -0.002  0.209 -0.317  0.241 -0.001  0.130
   0.183   -14.952  0.000  0.000  0.000  0.000 -0.003  0.196 -0.300  0.231 -0.001  0.122
   0.201   -14.952  0.000  0.000  0.000  0.000 -0.003  0.183 -0.284  0.220 -0.002  0.114
   0.219   -14.952  0.000  0.000  0.000  0.000 -0.003  0.170 -0.269  0.210 -0.002  0.107
   0.238   -14.953  0.000  0.000  0.000  0.000 -0.003  0.159 -0.254  0.200 -0.002  0.100
   0.256   -14.953  0.000  0.000  0.000  0.000 -0.003  0.147 -0.239  0.190 -0.002  0.093
   0.274   -14.953  0.000  0.000  0.000  0.000 -0.003  0.137 -0.225  0.180 -0.002  0.086
   0.292   -14.954  0.000  0.000  0.000  0.000 -0.003  0.127 -0.212  0.171 -0.002  0.081
   0.311   -14.954  0.000  0.000  0.000  0.000 -0.003  0.118 -0.200  0.162 -0.002  0.075
   0.329   -14.954  0.000  0.000  0.000  0.000 -0.003  0.109 -0.188  0.154 -0.002  0.070
   0.347   -14.955  0.000  0.000  0.000  0.000 -0.003  0.101 -0.177  0.145 -0.001  0.065
   0.366   -14.955  0.000  0.000  0.000  0.000 -0.002  0.093 -0.166  0.137 -0.001  0.061
   0.384   -14.955  0.000  0.000  0.000  0.000 -0.002  0.086 -0.156  0.130 -0.001  0.056
   0.402   -14.956  0.000  0.000  0.000  0.000 -0.002  0.079 -0.146  0.122 -0.001  0.053
