#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 200  33
# Band-Index:    1
   0.00000    -14.950130  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.01828    -14.950145  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.03656    -14.950188  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.05483    -14.950263  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.07311    -14.950368  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.09139    -14.950509  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.10967    -14.950688  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.12795    -14.950899  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.14623    -14.951138  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.16450    -14.951402  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.18278    -14.951691  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.20106    -14.952001  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.21934    -14.952322  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.23762    -14.952655  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.25590    -14.952994  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.27417    -14.953339  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.29245    -14.953685  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.31073    -14.954026  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.32901    -14.954359  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.34729    -14.954682  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.36557    -14.954994  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.38384    -14.955292  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.40212    -14.955573  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.42040    -14.955837  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.43868    -14.956084  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.45696    -14.956308  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.47524    -14.956512  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.49351    -14.956692  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.51179    -14.956849  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.53007    -14.956980  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.54835    -14.957090  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.56663    -14.957170  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.58491    -14.957224  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.60318    -14.957251  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.62146    -14.957249  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
