#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -14.950  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.018   -14.950  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.037   -14.950  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.055   -14.950  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.073   -14.950  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.091   -14.951  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.110   -14.951  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.128   -14.951  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.146   -14.951  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.165   -14.951  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.183   -14.952  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.201   -14.952  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.219   -14.952  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.238   -14.953  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.256   -14.953  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.274   -14.953  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.292   -14.954  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.311   -14.954  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.329   -14.954  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.347   -14.955  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.366   -14.955  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.384   -14.955  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.402   -14.956  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.420   -14.956  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.439   -14.956  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.457   -14.956  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.475   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.494   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.512   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.530   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.548   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.567   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.585   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.603   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.621   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.640   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.658   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.676   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.695   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.713   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.731   -14.957  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.749   -14.956  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.768   -14.956  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.786   -14.956  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.804   -14.956  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.823   -14.956  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.841   -14.955  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.859   -14.955  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.877   -14.955  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.896   -14.954  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.896   -14.954  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.911   -14.955  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
