    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    51   51
    #Band-Index:   20
    0.000000    0.000000   -2.193028  -0.257  -0.445   0.000
    0.000000    0.030417   -2.090406  -0.524   0.000   0.000
    0.000000    0.060835   -1.919367  -0.527   0.000   0.000
    0.000000    0.091252   -1.728238  -0.531   0.000   0.000
    0.000000    0.121669   -1.536580  -0.532   0.000   0.000
    0.000000    0.152087   -1.355454  -0.530   0.000   0.000
    0.000000    0.182504   -1.193693  -0.524   0.000   0.000
    0.000000    0.212922   -1.058972  -0.513   0.000   0.000
    0.000000    0.243339   -0.956941  -0.500   0.000   0.000
    0.000000    0.273756   -0.889847  -0.483   0.000   0.000
    0.000000    0.304174   -0.856103  -0.468   0.000   0.000
    0.000000    0.334591   -0.851234  -0.455   0.000   0.000
    0.000001    0.365008   -0.869522  -0.443   0.000   0.000
    0.000001    0.395426   -0.905345  -0.433   0.000   0.000
    0.000001    0.425843   -0.953891  -0.425   0.000   0.000
    0.000001    0.456260   -1.011351  -0.419   0.000   0.000
    0.000001    0.486678   -1.074807  -0.413   0.000   0.000
    0.000001    0.517095   -1.141990  -0.409   0.000   0.000
    0.000001    0.547513   -1.211012  -0.404   0.000   0.000
    0.000001    0.577930   -1.280111  -0.401   0.000   0.000
    0.000001    0.608347   -1.347438  -0.397   0.000   0.000
    0.000001    0.638765   -1.410911  -0.392   0.000   0.000
    0.000001    0.669182   -1.468172  -0.389   0.000   0.000
    0.000001    0.699599   -1.516658  -0.386   0.000   0.000
    0.000001    0.730017   -1.553823  -0.384   0.000   0.000
    0.000001    0.760434   -1.577476  -0.384   0.000   0.000
    0.000001    0.790851   -1.577476   0.384   0.000   0.000
    0.000001    0.821269   -1.553823   0.384   0.000   0.000
    0.000001    0.851686   -1.516658   0.386   0.000   0.000
    0.000001    0.882104   -1.468172   0.389   0.000   0.000
    0.000001    0.912521   -1.410911   0.392   0.000   0.000
    0.000001    0.942938   -1.347438   0.397   0.000   0.000
    0.000001    0.973356   -1.280111   0.401   0.000   0.000
    0.000001    1.003773   -1.211012   0.404   0.000   0.000
    0.000001    1.034190   -1.141990   0.409   0.000   0.000
    0.000002    1.064608   -1.074807   0.413   0.000   0.000
    0.000002    1.095025   -1.011351   0.419   0.000   0.000
    0.000002    1.125443   -0.953892   0.425   0.000   0.000
    0.000002    1.155860   -0.905345   0.433   0.000   0.000
    0.000002    1.186277   -0.869522   0.443   0.000   0.000
    0.000002    1.216695   -0.851234   0.455   0.000   0.000
    0.000002    1.247112   -0.856103   0.468   0.000   0.000
    0.000002    1.277529   -0.889847   0.483   0.000   0.000
    0.000002    1.307947   -0.956941   0.500   0.000   0.000
    0.000002    1.338364   -1.058973   0.513   0.000   0.000
    0.000002    1.368781   -1.193693   0.524   0.000   0.000
    0.000002    1.399199   -1.355454   0.530   0.000   0.000
    0.000002    1.429616   -1.536580   0.532   0.000   0.000
    0.000002    1.460034   -1.728238   0.531   0.000   0.000
    0.000002    1.490451   -1.919367   0.527   0.000   0.000
    0.000002    1.520868   -2.090406   0.524   0.000   0.000
    0.026342    0.015209   -2.090406  -0.262   0.453   0.000
    0.026342    0.045626   -1.968308  -0.456   0.263   0.015
    0.026342    0.076043   -1.796267  -0.500   0.174   0.027
    0.026342    0.106461   -1.610270  -0.514   0.129   0.035
    0.026342    0.136878   -1.426791  -0.520   0.104   0.042
    0.026342    0.167296   -1.256552  -0.519   0.088   0.046
    0.026342    0.197713   -1.108386  -0.512   0.078   0.049
    0.026342    0.228130   -0.989530  -0.500   0.071   0.052
    0.026343    0.258548   -0.904450  -0.484   0.069   0.055
    0.026343    0.288965   -0.853794  -0.468   0.067   0.057
    0.026343    0.319382   -0.834598  -0.453   0.067   0.060
    0.026343    0.349800   -0.841702  -0.440   0.068   0.062
    0.026343    0.380217   -0.869351  -0.428   0.069   0.065
    0.026343    0.410634   -0.912269  -0.419   0.072   0.067
    0.026343    0.441052   -0.966113  -0.411   0.074   0.070
    0.026343    0.471469   -1.027500  -0.403   0.078   0.073
    0.026343    0.501887   -1.093824  -0.397   0.082   0.077
    0.026343    0.532304   -1.162981  -0.390   0.088   0.080
    0.026343    0.562721   -1.233109  -0.383   0.096   0.085
    0.026343    0.593139   -1.302337  -0.374   0.106   0.092
    0.026343    0.623556   -1.368604  -0.362   0.122   0.101
    0.026343    0.653973   -1.429542  -0.346   0.143   0.115
    0.026343    0.684391   -1.482444  -0.320   0.174   0.135
    0.026343    0.714808   -1.524294  -0.271   0.218   0.167
    0.026343    0.745225   -1.551795  -0.172   0.275   0.207
    0.026343    0.775643   -1.561554   0.000   0.307   0.231
    0.026343    0.806060   -1.551795   0.172   0.275   0.207
    0.026343    0.836478   -1.524294   0.271   0.218   0.167
    0.026343    0.866895   -1.482443   0.320   0.174   0.135
    0.026343    0.897312   -1.429541   0.346   0.143   0.115
    0.026343    0.927730   -1.368603   0.362   0.122   0.101
    0.026344    0.958147   -1.302337   0.374   0.106   0.092
    0.026344    0.988564   -1.233109   0.383   0.096   0.085
    0.026344    1.018982   -1.162981   0.390   0.088   0.080
    0.026344    1.049399   -1.093824   0.397   0.082   0.077
    0.026344    1.079816   -1.027500   0.403   0.078   0.073
    0.026344    1.110234   -0.966113   0.411   0.074   0.070
    0.026344    1.140651   -0.912270   0.419   0.072   0.067
    0.026344    1.171069   -0.869351   0.428   0.069   0.065
    0.026344    1.201486   -0.841703   0.440   0.068   0.062
    0.026344    1.231903   -0.834600   0.453   0.067   0.060
    0.026344    1.262321   -0.853796   0.468   0.067   0.057
    0.026344    1.292738   -0.904452   0.484   0.069   0.055
    0.026344    1.323155   -0.989532   0.500   0.071   0.052
    0.026344    1.353573   -1.108388   0.512   0.078   0.049
    0.026344    1.383990   -1.256555   0.519   0.088   0.046
    0.026344    1.414408   -1.426795   0.520   0.104   0.042
    0.026344    1.444825   -1.610276   0.514   0.129   0.035
    0.026344    1.475242   -1.796275   0.500   0.173   0.027
    0.026344    1.505660   -1.968318   0.456   0.263   0.015
    0.026344    1.536077   -2.090413   0.262   0.453   0.000
    0.052684    0.030417   -1.919367  -0.264   0.456   0.000
    0.052684    0.060835   -1.796268  -0.401   0.345   0.027
    0.052684    0.091252   -1.636378  -0.459   0.265   0.049
    0.052685    0.121670   -1.464132  -0.484   0.212   0.066
    0.052685    0.152087   -1.294554  -0.494   0.176   0.078
    0.052685    0.182504   -1.138695  -0.494   0.154   0.087
    0.052685    0.212922   -1.005711  -0.486   0.139   0.094
    0.052685    0.243339   -0.902641  -0.474   0.129   0.099
    0.052685    0.273756   -0.833177  -0.457   0.125   0.103
    0.052685    0.304174   -0.796966  -0.440   0.123   0.107
    0.052685    0.334591   -0.790331  -0.426   0.123   0.111
    0.052685    0.365008   -0.807902  -0.411   0.125   0.115
    0.052685    0.395426   -0.844106  -0.399   0.127   0.120
    0.052685    0.425843   -0.894032  -0.389   0.130   0.124
    0.052685    0.456261   -0.953706  -0.379   0.134   0.128
    0.052685    0.486678   -1.020021  -0.370   0.140   0.132
    0.052685    0.517095   -1.090500  -0.359   0.147   0.137
    0.052685    0.547513   -1.163016  -0.348   0.156   0.142
    0.052685    0.577930   -1.235536  -0.334   0.168   0.149
    0.052685    0.608347   -1.305897  -0.316   0.183   0.157
    0.052685    0.638765   -1.371668  -0.293   0.203   0.168
    0.052685    0.669182   -1.430081  -0.258   0.227   0.183
    0.052685    0.699599   -1.478079  -0.210   0.256   0.201
    0.052685    0.730017   -1.512518  -0.141   0.284   0.218
    0.052685    0.760434   -1.530602  -0.050   0.302   0.231
    0.052685    0.790852   -1.530602   0.050   0.302   0.231
    0.052685    0.821269   -1.512518   0.141   0.284   0.218
    0.052686    0.851686   -1.478079   0.210   0.256   0.201
    0.052686    0.882104   -1.430081   0.258   0.227   0.183
    0.052686    0.912521   -1.371667   0.293   0.203   0.168
    0.052686    0.942938   -1.305896   0.316   0.183   0.157
    0.052686    0.973356   -1.235535   0.334   0.168   0.149
    0.052686    1.003773   -1.163015   0.348   0.156   0.142
    0.052686    1.034190   -1.090499   0.359   0.147   0.137
    0.052686    1.064608   -1.020020   0.370   0.140   0.132
    0.052686    1.095025   -0.953706   0.379   0.134   0.128
    0.052686    1.125443   -0.894032   0.389   0.130   0.124
    0.052686    1.155860   -0.844107   0.399   0.127   0.120
    0.052686    1.186277   -0.807903   0.411   0.125   0.115
    0.052686    1.216695   -0.790333   0.426   0.123   0.111
    0.052686    1.247112   -0.796968   0.440   0.123   0.107
    0.052686    1.277529   -0.833180   0.457   0.125   0.103
    0.052686    1.307947   -0.902645   0.474   0.129   0.099
    0.052686    1.338364   -1.005715   0.486   0.139   0.094
    0.052686    1.368782   -1.138700   0.494   0.154   0.087
    0.052686    1.399199   -1.294560   0.494   0.176   0.078
    0.052686    1.429616   -1.464141   0.484   0.212   0.066
    0.052686    1.460034   -1.636388   0.459   0.265   0.049
    0.052686    1.490451   -1.796280   0.401   0.345   0.027
    0.052686    1.520868   -1.919378   0.264   0.456   0.000
    0.052687    1.551286   -1.968318   0.000   0.526  -0.015
