    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    51   51
    #Band-Index:   18
    0.000000    0.000000   -2.684152   0.000   0.000   0.000
    0.000000    0.030417   -2.724928   0.110   0.000   0.000
    0.000000    0.060835   -2.797509   0.237   0.000   0.000
    0.000000    0.091252   -2.867798   0.332   0.000   0.000
    0.000000    0.121669   -2.933937   0.389   0.000   0.000
    0.000000    0.152087   -2.999389   0.420   0.000   0.000
    0.000000    0.182504   -3.066183   0.437   0.000   0.000
    0.000000    0.212922   -3.134791   0.445   0.000   0.000
    0.000000    0.243339   -3.204788   0.447   0.000   0.000
    0.000000    0.273756   -3.275300   0.446   0.000   0.000
    0.000000    0.304174   -3.345236   0.440   0.000   0.000
    0.000000    0.334591   -3.413373   0.432   0.000   0.000
    0.000001    0.365008   -3.478322   0.417   0.000   0.000
    0.000001    0.395426   -3.538370   0.392   0.000   0.000
    0.000001    0.425843   -3.591123   0.352   0.000   0.000
    0.000001    0.456260   -3.632843   0.280   0.000   0.000
    0.000001    0.486678   -3.657794   0.163   0.000   0.000
    0.000001    0.517095   -3.659837   0.009   0.000   0.000
    0.000001    0.547513   -3.630690   0.307   0.000   0.000
    0.000001    0.577930   -3.576699   0.328   0.000   0.000
    0.000001    0.608347   -3.523390   0.341   0.000   0.000
    0.000001    0.638765   -3.473768   0.349   0.000   0.000
    0.000001    0.669182   -3.430618   0.354   0.000   0.000
    0.000001    0.699599   -3.396618   0.358   0.000   0.000
    0.000001    0.730017   -3.374143   0.359   0.000   0.000
    0.000001    0.760434   -3.364922   0.360   0.000   0.000
   -0.000001   -0.760434   -3.364922  -0.360   0.000   0.000
   -0.000001   -0.730017   -3.374142  -0.359   0.000   0.000
   -0.000001   -0.699599   -3.396618  -0.358   0.000   0.000
   -0.000001   -0.669182   -3.430618  -0.354   0.000   0.000
   -0.000001   -0.638765   -3.473768  -0.349   0.000   0.000
   -0.000001   -0.608347   -3.523390  -0.341   0.000   0.000
   -0.000001   -0.577930   -3.576699  -0.328   0.000   0.000
   -0.000001   -0.547513   -3.630690  -0.307   0.000   0.000
   -0.000001   -0.517095   -3.659837  -0.009   0.000   0.000
   -0.000001   -0.486678   -3.657794  -0.163   0.000   0.000
   -0.000001   -0.456260   -3.632843  -0.280   0.000   0.000
   -0.000001   -0.425843   -3.591123  -0.352   0.000   0.000
   -0.000001   -0.395426   -3.538370  -0.392   0.000   0.000
   -0.000001   -0.365008   -3.478322  -0.417   0.000   0.000
   -0.000000   -0.334591   -3.413373  -0.432   0.000   0.000
   -0.000000   -0.304174   -3.345236  -0.440   0.000   0.000
   -0.000000   -0.273756   -3.275300  -0.446   0.000   0.000
   -0.000000   -0.243339   -3.204788  -0.447   0.000   0.000
   -0.000000   -0.212922   -3.134791  -0.445   0.000   0.000
   -0.000000   -0.182504   -3.066183  -0.437   0.000   0.000
   -0.000000   -0.152087   -2.999389  -0.420   0.000   0.000
   -0.000000   -0.121669   -2.933937  -0.389   0.000   0.000
   -0.000000   -0.091252   -2.867798  -0.332   0.000   0.000
   -0.000000   -0.060835   -2.797509  -0.237   0.000   0.000
   -0.000000   -0.030417   -2.724928  -0.110   0.000   0.000
    0.026342    0.015209   -2.724928   0.055  -0.095   0.000
    0.026342    0.045626   -2.777631   0.174  -0.100  -0.130
    0.026342    0.076043   -2.843388   0.279  -0.095  -0.138
    0.026342    0.106461   -2.908311   0.346  -0.084  -0.142
    0.026342    0.136878   -2.972810   0.384  -0.074  -0.148
    0.026342    0.167296   -3.038744   0.404  -0.067  -0.154
    0.026342    0.197713   -3.106813   0.413  -0.065  -0.158
    0.026342    0.228130   -3.176752   0.417  -0.067  -0.158
    0.026343    0.258548   -3.247747   0.417  -0.073  -0.154
    0.026343    0.288965   -3.318714   0.414  -0.082  -0.145
    0.026343    0.319382   -3.388395   0.408  -0.097  -0.131
    0.026343    0.349800   -3.455368   0.397  -0.114  -0.111
    0.026343    0.380217   -3.517900   0.377  -0.137  -0.086
    0.026343    0.410634   -3.573608   0.340  -0.164  -0.057
    0.026343    0.441052   -3.618770   0.278  -0.201  -0.030
    0.026343    0.471469   -3.647317   0.182  -0.252  -0.011
    0.026343    0.501887   -3.651172   0.094  -0.323  -0.012
    0.026343    0.532304   -3.626727   0.106  -0.356  -0.021
    0.026343    0.562721   -3.583132   0.170  -0.327  -0.023
    0.026343    0.593139   -3.532573   0.209  -0.297  -0.020
    0.026343    0.623556   -3.481885   0.224  -0.287  -0.018
    0.026343    0.653973   -3.435070   0.221  -0.294  -0.019
    0.026343    0.684391   -3.395194   0.200  -0.313  -0.020
    0.026343    0.714808   -3.364810   0.157  -0.341  -0.021
    0.026343    0.745225   -3.345839   0.089  -0.367  -0.023
    0.026343    0.775643   -3.339402   0.000  -0.379  -0.024
    0.026341   -0.745225   -3.345840  -0.089  -0.367  -0.023
    0.026341   -0.714808   -3.364811  -0.157  -0.341  -0.021
    0.026341   -0.684391   -3.395196  -0.200  -0.313  -0.020
    0.026341   -0.653973   -3.435072  -0.221  -0.294  -0.019
    0.026341   -0.623556   -3.481888  -0.224  -0.287  -0.018
    0.026341   -0.593139   -3.532577  -0.209  -0.297  -0.020
    0.026341   -0.562721   -3.583138  -0.170  -0.327  -0.023
    0.026341   -0.532304   -3.626734  -0.106  -0.356  -0.021
    0.026341   -0.501886   -3.651180  -0.094  -0.323  -0.012
    0.026341   -0.471469   -3.647322  -0.182  -0.252  -0.011
    0.026342   -0.441052   -3.618772  -0.278  -0.201  -0.030
    0.026342   -0.410634   -3.573608  -0.340  -0.164  -0.057
    0.026342   -0.380217   -3.517897  -0.377  -0.137  -0.086
    0.026342   -0.349800   -3.455363  -0.397  -0.114  -0.111
    0.026342   -0.319382   -3.388388  -0.408  -0.097  -0.131
    0.026342   -0.288965   -3.318704  -0.414  -0.082  -0.145
    0.026342   -0.258548   -3.247735  -0.417  -0.072  -0.154
    0.026342   -0.228130   -3.176738  -0.417  -0.067  -0.159
    0.026342   -0.197713   -3.106796  -0.413  -0.065  -0.158
    0.026342   -0.167295   -3.038724  -0.404  -0.067  -0.155
    0.026342   -0.136878   -2.972786  -0.384  -0.074  -0.148
    0.026342   -0.106461   -2.908284  -0.346  -0.084  -0.142
    0.026342   -0.076043   -2.843357  -0.279  -0.095  -0.138
    0.026342   -0.045626   -2.777600  -0.174  -0.100  -0.130
    0.026342   -0.015209   -2.724912  -0.055  -0.095   0.000
    0.052684    0.030417   -2.797510   0.118  -0.205   0.000
    0.052684    0.060835   -2.843388   0.222  -0.194  -0.138
    0.052684    0.091252   -2.899083   0.290  -0.168  -0.200
