  #K-Path    Energy        In        Sb
# NKPTS & NBANDS:  80  33
# Band-Index:    1
    0.000  -14.8772     0.981     0.000
    0.043  -14.8772     0.981     0.000
    0.086  -14.8773     0.981     0.000
    0.130  -14.8775     0.981     0.001
    0.173  -14.8777     0.981     0.001
    0.216  -14.8780     0.981     0.001
    0.259  -14.8784     0.980     0.001
    0.303  -14.8787     0.980     0.001
    0.346  -14.8791     0.980     0.001
    0.389  -14.8795     0.980     0.001
    0.432  -14.8798     0.980     0.001
    0.476  -14.8801     0.980     0.001
    0.519  -14.8803     0.980     0.001
    0.562  -14.8805     0.980     0.001
    0.605  -14.8807     0.980     0.001
    0.649  -14.8807     0.980     0.001
    0.692  -14.8807     0.980     0.001
    0.735  -14.8806     0.980     0.001
    0.778  -14.8804     0.980     0.001
    0.822  -14.8802     0.980     0.001
    0.822  -14.8802     0.980     0.001
    0.859  -14.8804     0.980     0.001
    0.897  -14.8805     0.980     0.001
    0.934  -14.8807     0.980     0.001
    0.971  -14.8807     0.980     0.001
    1.009  -14.8807     0.980     0.001
    1.046  -14.8806     0.980     0.001
    1.084  -14.8805     0.980     0.001
    1.121  -14.8804     0.980     0.001
    1.159  -14.8801     0.980     0.001
    1.196  -14.8799     0.980     0.001
    1.234  -14.8796     0.980     0.001
    1.271  -14.8792     0.980     0.001
    1.309  -14.8789     0.980     0.001
    1.346  -14.8785     0.980     0.001
    1.383  -14.8782     0.980     0.001
    1.421  -14.8778     0.981     0.001
    1.458  -14.8775     0.981     0.001
    1.496  -14.8772     0.981     0.000
    1.533  -14.8770     0.981     0.000
    1.533  -14.8770     0.981     0.000
    1.555  -14.8771     0.981     0.000
    1.577  -14.8771     0.981     0.000
    1.598  -14.8772     0.981     0.000
    1.620  -14.8772     0.981     0.000
    1.641  -14.8773     0.981     0.000
    1.663  -14.8773     0.981     0.000
    1.685  -14.8773     0.981     0.000
    1.706  -14.8773     0.981     0.000
    1.728  -14.8774     0.981     0.000
    1.750  -14.8773     0.981     0.000
    1.771  -14.8773     0.981     0.000
    1.793  -14.8773     0.981     0.000
    1.814  -14.8773     0.981     0.000
    1.836  -14.8773     0.981     0.000
    1.858  -14.8772     0.981     0.000
    1.879  -14.8772     0.981     0.000
    1.901  -14.8772     0.981     0.000
    1.923  -14.8772     0.981     0.000
    1.944  -14.8772     0.981     0.000
    1.944  -14.8772     0.981     0.000
    1.987  -14.8772     0.981     0.000
    2.031  -14.8773     0.981     0.000
    2.074  -14.8775     0.981     0.001
    2.117  -14.8777     0.981     0.001
    2.160  -14.8780     0.981     0.001
    2.204  -14.8784     0.980     0.001
    2.247  -14.8787     0.980     0.001
    2.290  -14.8791     0.980     0.001
    2.333  -14.8795     0.980     0.001
    2.377  -14.8798     0.980     0.001
    2.420  -14.8801     0.980     0.001
