#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  40 352
# Band-Index:    1
   0.00000    -15.304731  0.000  0.000  0.000  0.000  0.006  0.246  0.400  0.321  0.005  0.978
   0.03535    -15.305083  0.000  0.000  0.000  0.000  0.005  0.250  0.401  0.317  0.004  0.978
   0.07071    -15.305540  0.000  0.000  0.000  0.000  0.004  0.253  0.402  0.315  0.005  0.978
   0.10606    -15.306019  0.000  0.000  0.000  0.000  0.004  0.256  0.403  0.311  0.004  0.977
   0.14142    -15.306497  0.000  0.000  0.000  0.000  0.004  0.259  0.404  0.307  0.003  0.977
   0.17677    -15.306959  0.000  0.000  0.000  0.000  0.003  0.262  0.405  0.305  0.003  0.977
   0.21212    -15.307395  0.000  0.000  0.000  0.000  0.003  0.264  0.406  0.301  0.002  0.977
   0.24748    -15.307794  0.000  0.000  0.000  0.000  0.003  0.267  0.407  0.298  0.002  0.977
   0.28283    -15.308146  0.000  0.000  0.000  0.000  0.002  0.269  0.409  0.296  0.002  0.977
   0.31819    -15.308443  0.000  0.000  0.000  0.000  0.002  0.271  0.409  0.294  0.002  0.977
   0.35354    -15.308676  0.000  0.000  0.000  0.000  0.002  0.272  0.410  0.292  0.002  0.977
   0.38889    -15.308841  0.000  0.000  0.000  0.000  0.001  0.273  0.411  0.291  0.002  0.977
   0.42425    -15.308930  0.000  0.000  0.000  0.000  0.001  0.273  0.411  0.290  0.002  0.977
   0.45960    -15.308942  0.000  0.000  0.000  0.000  0.001  0.272  0.412  0.290  0.003  0.977
   0.49496    -15.308876  0.000  0.000  0.000  0.000  0.001  0.271  0.412  0.290  0.003  0.977
   0.53031    -15.308733  0.000  0.000  0.000  0.000  0.001  0.269  0.412  0.291  0.004  0.977
   0.56566    -15.308515  0.000  0.000  0.000  0.000  0.001  0.267  0.412  0.292  0.005  0.978
   0.60102    -15.308227  0.000  0.000  0.000  0.000  0.002  0.264  0.412  0.294  0.005  0.978
   0.63637    -15.307880  0.000  0.000  0.000  0.000  0.002  0.262  0.412  0.297  0.006  0.977
   0.67173    -15.307497  0.000  0.000  0.000  0.000  0.002  0.257  0.412  0.300  0.006  0.978
   0.67173    -15.307497  0.000  0.000  0.000  0.000  0.002  0.257  0.412  0.300  0.006  0.978
   0.70708    -15.307392  0.000  0.000  0.000  0.000  0.002  0.260  0.414  0.297  0.005  0.977
   0.74243    -15.307716  0.000  0.000  0.000  0.000  0.001  0.264  0.415  0.293  0.004  0.977
   0.77779    -15.308013  0.000  0.000  0.000  0.000  0.001  0.267  0.415  0.291  0.004  0.977
   0.81314    -15.308245  0.000  0.000  0.000  0.000  0.001  0.269  0.415  0.289  0.003  0.977
   0.84850    -15.308403  0.000  0.000  0.000  0.000  0.001  0.270  0.414  0.288  0.003  0.978
   0.88385    -15.308486  0.000  0.000  0.000  0.000  0.001  0.272  0.414  0.288  0.002  0.978
   0.91920    -15.308491  0.000  0.000  0.000  0.000  0.001  0.272  0.413  0.288  0.002  0.977
   0.95456    -15.308419  0.000  0.000  0.000  0.000  0.002  0.272  0.412  0.289  0.001  0.977
   0.98991    -15.308272  0.000  0.000  0.000  0.000  0.002  0.272  0.411  0.290  0.001  0.977
   1.02527    -15.308056  0.000  0.000  0.000  0.000  0.003  0.270  0.410  0.293  0.001  0.977
   1.06062    -15.307776  0.000  0.000  0.000  0.000  0.003  0.269  0.409  0.295  0.002  0.977
   1.09597    -15.307439  0.000  0.000  0.000  0.000  0.004  0.266  0.408  0.298  0.002  0.978
   1.13133    -15.307055  0.000  0.000  0.000  0.000  0.004  0.264  0.406  0.300  0.002  0.977
   1.16668    -15.306632  0.000  0.000  0.000  0.000  0.004  0.260  0.405  0.304  0.003  0.977
   1.20203    -15.306183  0.000  0.000  0.000  0.000  0.005  0.257  0.404  0.308  0.004  0.977
   1.23739    -15.305717  0.000  0.000  0.000  0.000  0.005  0.254  0.404  0.310  0.004  0.978
   1.27274    -15.305252  0.000  0.000  0.000  0.000  0.006  0.250  0.402  0.314  0.005  0.978
   1.30810    -15.304836  0.000  0.000  0.000  0.000  0.006  0.247  0.401  0.318  0.005  0.978
   1.34345    -15.304731  0.000  0.000  0.000  0.000  0.006  0.246  0.400  0.321  0.005  0.978
 
# Band-Index:    2
   1.34345    -15.304047  0.000  0.000  0.000  0.000  0.006  0.248  0.403  0.317  0.005  0.979
   1.30810    -15.303975  0.000  0.000  0.000  0.000  0.005  0.247  0.403  0.318  0.005  0.978
   1.27274    -15.303647  0.000  0.000  0.000  0.000  0.005  0.245  0.401  0.322  0.006  0.979
   1.23739    -15.303329  0.000  0.000  0.000  0.000  0.005  0.242  0.402  0.324  0.006  0.979
   1.20203    -15.303067  0.000  0.000  0.000  0.000  0.005  0.241  0.401  0.324  0.007  0.979
   1.16668    -15.302879  0.000  0.000  0.000  0.000  0.004  0.240  0.402  0.325  0.007  0.979
   1.13133    -15.302778  0.000  0.000  0.000  0.000  0.004  0.240  0.403  0.325  0.007  0.979
   1.09597    -15.302769  0.000  0.000  0.000  0.000  0.004  0.239  0.403  0.324  0.007  0.979
   1.06062    -15.302855  0.000  0.000  0.000  0.000  0.004  0.239  0.404  0.323  0.008  0.979
   1.02527    -15.303032  0.000  0.000  0.000  0.000  0.004  0.240  0.405  0.322  0.008  0.979
   0.98991    -15.303295  0.000  0.000  0.000  0.000  0.004  0.240  0.405  0.320  0.009  0.979
   0.95456    -15.303634  0.000  0.000  0.000  0.000  0.004  0.241  0.405  0.318  0.009  0.979
   0.91920    -15.304036  0.000  0.000  0.000  0.000  0.005  0.243  0.406  0.316  0.009  0.979
   0.88385    -15.304489  0.000  0.000  0.000  0.000  0.005  0.244  0.408  0.314  0.009  0.978
   0.84850    -15.304977  0.000  0.000  0.000  0.000  0.005  0.246  0.408  0.311  0.009  0.979
   0.81314    -15.305485  0.000  0.000  0.000  0.000  0.004  0.248  0.408  0.309  0.009  0.978
   0.77779    -15.305997  0.000  0.000  0.000  0.000  0.004  0.251  0.410  0.305  0.008  0.978
   0.74243    -15.306496  0.000  0.000  0.000  0.000  0.003  0.253  0.410  0.302  0.008  0.978
   0.70708    -15.306942  0.000  0.000  0.000  0.000  0.003  0.257  0.412  0.298  0.007  0.978
   0.67173    -15.306872  0.000  0.000  0.000  0.000  0.002  0.260  0.414  0.296  0.006  0.978
   0.67173    -15.306872  0.000  0.000  0.000  0.000  0.002  0.260  0.414  0.296  0.006  0.978
   0.63637    -15.306435  0.000  0.000  0.000  0.000  0.003  0.257  0.414  0.299  0.006  0.978
   0.60102    -15.305950  0.000  0.000  0.000  0.000  0.003  0.253  0.413  0.301  0.007  0.978
   0.56566    -15.305444  0.000  0.000  0.000  0.000  0.004  0.250  0.412  0.305  0.007  0.978
   0.53031    -15.304932  0.000  0.000  0.000  0.000  0.004  0.247  0.412  0.308  0.008  0.978
   0.49496    -15.304429  0.000  0.000  0.000  0.000  0.004  0.245  0.410  0.310  0.008  0.979
   0.45960    -15.303950  0.000  0.000  0.000  0.000  0.005  0.243  0.410  0.314  0.008  0.978
   0.42425    -15.303511  0.000  0.000  0.000  0.000  0.005  0.241  0.409  0.316  0.009  0.979
   0.38889    -15.303127  0.000  0.000  0.000  0.000  0.004  0.239  0.407  0.319  0.009  0.979
   0.35354    -15.302808  0.000  0.000  0.000  0.000  0.004  0.238  0.407  0.320  0.008  0.979
   0.31819    -15.302569  0.000  0.000  0.000  0.000  0.005  0.237  0.407  0.323  0.008  0.979
   0.28283    -15.302417  0.000  0.000  0.000  0.000  0.005  0.237  0.405  0.323  0.008  0.979
   0.24748    -15.302357  0.000  0.000  0.000  0.000  0.005  0.237  0.404  0.325  0.008  0.979
   0.21212    -15.302391  0.000  0.000  0.000  0.000  0.005  0.237  0.403  0.325  0.008  0.979
   0.17677    -15.302516  0.000  0.000  0.000  0.000  0.006  0.237  0.403  0.325  0.007  0.979
   0.14142    -15.302725  0.000  0.000  0.000  0.000  0.006  0.238  0.403  0.324  0.007  0.979
   0.10606    -15.303007  0.000  0.000  0.000  0.000  0.006  0.240  0.402  0.324  0.007  0.978
   0.07071    -15.303347  0.000  0.000  0.000  0.000  0.006  0.242  0.401  0.322  0.006  0.979
   0.03535    -15.303721  0.000  0.000  0.000  0.000  0.006  0.244  0.402  0.320  0.006  0.979
   0.00000    -15.304047  0.000  0.000  0.000  0.000  0.006  0.248  0.403  0.317  0.005  0.979
 
# Band-Index:    3
   0.00000    -15.278965  0.000  0.000  0.000  0.000  0.014  0.262  0.396  0.296  0.009  0.979
   0.03535    -15.279400  0.000  0.000  0.000  0.000  0.014  0.264  0.395  0.295  0.010  0.979
   0.07071    -15.279973  0.000  0.000  0.000  0.000  0.015  0.266  0.395  0.291  0.010  0.977
   0.10606    -15.280538  0.000  0.000  0.000  0.000  0.014  0.268  0.396  0.289  0.010  0.977
   0.14142    -15.281078  0.000  0.000  0.000  0.000  0.014  0.270  0.396  0.286  0.011  0.977
   0.17677    -15.281578  0.000  0.000  0.000  0.000  0.014  0.272  0.397  0.283  0.010  0.977
   0.21212    -15.282028  0.000  0.000  0.000  0.000  0.013  0.275  0.398  0.280  0.010  0.977
