#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -15.305  0.000  0.000  0.000  0.000 -0.006  0.049  0.099 -0.093  0.001  0.051
   0.035   -15.305  0.000  0.000  0.000  0.000 -0.004  0.186  0.310 -0.253  0.003  0.242
   0.071   -15.306  0.000  0.000  0.000  0.000 -0.003  0.214  0.351 -0.279  0.003  0.287
   0.106   -15.306  0.000  0.000  0.000  0.000 -0.002  0.225  0.364 -0.284  0.002  0.306
   0.141   -15.306  0.000  0.000  0.000  0.000 -0.001  0.232  0.369 -0.284  0.003  0.318
   0.177   -15.307  0.000  0.000  0.000  0.000 -0.001  0.236  0.371 -0.281  0.002  0.327
   0.212   -15.307  0.000  0.000  0.000  0.000  0.000  0.238  0.372 -0.277  0.002  0.335
   0.247   -15.308  0.000  0.000  0.000  0.000  0.000  0.241  0.372 -0.272  0.001  0.340
   0.283   -15.308  0.000  0.000  0.000  0.000  0.000  0.242  0.370 -0.268  0.001  0.345
   0.318   -15.308  0.000  0.000  0.000  0.000  0.000  0.243  0.368 -0.262  0.001  0.349
   0.354   -15.309  0.000  0.000  0.000  0.000 -0.001  0.243  0.365 -0.256  0.000  0.351
   0.389   -15.309  0.000  0.000  0.000  0.000 -0.001  0.241  0.362 -0.250  0.000  0.353
   0.424   -15.309  0.000  0.000  0.000  0.000 -0.001  0.239  0.358 -0.245  0.000  0.353
   0.460   -15.309  0.000  0.000  0.000  0.000 -0.001  0.237  0.354 -0.239 -0.001  0.352
   0.495   -15.309  0.000  0.000  0.000  0.000 -0.001  0.234  0.350 -0.234 -0.001  0.350
   0.530   -15.309  0.000  0.000  0.000  0.000 -0.001  0.231  0.344 -0.228 -0.002  0.346
   0.566   -15.309  0.000  0.000  0.000  0.000 -0.001  0.227  0.337 -0.222 -0.002  0.341
   0.601   -15.308  0.000  0.000  0.000  0.000  0.000  0.220  0.327 -0.213 -0.003  0.332
   0.636   -15.308  0.000  0.000  0.000  0.000  0.000  0.208  0.306 -0.196 -0.003  0.315
   0.672   -15.307  0.000  0.000  0.000  0.000  0.000  0.151  0.212 -0.125 -0.003  0.236
   0.672   -15.307  0.000  0.000  0.000  0.000  0.000  0.151  0.212 -0.125 -0.003  0.236
   0.707   -15.307  0.000  0.000  0.000  0.000  0.000 -0.244 -0.394  0.286  0.003 -0.349
   0.742   -15.308  0.000  0.000  0.000  0.000  0.000 -0.257 -0.397  0.272  0.002 -0.379
   0.778   -15.308  0.000  0.000  0.000  0.000  0.000 -0.253 -0.387  0.262  0.002 -0.377
   0.813   -15.308  0.000  0.000  0.000  0.000  0.000 -0.253 -0.384  0.259  0.001 -0.376
   0.848   -15.308  0.000  0.000  0.000  0.000  0.001 -0.253 -0.383  0.259  0.001 -0.376
   0.884   -15.308  0.000  0.000  0.000  0.000  0.001 -0.254 -0.384  0.261  0.000 -0.376
   0.919   -15.308  0.000  0.000  0.000  0.000  0.000 -0.255 -0.386  0.266  0.000 -0.376
   0.955   -15.308  0.000  0.000  0.000  0.000  0.000 -0.256 -0.388  0.270 -0.001 -0.376
   0.990   -15.308  0.000  0.000  0.000  0.000 -0.001 -0.256 -0.390  0.274 -0.001 -0.375
   1.025   -15.308  0.000  0.000  0.000  0.000 -0.001 -0.258 -0.392  0.279 -0.001 -0.372
   1.061   -15.308  0.000  0.000  0.000  0.000 -0.001 -0.258 -0.394  0.284 -0.001 -0.370
   1.096   -15.307  0.000  0.000  0.000  0.000 -0.001 -0.257 -0.396  0.289 -0.002 -0.366
   1.131   -15.307  0.000  0.000  0.000  0.000 -0.001 -0.256 -0.398  0.294 -0.002 -0.361
   1.167   -15.307  0.000  0.000  0.000  0.000 -0.001 -0.255 -0.399  0.299 -0.003 -0.357
   1.202   -15.306  0.000  0.000  0.000  0.000  0.000 -0.254 -0.400  0.303 -0.004 -0.353
   1.237   -15.306  0.000  0.000  0.000  0.000  0.000 -0.252 -0.400  0.305 -0.003 -0.349
   1.273   -15.305  0.000  0.000  0.000  0.000  0.000 -0.248 -0.393  0.303 -0.004 -0.342
   1.308   -15.305  0.000  0.000  0.000  0.000 -0.002 -0.213 -0.334  0.252 -0.004 -0.300
   1.343   -15.305  0.000  0.000  0.000  0.000 -0.006  0.049  0.099 -0.093  0.001  0.051
# Band-Index:    2
   1.343   -15.304  0.000  0.000  0.000  0.000  0.005 -0.049 -0.099  0.092 -0.001 -0.052
   1.308   -15.304  0.000  0.000  0.000  0.000  0.000  0.210  0.334 -0.260  0.005  0.290
   1.273   -15.304  0.000  0.000  0.000  0.000 -0.003  0.241  0.394 -0.314  0.006  0.323
   1.237   -15.303  0.000  0.000  0.000  0.000 -0.004  0.242  0.401 -0.322  0.006  0.322
   1.202   -15.303  0.000  0.000  0.000  0.000 -0.004  0.241  0.401 -0.324  0.005  0.319
   1.167   -15.303  0.000  0.000  0.000  0.000 -0.004  0.239  0.400 -0.323  0.004  0.317
   1.131   -15.303  0.000  0.000  0.000  0.000 -0.004  0.238  0.399 -0.320  0.003  0.316
   1.096   -15.303  0.000  0.000  0.000  0.000 -0.003  0.237  0.397 -0.316  0.002  0.317
   1.061   -15.303  0.000  0.000  0.000  0.000 -0.003  0.237  0.394 -0.311  0.000  0.318
   1.025   -15.303  0.000  0.000  0.000  0.000 -0.002  0.236  0.391 -0.304 -0.002  0.320
   0.990   -15.303  0.000  0.000  0.000  0.000  0.000  0.236  0.388 -0.297 -0.003  0.323
   0.955   -15.304  0.000  0.000  0.000  0.000  0.000  0.236  0.385 -0.290 -0.005  0.326
   0.919   -15.304  0.000  0.000  0.000  0.000  0.001  0.236  0.382 -0.282 -0.006  0.330
   0.884   -15.304  0.000  0.000  0.000  0.000  0.002  0.236  0.379 -0.276 -0.007  0.334
   0.848   -15.305  0.000  0.000  0.000  0.000  0.002  0.236  0.378 -0.271 -0.006  0.339
   0.813   -15.305  0.000  0.000  0.000  0.000  0.002  0.239  0.378 -0.268 -0.006  0.345
   0.778   -15.306  0.000  0.000  0.000  0.000  0.002  0.242  0.382 -0.269 -0.006  0.352
   0.742   -15.306  0.000  0.000  0.000  0.000  0.002  0.249  0.392 -0.276 -0.006  0.362
   0.707   -15.307  0.000  0.000  0.000  0.000  0.001  0.240  0.390 -0.287 -0.005  0.339
   0.672   -15.307  0.000  0.000  0.000  0.000  0.000 -0.152 -0.214  0.125  0.003 -0.239
   0.672   -15.307  0.000  0.000  0.000  0.000  0.000 -0.152 -0.214  0.125  0.003 -0.239
   0.636   -15.306  0.000  0.000  0.000  0.000  0.000 -0.205 -0.306  0.198  0.004 -0.310
   0.601   -15.306  0.000  0.000  0.000  0.000 -0.002 -0.214 -0.326  0.217  0.005 -0.321
   0.566   -15.305  0.000  0.000  0.000  0.000 -0.002 -0.218 -0.335  0.227  0.005 -0.321
   0.530   -15.305  0.000  0.000  0.000  0.000 -0.002 -0.219 -0.342  0.236  0.005 -0.321
   0.495   -15.304  0.000  0.000  0.000  0.000 -0.002 -0.220 -0.347  0.244  0.005 -0.319
   0.460   -15.304  0.000  0.000  0.000  0.000 -0.001 -0.220 -0.352  0.253  0.005 -0.316
   0.424   -15.304  0.000  0.000  0.000  0.000 -0.001 -0.221 -0.356  0.261  0.005 -0.312
   0.389   -15.303  0.000  0.000  0.000  0.000  0.000 -0.221 -0.361  0.270  0.004 -0.309
   0.354   -15.303  0.000  0.000  0.000  0.000  0.001 -0.221 -0.365  0.278  0.002 -0.305
   0.318   -15.303  0.000  0.000  0.000  0.000  0.002 -0.222 -0.368  0.285  0.001 -0.301
