#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -15.305  0.000  0.000  0.000  0.000  0.000 -0.001  0.002  0.002  0.000  0.003
   0.035   -15.305  0.000  0.000  0.000  0.000  0.000 -0.001  0.001  0.001  0.000  0.001
   0.071   -15.306  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.001  0.000  0.001
   0.106   -15.306  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.000  0.000  0.001
   0.141   -15.306  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.177   -15.307  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.212   -15.307  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.247   -15.308  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.283   -15.308  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.318   -15.308  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.354   -15.309  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.389   -15.309  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.424   -15.309  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.460   -15.309  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.495   -15.309  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.530   -15.309  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.566   -15.309  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.000  0.000  0.001
   0.601   -15.308  0.000  0.000  0.000  0.000  0.000  0.000  0.001  0.001  0.000  0.001
   0.636   -15.308  0.000  0.000  0.000  0.000  0.000 -0.001  0.001  0.001  0.000  0.001
   0.672   -15.307  0.000  0.000  0.000  0.000  0.000 -0.002  0.003  0.002  0.000  0.003
   0.672   -15.307  0.000  0.000  0.000  0.000  0.000 -0.002  0.003  0.002  0.000  0.003
