#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -15.305  0.000  0.000  0.000  0.000  0.001 -0.240  0.385 -0.304  0.005 -0.154
   0.035   -15.305  0.000  0.000  0.000  0.000 -0.003 -0.163  0.246 -0.184  0.003 -0.102
   0.071   -15.306  0.000  0.000  0.000  0.000 -0.003 -0.130  0.185 -0.134  0.002 -0.080
   0.106   -15.306  0.000  0.000  0.000  0.000 -0.004 -0.116  0.161 -0.113  0.001 -0.071
   0.141   -15.306  0.000  0.000  0.000  0.000 -0.003 -0.110  0.150 -0.104  0.000 -0.068
   0.177   -15.307  0.000  0.000  0.000  0.000 -0.003 -0.109  0.146 -0.100  0.000 -0.066
   0.212   -15.307  0.000  0.000  0.000  0.000 -0.002 -0.109  0.147 -0.102  0.000 -0.066
   0.247   -15.308  0.000  0.000  0.000  0.000 -0.002 -0.111  0.151 -0.106  0.000 -0.068
   0.283   -15.308  0.000  0.000  0.000  0.000 -0.001 -0.113  0.155 -0.110  0.000 -0.069
   0.318   -15.308  0.000  0.000  0.000  0.000 -0.002 -0.115  0.162 -0.117 -0.001 -0.071
   0.354   -15.309  0.000  0.000  0.000  0.000 -0.002 -0.118  0.170 -0.124 -0.001 -0.074
   0.389   -15.309  0.000  0.000  0.000  0.000 -0.001 -0.121  0.178 -0.132 -0.001 -0.076
   0.424   -15.309  0.000  0.000  0.000  0.000 -0.001 -0.123  0.187 -0.141 -0.001 -0.079
   0.460   -15.309  0.000  0.000  0.000  0.000 -0.001 -0.126  0.195 -0.149 -0.002 -0.082
   0.495   -15.309  0.000  0.000  0.000  0.000 -0.001 -0.128  0.204 -0.158 -0.002 -0.085
   0.530   -15.309  0.000  0.000  0.000  0.000 -0.001 -0.131  0.213 -0.168 -0.002 -0.088
   0.566   -15.309  0.000  0.000  0.000  0.000 -0.001 -0.134  0.223 -0.178 -0.003 -0.091
   0.601   -15.308  0.000  0.000  0.000  0.000 -0.001 -0.140  0.238 -0.191 -0.003 -0.096
   0.636   -15.308  0.000  0.000  0.000  0.000 -0.001 -0.155  0.264 -0.211 -0.003 -0.103
   0.672   -15.307  0.000  0.000  0.000  0.000  0.000 -0.206  0.344 -0.264 -0.003 -0.129
   0.672   -15.307  0.000  0.000  0.000  0.000  0.000 -0.206  0.344 -0.264 -0.003 -0.129
   0.707   -15.307  0.000  0.000  0.000  0.000  0.000 -0.082  0.103 -0.049 -0.002 -0.029
