#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  40 352
# Band-Index:    1
   0.00000    -15.304731  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.03535    -15.305083  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.07071    -15.305540  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.10606    -15.306019  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.14142    -15.306497  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.17677    -15.306959  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.21212    -15.307395  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.24748    -15.307794  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.28283    -15.308146  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.31819    -15.308443  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.35354    -15.308676  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.38889    -15.308841  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.42425    -15.308930  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.45960    -15.308942  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.49496    -15.308876  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.53031    -15.308733  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.56566    -15.308515  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.60102    -15.308227  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.63637    -15.307880  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.67173    -15.307497  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.67173    -15.307497  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.70708    -15.307392  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.74243    -15.307716  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.77779    -15.308013  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.81314    -15.308245  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.84850    -15.308403  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.88385    -15.308486  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
