#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -15.302 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.035   -15.302 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.071   -15.302 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.106   -15.303 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.141   -15.303 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.177   -15.304 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.212   -15.304 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.247   -15.305 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.283   -15.305 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.318   -15.305 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.354   -15.306 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.389   -15.306 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.424   -15.306 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.460   -15.306 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.495   -15.306 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.530   -15.306 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.566   -15.305 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.601   -15.305  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.636   -15.305  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.672   -15.304  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.672   -15.304  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.707   -15.304  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.742   -15.305  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.778   -15.305  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.813   -15.305  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.848   -15.305  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.884   -15.305  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.919   -15.305  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.955   -15.305  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.990   -15.305  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.025   -15.305  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.061   -15.305  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.096   -15.304  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.131   -15.304  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.167   -15.303  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.202   -15.303  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.237   -15.303  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.273   -15.302  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   1.308   -15.302  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.343   -15.302 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
# Band-Index:    2
   1.343   -15.301  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.308   -15.301  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
