#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -15.051  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.035   -15.051  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.071   -15.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.106   -15.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.141   -15.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.177   -15.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.212   -15.053  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.247   -15.053  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.283   -15.053  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.318   -15.053  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.354   -15.054  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.389   -15.054  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.424   -15.054  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.460   -15.054  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.495   -15.054  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.530   -15.054  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.566   -15.054  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.601   -15.054  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.636   -15.054  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.672   -15.053  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.672   -15.053  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.707   -15.054 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.742   -15.054 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.778   -15.054 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.813   -15.054 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.848   -15.054 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.884   -15.054 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.919   -15.054 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.955   -15.054 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   0.990   -15.054 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   1.025   -15.053 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   1.061   -15.053 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   1.096   -15.053 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   1.131   -15.053  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   1.167   -15.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   1.202   -15.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.001
   1.237   -15.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
