#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  40 352
# Band-Index:    1
   0.00000    -15.051076  0.000  0.000  0.000  0.000  0.147  0.050  0.269  0.346  0.166  0.979
   0.03535    -15.051340  0.000  0.000  0.000  0.000  0.149  0.049  0.268  0.346  0.167  0.978
   0.07071    -15.051620  0.000  0.000  0.000  0.000  0.150  0.049  0.266  0.346  0.168  0.979
   0.10606    -15.051908  0.000  0.000  0.000  0.000  0.152  0.048  0.264  0.345  0.170  0.980
   0.14142    -15.052197  0.000  0.000  0.000  0.000  0.154  0.047  0.261  0.345  0.171  0.978
   0.17677    -15.052481  0.000  0.000  0.000  0.000  0.156  0.046  0.259  0.343  0.174  0.978
   0.21212    -15.052755  0.000  0.000  0.000  0.000  0.158  0.046  0.256  0.342  0.176  0.979
   0.24748    -15.053012  0.000  0.000  0.000  0.000  0.160  0.045  0.254  0.342  0.178  0.979
   0.28283    -15.053249  0.000  0.000  0.000  0.000  0.162  0.044  0.250  0.340  0.181  0.978
   0.31819    -15.053459  0.000  0.000  0.000  0.000  0.164  0.044  0.247  0.339  0.183  0.979
   0.35354    -15.053638  0.000  0.000  0.000  0.000  0.167  0.043  0.245  0.337  0.185  0.979
   0.38889    -15.053784  0.000  0.000  0.000  0.000  0.168  0.043  0.242  0.336  0.188  0.979
   0.42425    -15.053890  0.000  0.000  0.000  0.000  0.169  0.043  0.241  0.334  0.190  0.978
   0.45960    -15.053956  0.000  0.000  0.000  0.000  0.169  0.044  0.240  0.334  0.192  0.979
   0.49496    -15.053979  0.000  0.000  0.000  0.000  0.169  0.044  0.238  0.332  0.194  0.978
   0.53031    -15.053957  0.000  0.000  0.000  0.000  0.170  0.045  0.238  0.330  0.195  0.978
   0.56566    -15.053889  0.000  0.000  0.000  0.000  0.169  0.046  0.237  0.330  0.195  0.979
   0.60102    -15.053776  0.000  0.000  0.000  0.000  0.168  0.048  0.238  0.329  0.195  0.978
   0.63637    -15.053620  0.000  0.000  0.000  0.000  0.167  0.048  0.240  0.328  0.195  0.978
   0.67173    -15.053422  0.000  0.000  0.000  0.000  0.166  0.049  0.240  0.328  0.195  0.979
   0.67173    -15.053422  0.000  0.000  0.000  0.000  0.166  0.049  0.240  0.328  0.195  0.979
   0.70708    -15.053620  0.000  0.000  0.000  0.000  0.167  0.048  0.240  0.328  0.195  0.978
   0.74243    -15.053776  0.000  0.000  0.000  0.000  0.168  0.048  0.238  0.329  0.195  0.978
   0.77779    -15.053889  0.000  0.000  0.000  0.000  0.169  0.046  0.237  0.330  0.195  0.979
   0.81314    -15.053957  0.000  0.000  0.000  0.000  0.170  0.045  0.238  0.330  0.195  0.978
   0.84850    -15.053979  0.000  0.000  0.000  0.000  0.169  0.044  0.238  0.332  0.194  0.978
   0.88385    -15.053956  0.000  0.000  0.000  0.000  0.169  0.044  0.240  0.334  0.192  0.979
   0.91920    -15.053890  0.000  0.000  0.000  0.000  0.169  0.043  0.241  0.334  0.190  0.978
   0.95456    -15.053784  0.000  0.000  0.000  0.000  0.168  0.043  0.242  0.336  0.188  0.979
   0.98991    -15.053638  0.000  0.000  0.000  0.000  0.167  0.043  0.245  0.337  0.185  0.979
   1.02527    -15.053459  0.000  0.000  0.000  0.000  0.164  0.044  0.247  0.339  0.183  0.979
   1.06062    -15.053249  0.000  0.000  0.000  0.000  0.162  0.044  0.250  0.340  0.181  0.978
   1.09597    -15.053012  0.000  0.000  0.000  0.000  0.160  0.045  0.254  0.342  0.178  0.979
   1.13133    -15.052755  0.000  0.000  0.000  0.000  0.158  0.046  0.256  0.342  0.176  0.979
   1.16668    -15.052481  0.000  0.000  0.000  0.000  0.156  0.046  0.259  0.343  0.174  0.978
   1.20203    -15.052197  0.000  0.000  0.000  0.000  0.154  0.047  0.261  0.345  0.171  0.978
   1.23739    -15.051908  0.000  0.000  0.000  0.000  0.152  0.048  0.264  0.345  0.170  0.980
   1.27274    -15.051620  0.000  0.000  0.000  0.000  0.150  0.049  0.266  0.346  0.168  0.979
   1.30810    -15.051340  0.000  0.000  0.000  0.000  0.149  0.049  0.268  0.346  0.167  0.978
   1.34345    -15.051076  0.000  0.000  0.000  0.000  0.147  0.050  0.269  0.346  0.166  0.979
 
# Band-Index:    2
   1.34345    -15.051076  0.000  0.000  0.000  0.000  0.147  0.050  0.269  0.346  0.166  0.979
   1.30810    -15.050836  0.000  0.000  0.000  0.000  0.146  0.051  0.270  0.346  0.166  0.979
   1.27274    -15.050629  0.000  0.000  0.000  0.000  0.146  0.050  0.271  0.345  0.166  0.979
   1.23739    -15.050461  0.000  0.000  0.000  0.000  0.145  0.051  0.271  0.345  0.167  0.979
   1.20203    -15.050339  0.000  0.000  0.000  0.000  0.145  0.052  0.270  0.344  0.167  0.979
   1.16668    -15.050271  0.000  0.000  0.000  0.000  0.146  0.053  0.270  0.342  0.168  0.980
   1.13133    -15.050261  0.000  0.000  0.000  0.000  0.146  0.054  0.268  0.340  0.170  0.980
   1.09597    -15.050311  0.000  0.000  0.000  0.000  0.147  0.055  0.267  0.338  0.172  0.980
