#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -15.051  0.000  0.000  0.000  0.000 -0.108 -0.027 -0.004 -0.107  0.127 -0.119
   0.035   -15.051  0.000  0.000  0.000  0.000 -0.009 -0.049 -0.200  0.168  0.017 -0.074
   0.071   -15.052  0.000  0.000  0.000  0.000 -0.008 -0.048 -0.200  0.168  0.017 -0.071
   0.106   -15.052  0.000  0.000  0.000  0.000 -0.008 -0.048 -0.198  0.169  0.016 -0.070
   0.141   -15.052  0.000  0.000  0.000  0.000 -0.008 -0.047 -0.198  0.171  0.016 -0.067
   0.177   -15.052  0.000  0.000  0.000  0.000 -0.007 -0.046 -0.199  0.173  0.015 -0.064
   0.212   -15.053  0.000  0.000  0.000  0.000 -0.006 -0.046 -0.199  0.176  0.014 -0.060
   0.247   -15.053  0.000  0.000  0.000  0.000 -0.006 -0.045 -0.200  0.180  0.014 -0.057
   0.283   -15.053  0.000  0.000  0.000  0.000 -0.007 -0.044 -0.201  0.183  0.014 -0.054
   0.318   -15.053  0.000  0.000  0.000  0.000 -0.006 -0.043 -0.203  0.188  0.013 -0.050
   0.354   -15.054  0.000  0.000  0.000  0.000 -0.006 -0.042 -0.204  0.192  0.013 -0.047
   0.389   -15.054  0.000  0.000  0.000  0.000 -0.006 -0.042 -0.206  0.196  0.013 -0.044
   0.424   -15.054  0.000  0.000  0.000  0.000 -0.006 -0.041 -0.207  0.200  0.013 -0.041
   0.460   -15.054  0.000  0.000  0.000  0.000 -0.005 -0.041 -0.210  0.204  0.013 -0.038
   0.495   -15.054  0.000  0.000  0.000  0.000 -0.006 -0.040 -0.211  0.208  0.014 -0.036
   0.530   -15.054  0.000  0.000  0.000  0.000 -0.006 -0.040 -0.213  0.212  0.014 -0.034
   0.566   -15.054  0.000  0.000  0.000  0.000 -0.006 -0.040 -0.216  0.214  0.014 -0.033
   0.601   -15.054  0.000  0.000  0.000  0.000 -0.007 -0.040 -0.217  0.216  0.015 -0.034
   0.636   -15.054  0.000  0.000  0.000  0.000 -0.009 -0.039 -0.221  0.218  0.017 -0.034
   0.672   -15.053  0.000  0.000  0.000  0.000 -0.120 -0.044 -0.083 -0.029  0.145 -0.132
   0.672   -15.053  0.000  0.000  0.000  0.000 -0.120 -0.044 -0.083 -0.029  0.145 -0.132
   0.707   -15.054  0.000  0.000  0.000  0.000  0.009  0.039  0.221 -0.218 -0.017  0.034
   0.742   -15.054  0.000  0.000  0.000  0.000  0.007  0.040  0.217 -0.216 -0.015  0.034
   0.778   -15.054  0.000  0.000  0.000  0.000  0.006  0.040  0.216 -0.214 -0.014  0.033
   0.813   -15.054  0.000  0.000  0.000  0.000  0.006  0.040  0.213 -0.212 -0.014  0.034
   0.848   -15.054  0.000  0.000  0.000  0.000  0.006  0.040  0.211 -0.208 -0.014  0.036
   0.884   -15.054  0.000  0.000  0.000  0.000  0.005  0.041  0.210 -0.204 -0.013  0.038
   0.919   -15.054  0.000  0.000  0.000  0.000  0.006  0.041  0.207 -0.200 -0.013  0.041
   0.955   -15.054  0.000  0.000  0.000  0.000  0.006  0.042  0.206 -0.196 -0.013  0.044
   0.990   -15.054  0.000  0.000  0.000  0.000  0.006  0.042  0.204 -0.192 -0.013  0.047
   1.025   -15.053  0.000  0.000  0.000  0.000  0.006  0.043  0.203 -0.188 -0.013  0.050
   1.061   -15.053  0.000  0.000  0.000  0.000  0.007  0.044  0.201 -0.183 -0.014  0.054
   1.096   -15.053  0.000  0.000  0.000  0.000  0.006  0.045  0.200 -0.180 -0.014  0.057
   1.131   -15.053  0.000  0.000  0.000  0.000  0.006  0.046  0.199 -0.176 -0.014  0.060
