#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -15.051  0.000  0.000  0.000  0.000 -0.089  0.037 -0.245  0.298 -0.094 -0.093
   0.035   -15.051  0.000  0.000  0.000  0.000 -0.148  0.007 -0.170  0.286 -0.163 -0.188
   0.071   -15.052  0.000  0.000  0.000  0.000 -0.149  0.007 -0.168  0.285 -0.164 -0.189
   0.106   -15.052  0.000  0.000  0.000  0.000 -0.150  0.007 -0.165  0.284 -0.166 -0.191
   0.141   -15.052  0.000  0.000  0.000  0.000 -0.153  0.006 -0.162  0.283 -0.168 -0.193
   0.177   -15.052  0.000  0.000  0.000  0.000 -0.155  0.004 -0.156  0.282 -0.170 -0.197
   0.212   -15.053  0.000  0.000  0.000  0.000 -0.156  0.003 -0.151  0.279 -0.172 -0.200
   0.247   -15.053  0.000  0.000  0.000  0.000 -0.159  0.001 -0.146  0.276 -0.175 -0.204
   0.283   -15.053  0.000  0.000  0.000  0.000 -0.161 -0.002 -0.139  0.272 -0.178 -0.207
   0.318   -15.053  0.000  0.000  0.000  0.000 -0.163 -0.003 -0.132  0.270 -0.180 -0.212
   0.354   -15.054  0.000  0.000  0.000  0.000 -0.165 -0.006 -0.126  0.266 -0.184 -0.214
   0.389   -15.054  0.000  0.000  0.000  0.000 -0.166 -0.008 -0.119  0.263 -0.186 -0.218
   0.424   -15.054  0.000  0.000  0.000  0.000 -0.167 -0.011 -0.113  0.258 -0.189 -0.221
   0.460   -15.054  0.000  0.000  0.000  0.000 -0.168 -0.014 -0.105  0.255 -0.191 -0.222
   0.495   -15.054  0.000  0.000  0.000  0.000 -0.168 -0.017 -0.100  0.252 -0.192 -0.225
   0.530   -15.054  0.000  0.000  0.000  0.000 -0.169 -0.020 -0.093  0.249 -0.193 -0.227
   0.566   -15.054  0.000  0.000  0.000  0.000 -0.168 -0.022 -0.090  0.246 -0.194 -0.227
   0.601   -15.054  0.000  0.000  0.000  0.000 -0.167 -0.024 -0.085  0.244 -0.194 -0.227
   0.636   -15.054  0.000  0.000  0.000  0.000 -0.166 -0.026 -0.082  0.243 -0.194 -0.226
   0.672   -15.053  0.000  0.000  0.000  0.000 -0.097  0.010 -0.205  0.303 -0.109 -0.097
   0.672   -15.053  0.000  0.000  0.000  0.000 -0.097  0.010 -0.205  0.303 -0.109 -0.097
   0.707   -15.054  0.000  0.000  0.000  0.000  0.166  0.026  0.082 -0.243  0.194  0.226
   0.742   -15.054  0.000  0.000  0.000  0.000  0.167  0.024  0.085 -0.244  0.194  0.227
   0.778   -15.054  0.000  0.000  0.000  0.000  0.168  0.022  0.090 -0.246  0.194  0.227
   0.813   -15.054  0.000  0.000  0.000  0.000  0.169  0.020  0.093 -0.249  0.193  0.227
   0.848   -15.054  0.000  0.000  0.000  0.000  0.168  0.017  0.100 -0.252  0.192  0.225
   0.884   -15.054  0.000  0.000  0.000  0.000  0.168  0.014  0.105 -0.255  0.191  0.222
   0.919   -15.054  0.000  0.000  0.000  0.000  0.167  0.011  0.113 -0.258  0.189  0.221
   0.955   -15.054  0.000  0.000  0.000  0.000  0.166  0.008  0.119 -0.263  0.186  0.218
   0.990   -15.054  0.000  0.000  0.000  0.000  0.165  0.006  0.126 -0.266  0.184  0.214
   1.025   -15.053  0.000  0.000  0.000  0.000  0.163  0.003  0.132 -0.270  0.180  0.212
   1.061   -15.053  0.000  0.000  0.000  0.000  0.161  0.002  0.139 -0.272  0.178  0.207
   1.096   -15.053  0.000  0.000  0.000  0.000  0.159 -0.001  0.146 -0.276  0.175  0.204
   1.131   -15.053  0.000  0.000  0.000  0.000  0.156 -0.003  0.151 -0.279  0.172  0.200
   1.167   -15.052  0.000  0.000  0.000  0.000  0.155 -0.004  0.156 -0.282  0.170  0.197
   1.202   -15.052  0.000  0.000  0.000  0.000  0.153 -0.006  0.162 -0.283  0.168  0.193
   1.237   -15.052  0.000  0.000  0.000  0.000  0.150 -0.007  0.165 -0.284  0.166  0.191
   1.273   -15.052  0.000  0.000  0.000  0.000  0.149 -0.007  0.168 -0.285  0.164  0.189
   1.308   -15.051  0.000  0.000  0.000  0.000  0.148 -0.007  0.170 -0.286  0.163  0.188
   1.343   -15.051  0.000  0.000  0.000  0.000 -0.089  0.037 -0.245  0.298 -0.094 -0.093
# Band-Index:    2
   1.343   -15.051  0.000  0.000  0.000  0.000  0.089 -0.037  0.245 -0.298  0.094  0.093
