#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -24.457  0.000  0.000  0.000  0.000  0.222 -0.052 -0.001  0.060 -0.221  0.007
   0.039   -24.457  0.000  0.000  0.000  0.000  0.317 -0.075  0.000  0.083 -0.316  0.009
   0.078   -24.457  0.000  0.000  0.000  0.000  0.317 -0.075  0.000  0.082 -0.315  0.008
   0.116   -24.457  0.000  0.000  0.000  0.000  0.316 -0.077  0.000  0.081 -0.314  0.006
   0.155   -24.457  0.000  0.000  0.000  0.000  0.316 -0.079  0.000  0.080 -0.314  0.003
   0.194   -24.457  0.000  0.000  0.000  0.000  0.314 -0.079  0.000  0.078 -0.313  0.000
   0.233   -24.457  0.000  0.000  0.000  0.000  0.311 -0.079  0.000  0.076 -0.311 -0.003
   0.272   -24.458  0.000  0.000  0.000  0.000  0.308 -0.079  0.000  0.074 -0.308 -0.005
   0.311   -24.458  0.000  0.000  0.000  0.000  0.308 -0.081  0.000  0.073 -0.308 -0.008
   0.349   -24.458  0.000  0.000  0.000  0.000  0.314 -0.083  0.000  0.074 -0.314 -0.008
   0.388   -24.458  0.000  0.000  0.000  0.000  0.320 -0.083  0.000  0.075 -0.319 -0.008
   0.427   -24.458  0.000  0.000  0.000  0.000  0.324 -0.084  0.000  0.077 -0.323 -0.008
   0.466   -24.459  0.000  0.000  0.000  0.000  0.325 -0.084  0.000  0.077 -0.325 -0.008
   0.505   -24.459  0.000  0.000  0.000  0.000  0.327 -0.084  0.000  0.077 -0.327 -0.007
   0.543   -24.459  0.000  0.000  0.000  0.000  0.327 -0.085  0.000  0.078 -0.328 -0.007
   0.582   -24.459  0.000  0.000  0.000  0.000  0.329 -0.083  0.000  0.078 -0.330 -0.006
   0.621   -24.459  0.000  0.000  0.000  0.000  0.330 -0.083  0.000  0.079 -0.330 -0.005
   0.660   -24.459  0.000  0.000  0.000  0.000  0.329 -0.083  0.000  0.080 -0.331 -0.004
