#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -24.457  0.000  0.000  0.000  0.000 -0.236  0.051  0.000  0.064 -0.234 -0.356
   0.039   -24.457  0.000  0.000  0.000  0.000 -0.234  0.046 -0.001  0.066 -0.233 -0.355
   0.078   -24.457  0.000  0.000  0.000  0.000 -0.234  0.048 -0.001  0.066 -0.234 -0.356
   0.116   -24.457  0.000  0.000  0.000  0.000 -0.236  0.049  0.000  0.065 -0.235 -0.357
   0.155   -24.457  0.000  0.000  0.000  0.000 -0.237  0.050  0.000  0.063 -0.236 -0.359
   0.194   -24.457  0.000  0.000  0.000  0.000 -0.239  0.053  0.000  0.063 -0.237 -0.361
   0.233   -24.457  0.000  0.000  0.000  0.000 -0.242  0.055  0.000  0.062 -0.241 -0.367
   0.272   -24.458  0.000  0.000  0.000  0.000 -0.245  0.056  0.000  0.062 -0.245 -0.372
   0.311   -24.458  0.000  0.000  0.000  0.000 -0.246  0.057  0.000  0.062 -0.246 -0.374
   0.349   -24.458  0.000  0.000  0.000  0.000 -0.238  0.055  0.000  0.060 -0.238 -0.363
   0.388   -24.458  0.000  0.000  0.000  0.000 -0.232  0.054  0.000  0.057 -0.231 -0.351
   0.427   -24.458  0.000  0.000  0.000  0.000 -0.227  0.054  0.000  0.055 -0.226 -0.345
   0.466   -24.459  0.000  0.000  0.000  0.000 -0.225  0.054  0.000  0.054 -0.224 -0.340
   0.505   -24.459  0.000  0.000  0.000  0.000 -0.222  0.054  0.000  0.052 -0.222 -0.336
   0.543   -24.459  0.000  0.000  0.000  0.000 -0.221  0.054  0.000  0.051 -0.220 -0.335
   0.582   -24.459  0.000  0.000  0.000  0.000 -0.218  0.054  0.000  0.050 -0.219 -0.334
   0.621   -24.459  0.000  0.000  0.000  0.000 -0.217  0.055  0.000  0.050 -0.218 -0.333
   0.660   -24.459  0.000  0.000  0.000  0.000 -0.218  0.055  0.000  0.049 -0.218 -0.332
   0.699   -24.459  0.000  0.000  0.000  0.000 -0.218  0.054  0.000  0.050 -0.218 -0.331
   0.737   -24.459  0.000  0.000  0.000  0.000 -0.393  0.098  0.000  0.095 -0.394 -0.596
   0.737   -24.459  0.000  0.000  0.000  0.000 -0.393  0.098  0.000  0.095 -0.394 -0.596
   0.776   -24.459  0.000  0.000  0.000  0.000  0.217 -0.054  0.000 -0.050  0.218  0.330
   0.815   -24.459  0.000  0.000  0.000  0.000  0.217 -0.055  0.000 -0.049  0.217  0.331
   0.854   -24.459  0.000  0.000  0.000  0.000  0.217 -0.055  0.000 -0.050  0.218  0.333
   0.893   -24.459  0.000  0.000  0.000  0.000  0.218 -0.054  0.000 -0.050  0.218  0.334
   0.932   -24.459  0.000  0.000  0.000  0.000  0.221 -0.054  0.000 -0.051  0.220  0.335
   0.970   -24.459  0.000  0.000  0.000  0.000  0.222 -0.054  0.000 -0.052  0.222  0.336
   1.009   -24.459  0.000  0.000  0.000  0.000  0.224 -0.054  0.000 -0.054  0.224  0.340
   1.048   -24.458  0.000  0.000  0.000  0.000  0.227 -0.054  0.000 -0.055  0.226  0.345
   1.087   -24.458  0.000  0.000  0.000  0.000  0.231 -0.054  0.000 -0.057  0.231  0.351
   1.126   -24.458  0.000  0.000  0.000  0.000  0.238 -0.055  0.000 -0.060  0.238  0.362
   1.164   -24.458  0.000  0.000  0.000  0.000  0.246 -0.056  0.000 -0.062  0.246  0.374
   1.203   -24.458  0.000  0.000  0.000  0.000  0.245 -0.056  0.000 -0.062  0.245  0.372
   1.242   -24.457  0.000  0.000  0.000  0.000  0.242 -0.055  0.000 -0.062  0.240  0.366
   1.281   -24.457  0.000  0.000  0.000  0.000  0.239 -0.053  0.000 -0.063  0.238  0.361
   1.320   -24.457  0.000  0.000  0.000  0.000  0.237 -0.050  0.000 -0.063  0.236  0.359
   1.358   -24.457  0.000  0.000  0.000  0.000  0.236 -0.049  0.000 -0.065  0.235  0.357
   1.397   -24.457  0.000  0.000  0.000  0.000  0.234 -0.048  0.001 -0.066  0.233  0.356
   1.436   -24.457  0.000  0.000  0.000  0.000  0.233 -0.046  0.001 -0.066  0.233  0.355
   1.475   -24.457  0.000  0.000  0.000  0.000 -0.236  0.051  0.000  0.064 -0.234 -0.356
# Band-Index:    2
   1.475   -24.457  0.000  0.000  0.000  0.000  0.236 -0.051  0.000 -0.064  0.234  0.356
   1.436   -24.457  0.000  0.000  0.000  0.000 -0.233  0.045 -0.001  0.068 -0.232 -0.353
   1.397   -24.457  0.000  0.000  0.000  0.000 -0.232  0.044 -0.001  0.068 -0.231 -0.352
   1.358   -24.457  0.000  0.000  0.000  0.000 -0.232  0.044 -0.001  0.068 -0.231 -0.351
   1.320   -24.457  0.000  0.000  0.000  0.000 -0.232  0.044 -0.001  0.069 -0.231 -0.351
   1.281   -24.457  0.000  0.000  0.000  0.000 -0.233  0.044 -0.001  0.068 -0.232 -0.353
   1.242   -24.457  0.000  0.000  0.000  0.000 -0.236  0.045  0.000  0.069 -0.235 -0.358
   1.203   -24.457  0.000  0.000  0.000  0.000 -0.243  0.047  0.000  0.069 -0.241 -0.368
   1.164   -24.458  0.000  0.000  0.000  0.000 -0.248  0.050  0.000  0.070 -0.247 -0.376
   1.126   -24.458  0.000  0.000  0.000  0.000 -0.243  0.051  0.000  0.067 -0.242 -0.368
   1.087   -24.458  0.000  0.000  0.000  0.000 -0.233  0.048  0.000  0.065 -0.233 -0.356
   1.048   -24.458  0.000  0.000  0.000  0.000 -0.227  0.048  0.000  0.061 -0.228 -0.347
   1.009   -24.458  0.000  0.000  0.000  0.000 -0.225  0.049  0.000  0.058 -0.223 -0.341
   0.970   -24.458  0.000  0.000  0.000  0.000 -0.221  0.049  0.000  0.056 -0.222 -0.338
   0.932   -24.459  0.000  0.000  0.000  0.000 -0.220  0.050  0.000  0.055 -0.220 -0.335
   0.893   -24.459  0.000  0.000  0.000  0.000 -0.218  0.051  0.000  0.052 -0.218 -0.333
   0.854   -24.459  0.000  0.000  0.000  0.000 -0.218  0.052  0.000  0.051 -0.218 -0.332
   0.815   -24.459  0.000  0.000  0.000  0.000 -0.217  0.053  0.000  0.051 -0.217 -0.332
   0.776   -24.459  0.000  0.000  0.000  0.000 -0.217  0.053  0.000  0.050 -0.217 -0.330
   0.737   -24.459  0.000  0.000  0.000  0.000  0.393 -0.098  0.000 -0.095  0.394  0.596
   0.737   -24.459  0.000  0.000  0.000  0.000  0.393 -0.098  0.000 -0.095  0.394  0.596
   0.699   -24.459  0.000  0.000  0.000  0.000  0.217 -0.053  0.000 -0.050  0.217  0.331
   0.660   -24.459  0.000  0.000  0.000  0.000  0.217 -0.053  0.000 -0.051  0.218  0.332
   0.621   -24.459  0.000  0.000  0.000  0.000  0.218 -0.052  0.000 -0.051  0.218  0.332
   0.582   -24.459  0.000  0.000  0.000  0.000  0.218 -0.051  0.000 -0.052  0.218  0.334
   0.543   -24.459  0.000  0.000  0.000  0.000  0.220 -0.050  0.000 -0.055  0.220  0.335
   0.505   -24.458  0.000  0.000  0.000  0.000  0.221 -0.049  0.000 -0.056  0.222  0.338
   0.466   -24.458  0.000  0.000  0.000  0.000  0.225 -0.049  0.000 -0.058  0.223  0.341
   0.427   -24.458  0.000  0.000  0.000  0.000  0.227 -0.048  0.000 -0.061  0.228  0.347
   0.388   -24.458  0.000  0.000  0.000  0.000  0.233 -0.048  0.000 -0.065  0.234  0.356
   0.349   -24.458  0.000  0.000  0.000  0.000  0.243 -0.051  0.000 -0.068  0.242  0.369
   0.311   -24.458  0.000  0.000  0.000  0.000  0.248 -0.050  0.000 -0.070  0.247  0.377
   0.272   -24.457  0.000  0.000  0.000  0.000  0.243 -0.047  0.000 -0.069  0.241  0.368
   0.233   -24.457  0.000  0.000  0.000  0.000  0.236 -0.045  0.000 -0.069  0.235  0.358
   0.194   -24.457  0.000  0.000  0.000  0.000  0.233 -0.044  0.001 -0.068  0.231  0.353
   0.155   -24.457  0.000  0.000  0.000  0.000  0.233 -0.044  0.001 -0.069  0.231  0.351
   0.116   -24.457  0.000  0.000  0.000  0.000  0.232 -0.044  0.001 -0.068  0.231  0.350
   0.078   -24.457  0.000  0.000  0.000  0.000  0.232 -0.044  0.001 -0.068  0.232  0.352
   0.039   -24.457  0.000  0.000  0.000  0.000  0.233 -0.044  0.001 -0.068  0.232  0.354
   0.000   -24.457  0.000  0.000  0.000  0.000  0.236 -0.051  0.000 -0.064  0.234  0.356
# Band-Index:    3
   0.000   -24.455  0.000  0.000  0.000  0.000 -0.235  0.048 -0.001  0.066 -0.233 -0.355
   0.039   -24.455  0.000  0.000  0.000  0.000 -0.228  0.046 -0.001  0.064 -0.227 -0.346
   0.078   -24.456  0.000  0.000  0.000  0.000 -0.227  0.047 -0.001  0.065 -0.226 -0.346
   0.116   -24.456  0.000  0.000  0.000  0.000 -0.228  0.047 -0.001  0.063 -0.226 -0.343
   0.155   -24.456  0.000  0.000  0.000  0.000 -0.227  0.048 -0.001  0.060 -0.225 -0.343
   0.194   -24.456  0.000  0.000  0.000  0.000 -0.225  0.050  0.000  0.059 -0.223 -0.343
   0.233   -24.457  0.000  0.000  0.000  0.000 -0.225  0.050  0.000  0.058 -0.225 -0.343
   0.272   -24.457  0.000  0.000  0.000  0.000 -0.227  0.053  0.000  0.056 -0.227 -0.346
   0.311   -24.457  0.000  0.000  0.000  0.000 -0.232  0.057  0.000  0.055 -0.232 -0.353
   0.349   -24.457  0.000  0.000  0.000  0.000 -0.233  0.059  0.000  0.053 -0.234 -0.355
   0.388   -24.458  0.000  0.000  0.000  0.000 -0.232  0.061  0.000  0.050 -0.232 -0.353
   0.427   -24.458  0.000  0.000  0.000  0.000 -0.229  0.062  0.000  0.048 -0.230 -0.349
