#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -24.462  0.000  0.000  0.000  0.000 -0.233  0.056  0.000  0.056 -0.233 -0.354
   0.020   -24.462  0.000  0.000  0.000  0.000 -0.233  0.055  0.000  0.056 -0.233 -0.354
   0.040   -24.462  0.000  0.000  0.000  0.000 -0.233  0.055  0.000  0.057 -0.233 -0.354
   0.060   -24.462  0.000  0.000  0.000  0.000 -0.232  0.054  0.000  0.057 -0.233 -0.354
   0.080   -24.462  0.000  0.000  0.000  0.000 -0.232  0.054  0.000  0.058 -0.233 -0.353
   0.100   -24.462  0.000  0.000  0.000  0.000 -0.232  0.053  0.000  0.058 -0.232 -0.353
   0.120   -24.462  0.000  0.000  0.000  0.000 -0.232  0.053  0.000  0.059 -0.232 -0.353
   0.140   -24.462  0.000  0.000  0.000  0.000 -0.232  0.052  0.000  0.059 -0.232 -0.352
   0.160   -24.462  0.000  0.000  0.000  0.000 -0.231  0.052  0.000  0.060 -0.232 -0.352
   0.180   -24.462  0.000  0.000  0.000  0.000 -0.231  0.051  0.000  0.060 -0.231 -0.351
   0.200   -24.462  0.000  0.000  0.000  0.000 -0.230  0.051  0.000  0.060 -0.231 -0.351
   0.220   -24.462  0.000  0.000  0.000  0.000 -0.230  0.050  0.000  0.061 -0.231 -0.350
   0.241   -24.462  0.000  0.000  0.000  0.000 -0.230  0.050 -0.001  0.061 -0.230 -0.350
   0.261   -24.462  0.000  0.000  0.000  0.000 -0.229  0.050 -0.001  0.061 -0.230 -0.349
   0.281   -24.462  0.000  0.000  0.000  0.000 -0.229  0.049 -0.001  0.061 -0.229 -0.348
   0.301   -24.462  0.000  0.000  0.000  0.000 -0.228  0.049 -0.001  0.061 -0.229 -0.347
   0.321   -24.462  0.000  0.000  0.000  0.000 -0.228  0.049 -0.001  0.061 -0.228 -0.346
   0.341   -24.462  0.000  0.000  0.000  0.000 -0.227  0.049 -0.001  0.061 -0.228 -0.346
   0.361   -24.462  0.000  0.000  0.000  0.000 -0.226  0.049 -0.001  0.061 -0.227 -0.345
   0.381   -24.462  0.000  0.000  0.000  0.000 -0.226  0.048 -0.001  0.061 -0.227 -0.344
   0.401   -24.462  0.000  0.000  0.000  0.000 -0.225  0.048 -0.001  0.061 -0.226 -0.343
   0.421   -24.462  0.000  0.000  0.000  0.000 -0.225  0.048 -0.001  0.061 -0.225 -0.342
   0.441   -24.463  0.000  0.000  0.000  0.000 -0.224  0.048 -0.001  0.060 -0.225 -0.341
   0.461   -24.463  0.000  0.000  0.000  0.000 -0.223  0.048 -0.001  0.060 -0.224 -0.340
   0.481   -24.463  0.000  0.000  0.000  0.000 -0.223  0.048 -0.001  0.060 -0.223 -0.339
   0.501   -24.463  0.000  0.000  0.000  0.000 -0.222  0.048 -0.001  0.059 -0.223 -0.338
   0.521   -24.463  0.000  0.000  0.000  0.000 -0.222  0.048 -0.001  0.059 -0.222 -0.337
   0.541   -24.463  0.000  0.000  0.000  0.000 -0.221  0.048 -0.001  0.059 -0.222 -0.336
   0.561   -24.463  0.000  0.000  0.000  0.000 -0.220  0.048 -0.001  0.058 -0.221 -0.335
   0.581   -24.463  0.000  0.000  0.000  0.000 -0.220  0.048 -0.001  0.058 -0.220 -0.335
   0.601   -24.463  0.000  0.000  0.000  0.000 -0.219  0.048  0.000  0.057 -0.220 -0.334
   0.621   -24.463  0.000  0.000  0.000  0.000 -0.219  0.048  0.000  0.057 -0.219 -0.333
   0.641   -24.463  0.000  0.000  0.000  0.000 -0.218  0.048  0.000  0.056 -0.218 -0.332
   0.661   -24.463  0.000  0.000  0.000  0.000 -0.217  0.048  0.000  0.056 -0.218 -0.331
   0.681   -24.464  0.000  0.000  0.000  0.000 -0.217  0.049  0.000  0.055 -0.217 -0.330
   0.702   -24.464  0.000  0.000  0.000  0.000 -0.216  0.049  0.000  0.055 -0.217 -0.330
   0.722   -24.464  0.000  0.000  0.000  0.000 -0.216  0.049  0.000  0.055 -0.216 -0.329
   0.742   -24.464  0.000  0.000  0.000  0.000 -0.216  0.049  0.000  0.054 -0.216 -0.328
   0.762   -24.464  0.000  0.000  0.000  0.000 -0.215  0.049  0.000  0.054 -0.215 -0.328
   0.782   -24.464  0.000  0.000  0.000  0.000 -0.215  0.049  0.000  0.053 -0.215 -0.327
   0.802   -24.464  0.000  0.000  0.000  0.000 -0.214  0.049  0.000  0.053 -0.214 -0.326
   0.822   -24.464  0.000  0.000  0.000  0.000 -0.213  0.050  0.000  0.052 -0.213 -0.325
   0.842   -24.464  0.000  0.000  0.000  0.000 -0.213  0.050  0.000  0.052 -0.213 -0.324
   0.862   -24.464  0.000  0.000  0.000  0.000 -0.213  0.050  0.000  0.052 -0.213 -0.324
   0.882   -24.464  0.000  0.000  0.000  0.000 -0.214  0.050  0.000  0.052 -0.214 -0.325
   0.902   -24.464  0.000  0.000  0.000  0.000 -0.213  0.050  0.000  0.051 -0.213 -0.324
   0.922   -24.464  0.000  0.000  0.000  0.000 -0.212  0.050  0.000  0.051 -0.212 -0.323
   0.942   -24.465  0.000  0.000  0.000  0.000 -0.223  0.053  0.000  0.053 -0.223 -0.339
   0.962   -24.465  0.000  0.000  0.000  0.000 -0.196  0.047  0.000  0.047 -0.196 -0.298
   0.982   -24.465  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.982   -24.465  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.000   -24.465  0.000  0.000  0.000  0.000  0.035 -0.009  0.000 -0.008  0.035  0.052
   1.017   -24.465  0.000  0.000  0.000  0.000  0.087 -0.021  0.000 -0.021  0.087  0.131
   1.034   -24.464  0.000  0.000  0.000  0.000  0.141 -0.035  0.000 -0.034  0.141  0.213
   1.052   -24.464  0.000  0.000  0.000  0.000  0.080 -0.020  0.000 -0.019  0.080  0.121
   1.069   -24.464  0.000  0.000  0.000  0.000  0.030 -0.008  0.000 -0.007  0.030  0.045
   1.086   -24.464  0.000  0.000  0.000  0.000  0.020 -0.005  0.000 -0.004  0.020  0.030
   1.104   -24.464  0.000  0.000  0.000  0.000  0.014 -0.004  0.000 -0.003  0.014  0.021
   1.121   -24.464  0.000  0.000  0.000  0.000  0.011 -0.003  0.000 -0.002  0.011  0.016
   1.138   -24.464  0.000  0.000  0.000  0.000  0.009 -0.003  0.000 -0.002  0.009  0.013
   1.156   -24.464  0.000  0.000  0.000  0.000  0.007 -0.002  0.000 -0.001  0.007  0.011
   1.173   -24.464  0.000  0.000  0.000  0.000  0.006 -0.002  0.000 -0.001  0.006  0.009
   1.190   -24.464  0.000  0.000  0.000  0.000  0.005 -0.001  0.000 -0.001  0.005  0.007
   1.208   -24.464  0.000  0.000  0.000  0.000  0.004 -0.001  0.000 -0.001  0.004  0.006
   1.225   -24.464  0.000  0.000  0.000  0.000  0.004 -0.001  0.000 -0.001  0.004  0.005
   1.243   -24.464  0.000  0.000  0.000  0.000  0.003 -0.001  0.000 -0.001  0.003  0.005
   1.260   -24.464  0.000  0.000  0.000  0.000  0.003  0.000  0.000 -0.001  0.003  0.004
   1.277   -24.463  0.000  0.000  0.000  0.000  0.003  0.000  0.000 -0.001  0.003  0.004
   1.295   -24.463  0.000  0.000  0.000  0.000  0.002  0.000  0.000 -0.001  0.002  0.003
   1.312   -24.463  0.000  0.000  0.000  0.000  0.002  0.001  0.000 -0.002  0.002  0.003
   1.329   -24.463  0.000  0.000  0.000  0.000  0.002  0.001  0.000 -0.002  0.002  0.003
   1.347   -24.463  0.000  0.000  0.000  0.000  0.002  0.001  0.000 -0.002  0.002  0.003
   1.364   -24.463  0.000  0.000  0.000  0.000  0.002  0.002  0.000 -0.002  0.002  0.002
   1.381   -24.463  0.000  0.000  0.000  0.000  0.002  0.002  0.000 -0.003  0.001  0.002
   1.399   -24.463  0.000  0.000  0.000  0.000  0.001  0.002  0.000 -0.003  0.001  0.002
   1.416   -24.462  0.000  0.000  0.000  0.000  0.001  0.003  0.000 -0.003  0.001  0.002
