    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    57   57
    #Band-Index:   21
    0.000000    0.000000   -1.986382   0.181   0.313   0.000
    0.000000    0.029844   -1.969001  -0.291   0.000   0.000
    0.000000    0.059689   -1.851237  -0.292   0.000   0.000
    0.000000    0.089533   -1.706686  -0.310   0.000   0.000
    0.000000    0.119377   -1.565007  -0.321   0.000   0.000
    0.000000    0.149222   -1.444205  -0.326   0.000   0.000
    0.000000    0.179066   -1.360015  -0.328   0.000   0.000
    0.000000    0.208911   -1.354524   0.359   0.000   0.000
    0.000000    0.238755   -1.402329   0.354   0.000   0.000
    0.000000    0.268599   -1.468462   0.348   0.000   0.000
    0.000000    0.298444   -1.542850   0.342   0.000   0.000
    0.000000    0.328288   -1.617478   0.335   0.000   0.000
    0.000000    0.358132   -1.685995   0.327   0.000   0.000
    0.000000    0.387977   -1.743485   0.319   0.000   0.000
    0.000000    0.417821   -1.786480   0.312   0.000   0.000
    0.000000    0.447665   -1.813079   0.308   0.000   0.000
    0.000000    0.477510   -1.822938   0.305   0.000   0.000
    0.000000    0.507354   -1.817025   0.304   0.000   0.000
    0.000000    0.537199   -1.797191   0.305   0.000   0.000
    0.000000    0.567043   -1.765735   0.307   0.000   0.000
    0.000000    0.596887   -1.725085   0.309   0.000   0.000
    0.000000    0.626732   -1.677637   0.312   0.000   0.000
    0.000000    0.656576   -1.625704   0.315   0.000   0.000
    0.000000    0.686420   -1.571575   0.318   0.000   0.000
    0.000000    0.716265   -1.517591   0.320   0.000   0.000
    0.000000    0.746109   -1.466272   0.322   0.000   0.000
    0.000000    0.775953   -1.420413   0.323   0.000   0.000
    0.000000    0.805798   -1.383097   0.325   0.000   0.000
    0.000000    0.835642   -1.383097  -0.325   0.000   0.000
   -0.000000   -0.835642   -1.420413  -0.323   0.000   0.000
   -0.000000   -0.805798   -1.466272  -0.322   0.000   0.000
   -0.000000   -0.775953   -1.517591  -0.320   0.000   0.000
   -0.000000   -0.746109   -1.571575  -0.318   0.000   0.000
   -0.000000   -0.716265   -1.625704  -0.315   0.000   0.000
   -0.000000   -0.686420   -1.677637  -0.312   0.000   0.000
   -0.000000   -0.656576   -1.725085  -0.309   0.000   0.000
   -0.000000   -0.626732   -1.765735  -0.307   0.000   0.000
   -0.000000   -0.596887   -1.797191  -0.305   0.000   0.000
