    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    57   57
    #Band-Index:   20
    0.000000    0.000000   -2.379817   0.000   0.000   0.000
    0.000000    0.029844   -2.428369  -0.137   0.000   0.000
    0.000000    0.059689   -2.511199  -0.238   0.000   0.000
    0.000000    0.089533   -2.592210  -0.295   0.000   0.000
    0.000000    0.119377   -2.667932  -0.314   0.000   0.000
    0.000000    0.149222   -2.739742  -0.302   0.000   0.000
    0.000000    0.179066   -2.808073  -0.268   0.000   0.000
    0.000000    0.208911   -2.872198  -0.215   0.000   0.000
    0.000000    0.238755   -2.928994   0.118   0.000   0.000
    0.000000    0.268599   -2.972859   0.083   0.000   0.000
    0.000000    0.298444   -3.018033   0.052   0.000   0.000
    0.000000    0.328288   -3.065306   0.022   0.000   0.000
    0.000000    0.358132   -3.115724  -0.003   0.000   0.000
    0.000000    0.387977   -3.164718   0.174   0.000   0.000
    0.000000    0.417821   -3.216041   0.207   0.000   0.000
    0.000000    0.447665   -3.274164   0.226   0.000   0.000
    0.000000    0.477510   -3.339143   0.234   0.000   0.000
    0.000000    0.507354   -3.409720   0.231   0.000   0.000
    0.000000    0.537199   -3.483704   0.218   0.000   0.000
    0.000000    0.567043   -3.558414   0.198   0.000   0.000
    0.000000    0.596887   -3.631068   0.170   0.000   0.000
    0.000000    0.626732   -3.699046   0.138   0.002   0.000
    0.000000    0.656576   -3.757232   0.012   0.000   0.000
    0.000000    0.686420   -3.806650   0.026   0.000   0.000
    0.000000    0.716265   -3.847839   0.037   0.000   0.000
    0.000000    0.746109   -3.879974   0.045   0.000   0.000
    0.000000    0.775953   -3.902395   0.047   0.000   0.000
    0.000000    0.805798   -3.914585   0.043   0.000   0.000
    0.000000    0.835642   -3.914585  -0.043   0.000   0.000
   -0.000000   -0.835642   -3.902395  -0.047   0.000   0.000
   -0.000000   -0.805798   -3.879974  -0.045   0.000   0.000
   -0.000000   -0.775953   -3.847839  -0.037   0.000   0.000
   -0.000000   -0.746109   -3.806650  -0.026   0.000   0.000
   -0.000000   -0.716265   -3.757232  -0.012   0.000   0.000
