    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    57   57
    #Band-Index:   20
    0.000000    0.000000   -2.379817   0.000   0.000   0.000
    0.000000    0.029844   -2.425674  -0.134   0.000   0.000
    0.000000    0.059689   -2.505320  -0.232   0.000   0.000
    0.000000    0.089533   -2.583951  -0.291   0.000   0.000
    0.000000    0.119377   -2.657569  -0.313   0.000   0.000
    0.000000    0.149222   -2.727389  -0.306   0.000   0.000
    0.000000    0.179066   -2.794002  -0.277   0.000   0.000
    0.000000    0.208911   -2.856900  -0.230   0.000   0.000
    0.000000    0.238755   -2.915089  -0.170   0.000   0.000
    0.000000    0.268599   -2.958891   0.094   0.000   0.000
    0.000000    0.298444   -3.001992   0.063   0.000   0.000
    0.000000    0.328288   -3.046747   0.033   0.000   0.000
    0.000000    0.358132   -3.094045   0.007   0.000   0.000
    0.000000    0.387977   -3.143207   0.155   0.002   0.000
    0.000000    0.417821   -3.190040   0.192   0.000   0.000
    0.000000    0.447665   -3.242689   0.218   0.000   0.000
    0.000000    0.477510   -3.301866   0.231   0.000   0.000
    0.000000    0.507354   -3.367055   0.234   0.000   0.000
    0.000000    0.537199   -3.436717   0.227   0.000   0.000
    0.000000    0.567043   -3.508665   0.213   0.000   0.000
    0.000000    0.596887   -3.580422   0.191   0.000   0.000
    0.000000    0.626732   -3.649511   0.162   0.000   0.000
    0.000000    0.656576   -3.713649   0.130   0.004   0.002
    0.000000    0.686420   -3.767364   0.015   0.000   0.000
    0.000000    0.716265   -3.813724   0.029   0.000   0.000
    0.000000    0.746109   -3.852289   0.038   0.000   0.000
    0.000000    0.775953   -3.882337   0.045   0.000   0.000
    0.000000    0.805798   -3.903295   0.047   0.000   0.000
    0.000000    0.835642   -3.914705   0.043   0.000   0.000
   -0.000000   -0.835642   -3.914705  -0.043   0.000   0.000
   -0.000000   -0.805798   -3.903295  -0.047   0.000   0.000
   -0.000000   -0.775953   -3.882337  -0.045   0.000   0.000
   -0.000000   -0.746109   -3.852289  -0.038   0.000   0.000
   -0.000000   -0.716265   -3.813724  -0.029   0.000   0.000
   -0.000000   -0.686420   -3.767364  -0.015   0.000   0.000
   -0.000000   -0.656576   -3.713649  -0.130  -0.004  -0.002
   -0.000000   -0.626732   -3.649511  -0.162   0.000   0.000
   -0.000000   -0.596887   -3.580422  -0.191   0.000   0.000
   -0.000000   -0.567043   -3.508665  -0.213   0.000   0.000
   -0.000000   -0.537199   -3.436717  -0.227   0.000   0.000
   -0.000000   -0.507354   -3.367055  -0.234   0.000   0.000
   -0.000000   -0.477510   -3.301866  -0.231   0.000   0.000
   -0.000000   -0.447665   -3.242689  -0.218   0.000   0.000
   -0.000000   -0.417821   -3.190040  -0.192   0.000   0.000
   -0.000000   -0.387977   -3.143207  -0.155  -0.002   0.000
   -0.000000   -0.358132   -3.094045  -0.007   0.000   0.000
   -0.000000   -0.328288   -3.046747  -0.033   0.000   0.000
   -0.000000   -0.298444   -3.001992  -0.063   0.000   0.000
   -0.000000   -0.268599   -2.958891  -0.094   0.000   0.000
   -0.000000   -0.238755   -2.915089   0.170   0.000   0.000
   -0.000000   -0.208911   -2.856900   0.230   0.000   0.000
   -0.000000   -0.179066   -2.794002   0.277   0.000   0.000
   -0.000000   -0.149222   -2.727389   0.306   0.000   0.000
   -0.000000   -0.119377   -2.657569   0.313   0.000   0.000
   -0.000000   -0.089533   -2.583951   0.291   0.000   0.000
   -0.000000   -0.059689   -2.505320   0.232   0.000   0.000
   -0.000000   -0.029844   -2.425674   0.134   0.000   0.000
    0.025846    0.014922   -2.425674  -0.067   0.115   0.000
    0.025846    0.044767   -2.482620  -0.173   0.100   0.265
    0.025846    0.074611   -2.555101  -0.246   0.080   0.237
    0.025846    0.104455   -2.627665  -0.279   0.066   0.206
    0.025846    0.134300   -2.697986  -0.280   0.065   0.188
    0.025846    0.164144   -2.765815  -0.251   0.088   0.178
    0.025846    0.193988   -2.830088  -0.188   0.164   0.176
    0.025846    0.223833   -2.888311  -0.076   0.329   0.166
    0.025846    0.253677   -2.938005   0.031   0.430   0.118
    0.025846    0.283521   -2.982450   0.054   0.420   0.089
    0.025846    0.313366   -3.025593   0.052   0.421   0.090
    0.025846    0.343210   -3.068954   0.060   0.432   0.103
    0.025846    0.373055   -3.113341   0.091   0.422   0.111
    0.025846    0.402899   -3.159875   0.137   0.375   0.103
    0.025846    0.432743   -3.210345   0.178   0.315   0.085
    0.025846    0.462588   -3.266339   0.206   0.267   0.067
    0.025846    0.492432   -3.328327   0.220   0.233   0.051
    0.025846    0.522276   -3.395534   0.221   0.214   0.043
    0.025846    0.552121   -3.466233   0.211   0.207   0.040
    0.025846    0.581965   -3.538150   0.193   0.209   0.044
    0.025846    0.611809   -3.608800   0.167   0.219   0.059
    0.025846    0.641654   -3.675741   0.136   0.239   0.086
    0.025846    0.671498   -3.736793   0.103   0.264   0.122
    0.025846    0.701343   -3.790262   0.074   0.285   0.164
    0.025846    0.731187   -3.835052   0.054   0.300   0.201
    0.025846    0.761031   -3.870535   0.040   0.313   0.231
    0.025846    0.790876   -3.896276   0.029   0.326   0.256
    0.025846    0.820720   -3.911909   0.016   0.338   0.274
    0.025846    0.850564   -3.917157   0.000   0.343   0.281
    0.025846   -0.820720   -3.911911  -0.016   0.338   0.274
    0.025846   -0.790876   -3.896279  -0.029   0.326   0.256
    0.025846   -0.761031   -3.870539  -0.040   0.313   0.231
    0.025846   -0.731187   -3.835058  -0.054   0.300   0.201
    0.025846   -0.701343   -3.790268  -0.074   0.285   0.164
    0.025846   -0.671498   -3.736800  -0.103   0.264   0.122
    0.025846   -0.641654   -3.675748  -0.136   0.239   0.086
    0.025846   -0.611809   -3.608808  -0.167   0.219   0.059
    0.025846   -0.581965   -3.538157  -0.193   0.209   0.044
    0.025846   -0.552121   -3.466240  -0.211   0.207   0.040
    0.025846   -0.522276   -3.395541  -0.221   0.214   0.043
    0.025846   -0.492432   -3.328335  -0.220   0.233   0.051
    0.025846   -0.462588   -3.266347  -0.206   0.267   0.067
    0.025846   -0.432743   -3.210355  -0.178   0.315   0.085
    0.025846   -0.402899   -3.159886  -0.137   0.375   0.103
    0.025846   -0.373055   -3.113353  -0.091   0.422   0.111
    0.025846   -0.343210   -3.068965  -0.060   0.432   0.103
    0.025846   -0.313366   -3.025604  -0.052   0.421   0.090
    0.025846   -0.283521   -2.982462  -0.054   0.420   0.089
    0.025846   -0.253677   -2.938017  -0.031   0.430   0.118
    0.025846   -0.223833   -2.888326   0.076   0.329   0.166
