# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -0.734678   -0.848333    0.000000    0.001738    0.628102    0.778129
   -0.734678   -0.839850    0.000000    0.003114    0.616541    0.787317
   -0.734678   -0.831367    0.000000    0.004504    0.601874    0.798579
   -0.734678   -0.822883    0.000000    0.006316    0.586784    0.809719
   -0.734678   -0.814400    0.000000    0.008893    0.573640    0.819059
   -0.734678   -0.805917    0.000000    0.012475    0.563944    0.825719
   -0.734678   -0.797433    0.000000    0.017177    0.558062    0.829621
   -0.734678   -0.788950    0.000000    0.022958    0.555154    0.831431
   -0.734678   -0.780467    0.000000    0.029570    0.553263    0.832482
   -0.734678   -0.771983    0.000000    0.036529    0.549638    0.834604
   -0.734678   -0.763500    0.000000    0.043162    0.541390    0.839663
   -0.734678   -0.755017    0.000000    0.048766    0.526434    0.848816
   -0.734678   -0.746533    0.000000    0.052849    0.504338    0.861887
   -0.734678   -0.738050    0.000000    0.055319    0.476565    0.877397
   -0.734678   -0.729567    0.000000    0.056496    0.445884    0.893306
   -0.734678   -0.721083    0.000000    0.056945    0.415285    0.907907
   -0.734678   -0.712600    0.000000    0.057261    0.387065    0.920273
   -0.734678   -0.704117    0.000000    0.057905    0.362433    0.930209
   -0.734678   -0.695633    0.000000    0.059134    0.341577    0.937992
   -0.734678   -0.687150    0.000000    0.060998    0.323929    0.944113
   -0.734678   -0.678667    0.000000    0.063348    0.308448    0.949129
   -0.734678   -0.670183    0.000000    0.065871    0.293903    0.953563
   -0.734678   -0.661700    0.000000    0.068153    0.279160    0.957823
   -0.734678   -0.653217    0.000000    0.069788    0.263479    0.962137
   -0.734678   -0.644733    0.000000    0.070506    0.246726    0.966517
   -0.734678   -0.636250    0.000000    0.070277    0.229379    0.970797
   -0.734678   -0.627767    0.000000    0.069321    0.212306    0.974741
   -0.734678   -0.619283    0.000000    0.068026    0.196431    0.978155
   -0.734678   -0.610800    0.000000    0.066832    0.182460    0.980939
   -0.734678   -0.602317    0.000000    0.066138    0.170767    0.983089
   -0.734678   -0.593833    0.000000    0.066266    0.161417    0.984659
   -0.734678   -0.585350    0.000000    0.067448    0.154257    0.985726
   -0.734678   -0.576867    0.000000    0.069854    0.149016    0.986364
   -0.734678   -0.568383    0.000000    0.073610    0.145399    0.986631
   -0.734678   -0.559900    0.000000    0.078836    0.143167    0.986554
   -0.734678   -0.551417    0.000000    0.085688    0.142214    0.986120
   -0.734678   -0.542933    0.000000    0.094426    0.142630    0.985262
   -0.734678   -0.534450    0.000000    0.105524    0.144769    0.983822
   -0.734678   -0.525967    0.000000    0.119824    0.149320    0.981502
   -0.734678   -0.517483    0.000000    0.138789    0.157428    0.977729
   -0.734678   -0.509000    0.000000    0.164945    0.170944    0.971376
   -0.734678   -0.500517    0.000000    0.202710    0.192940    0.960043
   -0.734678   -0.492033    0.000000    0.260030    0.228728    0.938119
