  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS: 120  33
# Band-Index:    1
    0.000  -24.2820     0.985     0.000
    0.028  -24.2820     0.985     0.000
    0.056  -24.2820     0.985     0.000
    0.085  -24.2820     0.985     0.000
    0.113  -24.2820     0.985     0.000
    0.141  -24.2820     0.985     0.000
    0.169  -24.2820     0.985     0.000
    0.198  -24.2819     0.985     0.000
    0.226  -24.2819     0.985     0.000
    0.254  -24.2819     0.985     0.000
    0.282  -24.2819     0.985     0.000
    0.311  -24.2819     0.985     0.000
    0.339  -24.2818     0.985     0.000
    0.367  -24.2818     0.985     0.000
    0.395  -24.2818     0.985     0.000
    0.424  -24.2818     0.985     0.000
    0.452  -24.2818     0.985     0.000
    0.480  -24.2818     0.985     0.000
    0.508  -24.2818     0.985     0.000
    0.537  -24.2818     0.985     0.000
    0.565  -24.2818     0.985     0.000
    0.593  -24.2818     0.985     0.000
    0.621  -24.2818     0.985     0.000
    0.650  -24.2818     0.985     0.000
    0.678  -24.2818     0.985     0.000
    0.706  -24.2818     0.985     0.000
    0.734  -24.2818     0.985     0.000
    0.763  -24.2818     0.985     0.000
    0.791  -24.2818     0.985     0.000
    0.819  -24.2818     0.985     0.000
    0.819  -24.2818     0.985     0.000
    0.843  -24.2818     0.985     0.000
    0.868  -24.2818     0.985     0.000
    0.892  -24.2818     0.985     0.000
    0.917  -24.2818     0.985     0.000
    0.941  -24.2818     0.985     0.000
    0.966  -24.2818     0.985     0.000
    0.990  -24.2818     0.985     0.000
    1.015  -24.2818     0.985     0.000
    1.039  -24.2818     0.985     0.000
    1.064  -24.2817     0.985     0.000
    1.088  -24.2817     0.985     0.000
    1.113  -24.2817     0.985     0.000
    1.137  -24.2817     0.985     0.000
    1.161  -24.2817     0.985     0.000
    1.186  -24.2817     0.985     0.000
    1.210  -24.2816     0.985     0.000
    1.235  -24.2816     0.985     0.000
    1.259  -24.2816     0.985     0.000
    1.284  -24.2816     0.985     0.000
    1.308  -24.2816     0.985     0.000
    1.333  -24.2815     0.985     0.000
    1.357  -24.2815     0.985     0.000
    1.382  -24.2815     0.985     0.000
