#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 120  33
# Band-Index:    1
   0.00000    -24.244453  0.000  0.000  0.000  0.000  0.394  0.098  0.000  0.098  0.394  0.985
   0.02733    -24.244451  0.000  0.000  0.000  0.000  0.394  0.097  0.000  0.099  0.394  0.985
   0.05466    -24.244444  0.000  0.000  0.000  0.000  0.394  0.097  0.000  0.099  0.394  0.985
   0.08199    -24.244436  0.000  0.000  0.000  0.000  0.394  0.096  0.000  0.100  0.394  0.985
   0.10932    -24.244423  0.000  0.000  0.000  0.000  0.394  0.096  0.000  0.100  0.394  0.985
   0.13665    -24.244409  0.000  0.000  0.000  0.000  0.394  0.095  0.000  0.101  0.394  0.985
   0.16398    -24.244397  0.000  0.000  0.000  0.000  0.394  0.095  0.000  0.101  0.394  0.985
   0.19132    -24.244382  0.000  0.000  0.000  0.000  0.394  0.094  0.000  0.102  0.394  0.985
   0.21865    -24.244367  0.000  0.000  0.000  0.000  0.394  0.094  0.000  0.102  0.394  0.985
   0.24598    -24.244346  0.000  0.000  0.000  0.000  0.394  0.094  0.000  0.103  0.394  0.985
   0.27331    -24.244330  0.000  0.000  0.000  0.000  0.394  0.093  0.000  0.103  0.394  0.985
   0.30064    -24.244312  0.000  0.000  0.000  0.000  0.394  0.093  0.000  0.103  0.394  0.985
   0.32797    -24.244297  0.000  0.000  0.000  0.000  0.394  0.093  0.000  0.103  0.394  0.985
   0.35530    -24.244282  0.000  0.000  0.000  0.000  0.394  0.093  0.000  0.103  0.394  0.985
   0.38263    -24.244266  0.000  0.000  0.000  0.000  0.394  0.093  0.000  0.103  0.394  0.985
   0.40996    -24.244256  0.000  0.000  0.000  0.000  0.394  0.093  0.000  0.103  0.394  0.985
   0.43729    -24.244245  0.000  0.000  0.000  0.000  0.394  0.093  0.000  0.103  0.394  0.985
   0.46462    -24.244242  0.000  0.000  0.000  0.000  0.394  0.093  0.000  0.103  0.394  0.985
   0.49195    -24.244236  0.000  0.000  0.000  0.000  0.394  0.093  0.000  0.103  0.394  0.985
   0.51928    -24.244230  0.000  0.000  0.000  0.000  0.394  0.094  0.000  0.102  0.394  0.985
   0.54662    -24.244232  0.000  0.000  0.000  0.000  0.394  0.094  0.000  0.102  0.394  0.985
   0.57395    -24.244231  0.000  0.000  0.000  0.000  0.394  0.094  0.000  0.102  0.394  0.985
   0.60128    -24.244232  0.000  0.000  0.000  0.000  0.394  0.095  0.000  0.101  0.394  0.985
   0.62861    -24.244235  0.000  0.000  0.000  0.000  0.394  0.095  0.000  0.101  0.394  0.985
   0.65594    -24.244238  0.000  0.000  0.000  0.000  0.394  0.096  0.000  0.100  0.394  0.985
   0.68327    -24.244239  0.000  0.000  0.000  0.000  0.394  0.096  0.000  0.100  0.394  0.985
   0.71060    -24.244242  0.000  0.000  0.000  0.000  0.394  0.097  0.000  0.099  0.394  0.985
   0.73793    -24.244248  0.000  0.000  0.000  0.000  0.394  0.097  0.000  0.099  0.394  0.985
   0.76526    -24.244252  0.000  0.000  0.000  0.000  0.394  0.098  0.000  0.098  0.394  0.985
   0.79259    -24.244252  0.000  0.000  0.000  0.000  0.394  0.098  0.000  0.098  0.394  0.985
   0.79259    -24.244252  0.000  0.000  0.000  0.000  0.394  0.098  0.000  0.098  0.394  0.985
   0.81626    -24.244252  0.000  0.000  0.000  0.000  0.394  0.098  0.000  0.098  0.394  0.985
   0.83993    -24.244247  0.000  0.000  0.000  0.000  0.394  0.099  0.000  0.097  0.394  0.985
   0.86360    -24.244243  0.000  0.000  0.000  0.000  0.394  0.098  0.000  0.098  0.394  0.985
   0.88727    -24.244237  0.000  0.000  0.000  0.000  0.394  0.098  0.000  0.098  0.394  0.985
   0.91094    -24.244233  0.000  0.000  0.000  0.000  0.394  0.098  0.000  0.098  0.394  0.985
   0.93461    -24.244228  0.000  0.000  0.000  0.000  0.394  0.097  0.000  0.099  0.394  0.985
   0.95828    -24.244218  0.000  0.000  0.000  0.000  0.394  0.096  0.000  0.100  0.394  0.985
   0.98195    -24.244211  0.000  0.000  0.000  0.000  0.394  0.097  0.000  0.099  0.394  0.985
   1.00561    -24.244197  0.000  0.000  0.000  0.000  0.394  0.095  0.000  0.101  0.394  0.985
   1.02928    -24.244187  0.000  0.000  0.000  0.000  0.394  0.095  0.000  0.102  0.394  0.985
   1.05295    -24.244175  0.000  0.000  0.000  0.000  0.394  0.094  0.000  0.102  0.394  0.985
   1.07662    -24.244163  0.000  0.000  0.000  0.000  0.394  0.095  0.000  0.102  0.394  0.985
   1.10029    -24.244147  0.000  0.000  0.000  0.000  0.394  0.091  0.000  0.105  0.394  0.985
   1.12396    -24.244133  0.000  0.000  0.000  0.000  0.394  0.091  0.000  0.106  0.394  0.985
   1.14763    -24.244118  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.106  0.394  0.985
   1.17130    -24.244105  0.000  0.000  0.000  0.000  0.394  0.089  0.000  0.107  0.394  0.985
   1.19497    -24.244094  0.000  0.000  0.000  0.000  0.394  0.089  0.000  0.107  0.394  0.985
   1.21864    -24.244080  0.000  0.000  0.000  0.000  0.394  0.089  0.000  0.107  0.394  0.985
   1.24231    -24.244068  0.000  0.000  0.000  0.000  0.394  0.089  0.000  0.108  0.394  0.985
   1.26598    -24.244057  0.000  0.000  0.000  0.000  0.394  0.088  0.000  0.108  0.394  0.985
   1.28964    -24.244041  0.000  0.000  0.000  0.000  0.394  0.088  0.000  0.108  0.394  0.985
   1.31331    -24.244031  0.000  0.000  0.000  0.000  0.394  0.088  0.000  0.108  0.394  0.985
   1.33698    -24.244019  0.000  0.000  0.000  0.000  0.394  0.088  0.000  0.108  0.394  0.985
   1.36065    -24.244014  0.000  0.000  0.000  0.000  0.394  0.088  0.000  0.108  0.394  0.985
   1.38432    -24.244010  0.000  0.000  0.000  0.000  0.394  0.088  0.000  0.108  0.394  0.985
   1.40799    -24.244004  0.000  0.000  0.000  0.000  0.394  0.089  0.000  0.108  0.394  0.985
   1.43166    -24.244002  0.000  0.000  0.000  0.000  0.394  0.089  0.000  0.107  0.394  0.985
   1.45533    -24.243999  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.107  0.394  0.985
   1.47900    -24.243995  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.107  0.394  0.985
   1.47900    -24.243995  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.107  0.394  0.985
   1.49266    -24.244024  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.107  0.394  0.985
   1.50633    -24.244053  0.000  0.000  0.000  0.000  0.394  0.089  0.000  0.107  0.394  0.985
   1.51999    -24.244081  0.000  0.000  0.000  0.000  0.394  0.089  0.000  0.107  0.394  0.985
   1.53366    -24.244104  0.000  0.000  0.000  0.000  0.394  0.089  0.000  0.107  0.394  0.985
   1.54732    -24.244128  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.107  0.394  0.985
   1.56099    -24.244153  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.107  0.394  0.985
   1.57466    -24.244177  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.107  0.394  0.985
   1.58832    -24.244201  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.107  0.394  0.985
   1.60199    -24.244220  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.106  0.394  0.985
   1.61565    -24.244244  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.106  0.394  0.985
   1.62932    -24.244262  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.106  0.394  0.985
   1.64298    -24.244283  0.000  0.000  0.000  0.000  0.394  0.090  0.000  0.106  0.394  0.985
   1.65665    -24.244305  0.000  0.000  0.000  0.000  0.394  0.091  0.000  0.105  0.394  0.985
   1.67031    -24.244322  0.000  0.000  0.000  0.000  0.394  0.091  0.000  0.105  0.394  0.985
   1.68398    -24.244339  0.000  0.000  0.000  0.000  0.394  0.091  0.000  0.105  0.394  0.985
   1.69764    -24.244357  0.000  0.000  0.000  0.000  0.394  0.092  0.000  0.104  0.394  0.985
   1.71131    -24.244370  0.000  0.000  0.000  0.000  0.394  0.092  0.000  0.104  0.394  0.985
   1.72497    -24.244383  0.000  0.000  0.000  0.000  0.394  0.092  0.000  0.104  0.394  0.985
   1.73864    -24.244395  0.000  0.000  0.000  0.000  0.394  0.093  0.000  0.103  0.394  0.985
   1.75231    -24.244403  0.000  0.000  0.000  0.000  0.394  0.093  0.000  0.103  0.394  0.985
   1.76597    -24.244414  0.000  0.000  0.000  0.000  0.394  0.094  0.000  0.102  0.394  0.985
