    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    25   47
    #Band-Index:   40
    0.000000    0.000000   -2.020175   0.000  -0.164   0.000
    0.000000    0.031381   -1.920434  -0.338   0.000   0.148
    0.000000    0.062763   -2.025829  -0.344   0.000   0.130
    0.000000    0.094144   -2.087520  -0.282   0.000   0.120
    0.000000    0.125526   -2.118699  -0.232   0.000   0.136
    0.000000    0.156907   -2.138113  -0.182   0.000   0.178
    0.000000    0.188288   -2.153533  -0.110   0.000   0.228
    0.000000    0.219670   -2.167974  -0.014   0.000   0.258
    0.000000    0.251051   -2.183076   0.086   0.000   0.264
    0.000000    0.282433   -2.200183   0.178   0.000   0.244
    0.000000    0.313814   -2.220462   0.252   0.000   0.206
    0.000000    0.345195   -2.244887   0.308   0.000   0.160
    0.000000    0.376577   -2.274239   0.350   0.000   0.112
    0.000000    0.407958   -2.309103   0.380   0.000   0.060
    0.000000    0.439340   -2.349889   0.398   0.000   0.012
    0.000000    0.470721   -2.396806   0.406   0.000  -0.036
    0.000000    0.502102   -2.449877   0.408   0.000  -0.078
    0.000000    0.533484   -2.508930   0.406   0.000  -0.116
    0.000000    0.564865   -2.573601   0.398   0.000  -0.150
    0.000000    0.596247   -2.643367   0.390   0.000  -0.180
    0.000000    0.627628   -2.717555   0.378   0.000  -0.206
    0.000000    0.659010   -2.795371   0.366   0.000  -0.226
    0.000000    0.690391   -2.875911   0.352   0.000  -0.246
    0.000000    0.721772   -2.958184   0.336   0.000  -0.264
    0.000000    0.753154   -2.958184  -0.336   0.000   0.264
    0.000000    0.784535   -2.875911  -0.352   0.000   0.246
    0.000000    0.815917   -2.795371  -0.366   0.000   0.226
    0.000000    0.847298   -2.717555  -0.378   0.000   0.206
    0.000000    0.878679   -2.643367  -0.390   0.000   0.180
    0.000000    0.910061   -2.573601  -0.398   0.000   0.150
    0.000000    0.941442   -2.508930  -0.406   0.000   0.116
    0.000000    0.972824   -2.449877  -0.408   0.000   0.078
    0.000000    1.004205   -2.396806  -0.406   0.000   0.036
    0.000000    1.035586   -2.349889  -0.398   0.000  -0.012
    0.000000    1.066968   -2.309103  -0.380   0.000  -0.060
    0.000000    1.098349   -2.274239  -0.350   0.000  -0.112
