    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    27   40
    #Band-Index:   40
    0.000000    0.000000   -2.208432   0.000   0.244   0.000
    0.000000    0.031248   -2.108030   0.170   0.000  -0.276
    0.000000    0.062497   -2.099749  -0.136   0.000   0.104
    0.000000    0.093745   -2.153183  -0.140   0.000   0.154
    0.000000    0.124994   -2.210989  -0.084   0.000   0.198
    0.000000    0.156242   -2.270662   0.006   0.000   0.220
    0.000000    0.187491   -2.328861   0.106   0.000   0.198
    0.000000    0.218739   -2.384055   0.162   0.000   0.154
    0.000000    0.249987   -2.436929   0.198   0.000   0.128
    0.000000    0.281236   -2.487588   0.232   0.000   0.108
    0.000000    0.312484   -2.535996   0.266   0.000   0.090
    0.000000    0.343733   -2.582439   0.298   0.000   0.068
    0.000000    0.374981   -2.627505   0.326   0.000   0.042
    0.000000    0.406230   -2.671926   0.350   0.000   0.014
    0.000000    0.437478   -2.716428   0.368   0.000  -0.016
    0.000000    0.468726   -2.761629   0.378   0.000  -0.042
    0.000000    0.499975   -2.807997   0.386   0.000  -0.070
    0.000000    0.531223   -2.855833   0.388   0.000  -0.096
    0.000000    0.562472   -2.905269   0.388   0.000  -0.120
    0.000000    0.593720   -2.956294   0.386   0.000  -0.142
    0.000000    0.624969   -3.008768   0.380   0.000  -0.162
    0.000000    0.656217   -3.062444   0.374   0.000  -0.182
    0.000000    0.687466   -3.116987   0.366   0.000  -0.202
    0.000000    0.718714   -3.171995   0.356   0.000  -0.218
    0.000000    0.749962   -3.171995  -0.356   0.000   0.218
    0.000000    0.781211   -3.116987  -0.366   0.000   0.202
    0.000000    0.812459   -3.062444  -0.374   0.000   0.182
    0.000000    0.843708   -3.008768  -0.380   0.000   0.162
    0.000000    0.874956   -2.956294  -0.386   0.000   0.142
    0.000000    0.906205   -2.905269  -0.388   0.000   0.120
    0.000000    0.937453   -2.855833  -0.388   0.000   0.096
    0.000000    0.968701   -2.807997  -0.386   0.000   0.070
    0.000000    0.999950   -2.761629  -0.378   0.000   0.042
    0.000000    1.031198   -2.716428  -0.368   0.000   0.016
    0.000000    1.062447   -2.671926  -0.350   0.000  -0.014
    0.000000    1.093695   -2.627505  -0.326   0.000  -0.042
    0.000000    1.124944   -2.582439  -0.298   0.000  -0.068
    0.000000    1.156192   -2.535996  -0.266   0.000  -0.090
    0.000000    1.187440   -2.487588  -0.232   0.000  -0.108
    0.000000    1.218689   -2.436929  -0.198   0.000  -0.128
    0.031465    0.000000   -2.221266   0.000   0.324   0.000
    0.031465    0.031248   -2.144384   0.136   0.234  -0.200
    0.031465    0.062497   -2.118927  -0.054   0.242  -0.002
    0.031465    0.093745   -2.153830  -0.110   0.162   0.114
    0.031465    0.124994   -2.205826  -0.080   0.104   0.176
    0.031465    0.156242   -2.263387  -0.006   0.040   0.216
    0.031465    0.187491   -2.321335   0.088  -0.024   0.202
    0.031465    0.218739   -2.377159   0.152  -0.054   0.160
    0.031465    0.249987   -2.430989   0.188  -0.054   0.130
    0.031465    0.281236   -2.482759   0.222  -0.048   0.110
    0.031465    0.312484   -2.532319   0.258  -0.042   0.092
    0.031465    0.343733   -2.579879   0.290  -0.038   0.068
    0.031465    0.374981   -2.625981   0.320  -0.036   0.044
    0.031465    0.406230   -2.671335   0.344  -0.034   0.016
    0.031465    0.437478   -2.716657   0.360  -0.032  -0.012
    0.031465    0.468726   -2.762569   0.374  -0.030  -0.042
    0.031465    0.499975   -2.809540   0.382  -0.028  -0.068
    0.031465    0.531223   -2.857872   0.384  -0.028  -0.094
    0.031465    0.562472   -2.907702   0.386  -0.024  -0.120
    0.031465    0.593720   -2.959015   0.382  -0.020  -0.142
    0.031465    0.624969   -3.011666   0.378  -0.018  -0.162
    0.031465    0.656217   -3.065404   0.372  -0.014  -0.182
    0.031465    0.687466   -3.119887   0.364  -0.010  -0.202
    0.031465    0.718714   -3.174685   0.352  -0.006  -0.220
    0.031465    0.749962   -3.174685  -0.352  -0.006   0.220
