    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:     1   23
    #Band-Index:  360
    0.000000    0.000000   -2.119049  -0.393  -0.016  -0.141
    0.000000    0.062228   -2.070036  -0.125   0.100  -0.039
    0.000000    0.124456   -2.028957  -0.144   0.242   0.097
    0.000000    0.186685   -2.071089   0.029   0.249   0.112
    0.000000    0.248913   -2.119388  -0.040   0.307   0.095
    0.000000    0.311141   -2.206080  -0.108   0.303   0.114
    0.000000    0.373369   -2.303022  -0.128   0.278   0.154
    0.000000    0.435598   -2.386909  -0.115   0.262   0.190
    0.000000    0.497826   -2.450699  -0.085   0.260   0.220
    0.000000    0.560054   -2.494924  -0.051   0.258   0.237
    0.000000    0.622282   -2.519423   0.107   0.253   0.227
    0.000000    0.684511   -2.531620   0.071   0.256   0.238
    0.000000   -0.684511   -2.532044   0.070   0.256   0.237
    0.000000   -0.622282   -2.519910   0.106   0.253   0.226
    0.000000   -0.560054   -2.494551  -0.051   0.259   0.237
    0.000000   -0.497826   -2.450239  -0.085   0.260   0.220
    0.000000   -0.435598   -2.386301  -0.115   0.262   0.191
    0.000000   -0.373369   -2.302237  -0.128   0.278   0.154
    0.000000   -0.311141   -2.205138  -0.108   0.302   0.114
    0.000000   -0.248913   -2.118291  -0.040   0.306   0.094
    0.000000   -0.186685   -2.070068   0.031   0.249   0.106
    0.000000   -0.124456   -2.030285  -0.143   0.242   0.096
    0.000000   -0.062228   -2.071487  -0.123   0.100  -0.039
