#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  55
# Band-Index:    1
   0.00000    -24.215796  0.000  0.000  0.000  0.000  0.372  0.096  0.022  0.120  0.374  0.984
   0.01961    -24.215837  0.000  0.000  0.000  0.000  0.372  0.096  0.020  0.120  0.374  0.984
   0.03922    -24.215877  0.000  0.000  0.000  0.000  0.374  0.096  0.020  0.120  0.376  0.984
   0.05883    -24.215917  0.000  0.000  0.000  0.000  0.374  0.096  0.020  0.120  0.376  0.984
   0.07844    -24.215950  0.000  0.000  0.000  0.000  0.374  0.094  0.020  0.120  0.376  0.984
   0.09806    -24.215985  0.000  0.000  0.000  0.000  0.374  0.094  0.020  0.120  0.376  0.984
   0.11767    -24.216018  0.000  0.000  0.000  0.000  0.374  0.094  0.020  0.120  0.376  0.984
   0.13728    -24.216041  0.000  0.000  0.000  0.000  0.374  0.094  0.020  0.120  0.376  0.984
   0.15689    -24.216068  0.000  0.000  0.000  0.000  0.374  0.094  0.020  0.120  0.376  0.984
   0.17650    -24.216091  0.000  0.000  0.000  0.000  0.374  0.094  0.020  0.120  0.376  0.984
   0.19611    -24.216109  0.000  0.000  0.000  0.000  0.374  0.094  0.020  0.120  0.376  0.984
   0.21572    -24.216127  0.000  0.000  0.000  0.000  0.376  0.094  0.020  0.120  0.376  0.984
   0.23533    -24.216140  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.120  0.376  0.984
   0.25494    -24.216147  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.376  0.984
   0.27456    -24.216152  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.378  0.984
   0.29417    -24.216153  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.378  0.984
   0.31378    -24.216153  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.378  0.984
   0.33339    -24.216150  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   0.35300    -24.216142  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   0.37261    -24.216128  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   0.37261    -24.216128  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   0.41610    -24.216161  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   0.45959    -24.216156  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   0.50307    -24.216113  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   0.54656    -24.216038  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   0.59005    -24.215925  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   0.63353    -24.215781  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.376  0.984
   0.67702    -24.215611  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.120  0.376  0.984
   0.72051    -24.215501  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.376  0.984
   0.76399    -24.215399  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.120  0.376  0.984
   0.80748    -24.215259  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.120  0.376  0.984
   0.85097    -24.215097  0.000  0.000  0.000  0.000  0.378  0.090  0.018  0.122  0.376  0.984
   0.89445    -24.214916  0.000  0.000  0.000  0.000  0.378  0.088  0.018  0.124  0.376  0.984
   0.93794    -24.214720  0.000  0.000  0.000  0.000  0.378  0.086  0.018  0.126  0.376  0.984
   0.98143    -24.214512  0.000  0.000  0.000  0.000  0.378  0.086  0.018  0.128  0.376  0.984
   1.02492    -24.214298  0.000  0.000  0.000  0.000  0.378  0.084  0.018  0.130  0.376  0.984
   1.06840    -24.214086  0.000  0.000  0.000  0.000  0.378  0.082  0.018  0.130  0.376  0.984
   1.11189    -24.213878  0.000  0.000  0.000  0.000  0.378  0.082  0.018  0.132  0.376  0.984
   1.15538    -24.213675  0.000  0.000  0.000  0.000  0.378  0.080  0.018  0.134  0.374  0.984
   1.19886    -24.213487  0.000  0.000  0.000  0.000  0.377  0.080  0.019  0.134  0.375  0.985
   1.19886    -24.213487  0.000  0.000  0.000  0.000  0.377  0.080  0.019  0.134  0.375  0.985
   1.24235    -24.213675  0.000  0.000  0.000  0.000  0.378  0.080  0.018  0.134  0.374  0.984
   1.28584    -24.213878  0.000  0.000  0.000  0.000  0.378  0.082  0.018  0.132  0.376  0.984
   1.32932    -24.214086  0.000  0.000  0.000  0.000  0.378  0.082  0.018  0.130  0.376  0.984
   1.37281    -24.214298  0.000  0.000  0.000  0.000  0.378  0.084  0.018  0.130  0.376  0.984
   1.41630    -24.214512  0.000  0.000  0.000  0.000  0.378  0.086  0.018  0.128  0.376  0.984
   1.45978    -24.214720  0.000  0.000  0.000  0.000  0.378  0.086  0.018  0.126  0.376  0.984
   1.50327    -24.214916  0.000  0.000  0.000  0.000  0.378  0.088  0.018  0.124  0.376  0.984
   1.54676    -24.215097  0.000  0.000  0.000  0.000  0.378  0.090  0.018  0.122  0.376  0.984
   1.59025    -24.215259  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.120  0.376  0.984
   1.63373    -24.215399  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.120  0.376  0.984
   1.67722    -24.215501  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.376  0.984
   1.72071    -24.215611  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.120  0.376  0.984
   1.76419    -24.215781  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.376  0.984
   1.80768    -24.215925  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   1.85117    -24.216038  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   1.89465    -24.216113  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   1.93814    -24.216156  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   1.98163    -24.216161  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   2.02511    -24.216128  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   2.02511    -24.216128  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   2.06393    -24.216164  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   2.10274    -24.216158  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   2.14156    -24.216118  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   2.18037    -24.216045  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   2.21918    -24.215937  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   2.25800    -24.215788  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.378  0.984
   2.29681    -24.215614  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.376  0.984
   2.33563    -24.215508  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.376  0.984
   2.37444    -24.215424  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.376  0.984
   2.41325    -24.215318  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.120  0.376  0.984
   2.45207    -24.215202  0.000  0.000  0.000  0.000  0.378  0.090  0.018  0.122  0.376  0.984
   2.49088    -24.215071  0.000  0.000  0.000  0.000  0.378  0.088  0.018  0.124  0.376  0.984
   2.52969    -24.214938  0.000  0.000  0.000  0.000  0.378  0.086  0.018  0.126  0.376  0.984
   2.56851    -24.214808  0.000  0.000  0.000  0.000  0.378  0.086  0.018  0.128  0.376  0.984
   2.60732    -24.214675  0.000  0.000  0.000  0.000  0.378  0.084  0.018  0.130  0.376  0.984
   2.64614    -24.214560  0.000  0.000  0.000  0.000  0.378  0.082  0.018  0.130  0.376  0.984
   2.68495    -24.214453  0.000  0.000  0.000  0.000  0.378  0.080  0.018  0.132  0.376  0.984
   2.72376    -24.214363  0.000  0.000  0.000  0.000  0.378  0.080  0.018  0.134  0.376  0.984
   2.76258    -24.214293  0.000  0.000  0.000  0.000  0.378  0.078  0.018  0.134  0.376  0.984
 
# Band-Index:    2
   2.76258    -24.214293  0.000  0.000  0.000  0.000  0.378  0.078  0.018  0.134  0.376  0.984
   2.72376    -24.214248  0.000  0.000  0.000  0.000  0.378  0.078  0.018  0.136  0.376  0.984
   2.68495    -24.214225  0.000  0.000  0.000  0.000  0.378  0.078  0.018  0.136  0.374  0.984
   2.64614    -24.214235  0.000  0.000  0.000  0.000  0.378  0.078  0.018  0.136  0.374  0.984
   2.60732    -24.214270  0.000  0.000  0.000  0.000  0.376  0.078  0.020  0.136  0.374  0.984
   2.56851    -24.214336  0.000  0.000  0.000  0.000  0.376  0.080  0.020  0.134  0.374  0.984
   2.52969    -24.214435  0.000  0.000  0.000  0.000  0.376  0.082  0.020  0.134  0.374  0.984
   2.49088    -24.214580  0.000  0.000  0.000  0.000  0.376  0.084  0.020  0.130  0.374  0.984
   2.45207    -24.214760  0.000  0.000  0.000  0.000  0.376  0.088  0.020  0.128  0.374  0.984
   2.41325    -24.214973  0.000  0.000  0.000  0.000  0.376  0.090  0.020  0.124  0.376  0.984
   2.37444    -24.215198  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.122  0.376  0.984
   2.33563    -24.215413  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.120  0.376  0.984
   2.29681    -24.215571  0.000  0.000  0.000  0.000  0.376  0.098  0.018  0.116  0.376  0.984
   2.25800    -24.215605  0.000  0.000  0.000  0.000  0.374  0.100  0.020  0.116  0.376  0.984
   2.21918    -24.215609  0.000  0.000  0.000  0.000  0.374  0.100  0.020  0.114  0.376  0.984
   2.18037    -24.215685  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.122  0.378  0.984
   2.14156    -24.215830  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.120  0.378  0.984
   2.10274    -24.215957  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.378  0.984
   2.06393    -24.216061  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.378  0.984
   2.02511    -24.216128  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   2.02511    -24.216128  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   1.98163    -24.216054  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.378  0.984
   1.93814    -24.215944  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.378  0.984
   1.89465    -24.215804  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.120  0.378  0.984
   1.85117    -24.215640  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.120  0.378  0.984
   1.80768    -24.215620  0.000  0.000  0.000  0.000  0.374  0.100  0.020  0.114  0.376  0.984
   1.76419    -24.215619  0.000  0.000  0.000  0.000  0.374  0.100  0.020  0.116  0.376  0.984
   1.72071    -24.215577  0.000  0.000  0.000  0.000  0.376  0.098  0.018  0.116  0.376  0.984
   1.67722    -24.215419  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.120  0.376  0.984
   1.63373    -24.215210  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.122  0.376  0.984
   1.59025    -24.214994  0.000  0.000  0.000  0.000  0.376  0.090  0.018  0.122  0.376  0.984
   1.54676    -24.214769  0.000  0.000  0.000  0.000  0.376  0.090  0.018  0.124  0.376  0.984
   1.50327    -24.214551  0.000  0.000  0.000  0.000  0.376  0.088  0.018  0.126  0.376  0.984
   1.45978    -24.214338  0.000  0.000  0.000  0.000  0.376  0.086  0.018  0.128  0.376  0.984
   1.41630    -24.214139  0.000  0.000  0.000  0.000  0.376  0.086  0.018  0.128  0.374  0.984
   1.37281    -24.213956  0.000  0.000  0.000  0.000  0.376  0.084  0.018  0.130  0.374  0.984
   1.32932    -24.213796  0.000  0.000  0.000  0.000  0.376  0.082  0.018  0.132  0.374  0.984
   1.28584    -24.213663  0.000  0.000  0.000  0.000  0.376  0.082  0.018  0.132  0.374  0.984
   1.24235    -24.213561  0.000  0.000  0.000  0.000  0.376  0.080  0.020  0.134  0.374  0.984
   1.19886    -24.213487  0.000  0.000  0.000  0.000  0.377  0.080  0.019  0.134  0.375  0.984
   1.19886    -24.213487  0.000  0.000  0.000  0.000  0.377  0.080  0.019  0.134  0.375  0.985
   1.15538    -24.213561  0.000  0.000  0.000  0.000  0.376  0.080  0.020  0.134  0.374  0.984
   1.11189    -24.213663  0.000  0.000  0.000  0.000  0.376  0.082  0.018  0.132  0.374  0.984
   1.06840    -24.213796  0.000  0.000  0.000  0.000  0.376  0.082  0.018  0.132  0.374  0.984
   1.02492    -24.213956  0.000  0.000  0.000  0.000  0.376  0.084  0.018  0.130  0.374  0.984
   0.98143    -24.214139  0.000  0.000  0.000  0.000  0.376  0.086  0.018  0.128  0.374  0.984
   0.93794    -24.214338  0.000  0.000  0.000  0.000  0.376  0.086  0.018  0.128  0.376  0.984
   0.89445    -24.214551  0.000  0.000  0.000  0.000  0.376  0.088  0.018  0.126  0.376  0.984
   0.85097    -24.214769  0.000  0.000  0.000  0.000  0.376  0.090  0.018  0.124  0.376  0.984
   0.80748    -24.214994  0.000  0.000  0.000  0.000  0.376  0.090  0.018  0.122  0.376  0.984
   0.76399    -24.215210  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.122  0.376  0.984
   0.72051    -24.215419  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.120  0.376  0.984
   0.67702    -24.215577  0.000  0.000  0.000  0.000  0.376  0.098  0.018  0.116  0.376  0.984
   0.63353    -24.215619  0.000  0.000  0.000  0.000  0.374  0.100  0.020  0.116  0.376  0.984
   0.59005    -24.215620  0.000  0.000  0.000  0.000  0.374  0.100  0.020  0.114  0.376  0.984
   0.54656    -24.215640  0.000  0.000  0.000  0.000  0.376  0.092  0.018  0.120  0.378  0.984
   0.50307    -24.215804  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.120  0.378  0.984
   0.45959    -24.215944  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.378  0.984
   0.41610    -24.216054  0.000  0.000  0.000  0.000  0.376  0.094  0.018  0.118  0.378  0.984
   0.37261    -24.216128  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   0.37261    -24.216128  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.118  0.378  0.984
   0.35300    -24.216112  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   0.33339    -24.216091  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   0.31378    -24.216066  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   0.29417    -24.216038  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   0.27456    -24.216010  0.000  0.000  0.000  0.000  0.376  0.096  0.018  0.116  0.378  0.984
   0.25494    -24.215978  0.000  0.000  0.000  0.000  0.376  0.098  0.018  0.114  0.378  0.984
   0.23533    -24.215946  0.000  0.000  0.000  0.000  0.376  0.098  0.018  0.114  0.378  0.984
