  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80  55
# Band-Index:    1
    0.000  -24.2170     0.984     0.000
    0.019  -24.2170     0.984     0.000
    0.039  -24.2170     0.984     0.000
    0.058  -24.2170     0.984     0.000
    0.077  -24.2171     0.984     0.000
    0.096  -24.2171     0.984     0.000
    0.116  -24.2171     0.984     0.000
    0.135  -24.2171     0.984     0.000
    0.154  -24.2171     0.984     0.000
    0.173  -24.2172     0.984     0.000
    0.193  -24.2172     0.984     0.000
    0.212  -24.2172     0.984     0.000
    0.231  -24.2172     0.984     0.000
    0.251  -24.2172     0.984     0.000
    0.270  -24.2172     0.984     0.000
    0.289  -24.2172     0.984     0.000
    0.308  -24.2172     0.984     0.000
    0.328  -24.2172     0.984     0.000
    0.347  -24.2172     0.984     0.000
    0.366  -24.2171     0.984     0.000
    0.366  -24.2171     0.984     0.000
    0.410  -24.2172     0.984     0.000
    0.453  -24.2172     0.984     0.000
    0.496  -24.2172     0.984     0.000
    0.540  -24.2171     0.984     0.000
    0.583  -24.2170     0.984     0.000
    0.626  -24.2169     0.984     0.000
    0.670  -24.2167     0.984     0.000
    0.713  -24.2166     0.984     0.000
    0.756  -24.2165     0.984     0.000
    0.800  -24.2164     0.984     0.000
    0.843  -24.2162     0.984     0.000
    0.886  -24.2160     0.984     0.000
    0.930  -24.2158     0.984     0.000
    0.973  -24.2156     0.984     0.000
    1.016  -24.2154     0.984     0.000
    1.060  -24.2152     0.984     0.000
    1.103  -24.2150     0.984     0.000
    1.146  -24.2148     0.984     0.000
    1.190  -24.2146     0.985     0.000
    1.190  -24.2146     0.985     0.000
    1.233  -24.2148     0.984     0.000
    1.276  -24.2150     0.984     0.000
    1.320  -24.2152     0.984     0.000
    1.363  -24.2154     0.984     0.000
    1.406  -24.2156     0.984     0.000
    1.450  -24.2158     0.984     0.000
    1.493  -24.2160     0.984     0.000
    1.536  -24.2162     0.984     0.000
    1.580  -24.2164     0.984     0.000
    1.623  -24.2165     0.984     0.000
    1.666  -24.2166     0.984     0.000
    1.710  -24.2167     0.984     0.000
    1.753  -24.2169     0.984     0.000
    1.796  -24.2170     0.984     0.000
    1.840  -24.2171     0.984     0.000
    1.883  -24.2172     0.984     0.000
    1.926  -24.2172     0.984     0.000
    1.970  -24.2172     0.984     0.000
    2.013  -24.2171     0.984     0.000
    2.013  -24.2171     0.984     0.000
    2.052  -24.2172     0.984     0.000
    2.091  -24.2172     0.984     0.000
    2.129  -24.2172     0.984     0.000
