#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 120  33
# Band-Index:    1
   0.00000    -24.247775  0.000  0.000  0.000  0.000  0.326  0.097  0.067  0.168  0.327  0.985
   0.03247    -24.247748  0.000  0.000  0.000  0.000  0.326  0.096  0.067  0.169  0.327  0.985
   0.06494    -24.247718  0.000  0.000  0.000  0.000  0.326  0.096  0.068  0.169  0.327  0.985
   0.09741    -24.247691  0.000  0.000  0.000  0.000  0.325  0.095  0.068  0.170  0.327  0.985
   0.12988    -24.247665  0.000  0.000  0.000  0.000  0.325  0.095  0.068  0.170  0.326  0.985
   0.16235    -24.247644  0.000  0.000  0.000  0.000  0.325  0.095  0.068  0.171  0.326  0.985
   0.19482    -24.247628  0.000  0.000  0.000  0.000  0.324  0.095  0.069  0.171  0.326  0.985
   0.22729    -24.247623  0.000  0.000  0.000  0.000  0.324  0.094  0.069  0.172  0.325  0.985
   0.25976    -24.247625  0.000  0.000  0.000  0.000  0.324  0.094  0.070  0.173  0.325  0.985
   0.29223    -24.247636  0.000  0.000  0.000  0.000  0.323  0.094  0.070  0.173  0.324  0.985
   0.32470    -24.247654  0.000  0.000  0.000  0.000  0.323  0.094  0.070  0.174  0.324  0.985
   0.35717    -24.247686  0.000  0.000  0.000  0.000  0.322  0.094  0.071  0.174  0.323  0.985
   0.38964    -24.247727  0.000  0.000  0.000  0.000  0.322  0.094  0.071  0.174  0.323  0.985
   0.42211    -24.247781  0.000  0.000  0.000  0.000  0.322  0.094  0.072  0.174  0.323  0.985
   0.45458    -24.247843  0.000  0.000  0.000  0.000  0.322  0.095  0.072  0.174  0.322  0.985
   0.48706    -24.247914  0.000  0.000  0.000  0.000  0.322  0.095  0.072  0.174  0.322  0.985
   0.51953    -24.247992  0.000  0.000  0.000  0.000  0.322  0.096  0.072  0.173  0.322  0.985
   0.55200    -24.248070  0.000  0.000  0.000  0.000  0.322  0.096  0.072  0.173  0.322  0.985
   0.58447    -24.248153  0.000  0.000  0.000  0.000  0.322  0.097  0.072  0.172  0.322  0.985
   0.61694    -24.248231  0.000  0.000  0.000  0.000  0.323  0.097  0.072  0.171  0.322  0.985
   0.64941    -24.248304  0.000  0.000  0.000  0.000  0.323  0.098  0.071  0.171  0.322  0.985
   0.68188    -24.248371  0.000  0.000  0.000  0.000  0.323  0.098  0.071  0.170  0.323  0.985
