  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80  55
# Band-Index:    1
    0.000  -24.2017     0.984     0.000
    0.022  -24.2017     0.984     0.000
    0.045  -24.2018     0.984     0.000
    0.067  -24.2019     0.984     0.000
    0.089  -24.2020     0.984     0.000
    0.112  -24.2021     0.984     0.000
    0.134  -24.2022     0.984     0.000
    0.156  -24.2023     0.984     0.000
    0.179  -24.2023     0.984     0.000
    0.201  -24.2024     0.984     0.000
    0.224  -24.2025     0.984     0.000
    0.246  -24.2025     0.984     0.000
    0.268  -24.2026     0.984     0.000
    0.291  -24.2026     0.984     0.000
    0.313  -24.2026     0.984     0.000
    0.335  -24.2026     0.984     0.000
    0.358  -24.2026     0.984     0.000
    0.380  -24.2026     0.984     0.000
    0.402  -24.2026     0.984     0.000
    0.425  -24.2026     0.984     0.000
    0.425  -24.2026     0.984     0.000
    0.465  -24.2027     0.984     0.000
    0.505  -24.2027     0.984     0.000
    0.546  -24.2027     0.984     0.000
    0.586  -24.2026     0.984     0.000
    0.626  -24.2026     0.984     0.000
    0.666  -24.2025     0.984     0.000
    0.706  -24.2024     0.984     0.000
    0.747  -24.2023     0.984     0.000
    0.787  -24.2022     0.984     0.000
    0.827  -24.2021     0.984     0.000
    0.867  -24.2020     0.984     0.000
    0.908  -24.2018     0.984     0.000
    0.948  -24.2017     0.984     0.000
    0.988  -24.2016     0.984     0.000
    1.028  -24.2016     0.984     0.000
    1.069  -24.2015     0.984     0.000
    1.109  -24.2014     0.984     0.000
    1.149  -24.2013     0.984     0.000
    1.189  -24.2012     0.985     0.000
    1.189  -24.2012     0.985     0.000
    1.230  -24.2013     0.984     0.000
    1.270  -24.2014     0.984     0.000
    1.310  -24.2015     0.984     0.000
    1.350  -24.2016     0.984     0.000
    1.391  -24.2016     0.984     0.000
    1.431  -24.2017     0.984     0.000
    1.471  -24.2018     0.984     0.000
    1.511  -24.2020     0.984     0.000
    1.552  -24.2021     0.984     0.000
    1.592  -24.2022     0.984     0.000
    1.632  -24.2023     0.984     0.000
    1.672  -24.2024     0.984     0.000
