#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  55
# Band-Index:    1
   0.00000    -24.348524  0.000  0.000  0.000  0.000  0.392  0.110  0.002  0.086  0.394  0.984
   0.02236    -24.348662  0.000  0.000  0.000  0.000  0.394  0.108  0.002  0.086  0.394  0.984
   0.04471    -24.348801  0.000  0.000  0.000  0.000  0.394  0.108  0.002  0.088  0.394  0.984
   0.06707    -24.348935  0.000  0.000  0.000  0.000  0.394  0.108  0.002  0.088  0.394  0.984
   0.08943    -24.349064  0.000  0.000  0.000  0.000  0.394  0.108  0.002  0.088  0.394  0.984
   0.11178    -24.349193  0.000  0.000  0.000  0.000  0.394  0.106  0.002  0.088  0.394  0.984
   0.13414    -24.349318  0.000  0.000  0.000  0.000  0.394  0.106  0.002  0.090  0.394  0.984
   0.15650    -24.349430  0.000  0.000  0.000  0.000  0.394  0.106  0.002  0.090  0.394  0.984
   0.17885    -24.349542  0.000  0.000  0.000  0.000  0.394  0.104  0.002  0.090  0.394  0.984
   0.20121    -24.349645  0.000  0.000  0.000  0.000  0.394  0.104  0.002  0.092  0.394  0.984
   0.22357    -24.349734  0.000  0.000  0.000  0.000  0.394  0.104  0.002  0.092  0.394  0.984
   0.24592    -24.349816  0.000  0.000  0.000  0.000  0.394  0.102  0.002  0.092  0.394  0.984
   0.26828    -24.349886  0.000  0.000  0.000  0.000  0.394  0.102  0.002  0.092  0.394  0.984
   0.29064    -24.349953  0.000  0.000  0.000  0.000  0.394  0.102  0.002  0.094  0.394  0.984
   0.31299    -24.350007  0.000  0.000  0.000  0.000  0.394  0.102  0.002  0.094  0.394  0.984
   0.33535    -24.350050  0.000  0.000  0.000  0.000  0.394  0.100  0.002  0.094  0.394  0.984
   0.35771    -24.350084  0.000  0.000  0.000  0.000  0.394  0.100  0.002  0.094  0.394  0.984
   0.38006    -24.350104  0.000  0.000  0.000  0.000  0.394  0.100  0.002  0.096  0.394  0.984
   0.40242    -24.350114  0.000  0.000  0.000  0.000  0.394  0.100  0.002  0.096  0.394  0.984
   0.42478    -24.350110  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.096  0.394  0.984
   0.42478    -24.350110  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.096  0.394  0.984
   0.46768    -24.350110  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.096  0.394  0.984
   0.51058    -24.350073  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.098  0.394  0.984
   0.55348    -24.350012  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.098  0.394  0.984
   0.59639    -24.349905  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.098  0.394  0.984
   0.63929    -24.349774  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.394  0.984
   0.68219    -24.349609  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.394  0.984
   0.72509    -24.349425  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.392  0.984
   0.76800    -24.349223  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.392  0.984
   0.81090    -24.349009  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.392  0.984
   0.85380    -24.348789  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.102  0.392  0.984
   0.89670    -24.348569  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.102  0.392  0.984
   0.93961    -24.348424  0.000  0.000  0.000  0.000  0.392  0.104  0.002  0.094  0.394  0.984
   0.98251    -24.348378  0.000  0.000  0.000  0.000  0.392  0.102  0.002  0.094  0.392  0.984
   1.02541    -24.348296  0.000  0.000  0.000  0.000  0.392  0.102  0.002  0.096  0.392  0.984
   1.06831    -24.348183  0.000  0.000  0.000  0.000  0.392  0.100  0.002  0.096  0.392  0.984
   1.11122    -24.348041  0.000  0.000  0.000  0.000  0.392  0.100  0.002  0.098  0.392  0.984
   1.15412    -24.347870  0.000  0.000  0.000  0.000  0.392  0.100  0.002  0.098  0.392  0.984
   1.19702    -24.347679  0.000  0.000  0.000  0.000  0.392  0.098  0.002  0.098  0.392  0.984
   1.23992    -24.347467  0.000  0.000  0.000  0.000  0.393  0.099  0.003  0.099  0.391  0.985
   1.23992    -24.347467  0.000  0.000  0.000  0.000  0.393  0.099  0.003  0.099  0.392  0.985
   1.28283    -24.347679  0.000  0.000  0.000  0.000  0.392  0.098  0.002  0.098  0.392  0.984
   1.32573    -24.347870  0.000  0.000  0.000  0.000  0.392  0.100  0.002  0.098  0.392  0.984
   1.36863    -24.348041  0.000  0.000  0.000  0.000  0.392  0.100  0.002  0.098  0.392  0.984
   1.41153    -24.348183  0.000  0.000  0.000  0.000  0.392  0.100  0.002  0.096  0.392  0.984
   1.45443    -24.348296  0.000  0.000  0.000  0.000  0.392  0.102  0.002  0.096  0.392  0.984
   1.49734    -24.348378  0.000  0.000  0.000  0.000  0.392  0.102  0.002  0.094  0.392  0.984
   1.54024    -24.348424  0.000  0.000  0.000  0.000  0.392  0.104  0.002  0.094  0.394  0.984
   1.58314    -24.348569  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.102  0.392  0.984
   1.62604    -24.348789  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.102  0.392  0.984
   1.66895    -24.349009  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.392  0.984
   1.71185    -24.349223  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.392  0.984
   1.75475    -24.349425  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.392  0.984
   1.79765    -24.349609  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.394  0.984
   1.84056    -24.349774  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.394  0.984
   1.88346    -24.349905  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.098  0.394  0.984
   1.92636    -24.350012  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.098  0.394  0.984
   1.96926    -24.350073  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.098  0.394  0.984
   2.01217    -24.350110  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.096  0.394  0.984
   2.05507    -24.350110  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.096  0.394  0.984
   2.05507    -24.350110  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.096  0.394  0.984
   2.09168    -24.350114  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.096  0.394  0.984
   2.12830    -24.350100  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.098  0.394  0.984
   2.16492    -24.350064  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.098  0.394  0.984
   2.20154    -24.350013  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.394  0.984
   2.23815    -24.349942  0.000  0.000  0.000  0.000  0.394  0.094  0.002  0.100  0.394  0.984
   2.27477    -24.349864  0.000  0.000  0.000  0.000  0.394  0.094  0.002  0.102  0.394  0.984
   2.31139    -24.349776  0.000  0.000  0.000  0.000  0.394  0.094  0.002  0.102  0.392  0.984
   2.34800    -24.349683  0.000  0.000  0.000  0.000  0.394  0.092  0.002  0.104  0.392  0.984
   2.38462    -24.349586  0.000  0.000  0.000  0.000  0.394  0.092  0.002  0.104  0.392  0.984
   2.42124    -24.349485  0.000  0.000  0.000  0.000  0.394  0.092  0.002  0.104  0.392  0.984
   2.45785    -24.349394  0.000  0.000  0.000  0.000  0.394  0.092  0.002  0.104  0.392  0.984
   2.49447    -24.349301  0.000  0.000  0.000  0.000  0.394  0.092  0.002  0.104  0.392  0.984
   2.53109    -24.349214  0.000  0.000  0.000  0.000  0.394  0.092  0.002  0.106  0.392  0.984
   2.56770    -24.349134  0.000  0.000  0.000  0.000  0.394  0.092  0.002  0.106  0.392  0.984
   2.60432    -24.349058  0.000  0.000  0.000  0.000  0.394  0.092  0.002  0.104  0.392  0.984
   2.64094    -24.348989  0.000  0.000  0.000  0.000  0.394  0.092  0.002  0.104  0.392  0.984
   2.67755    -24.348930  0.000  0.000  0.000  0.000  0.394  0.092  0.002  0.104  0.392  0.984
   2.71417    -24.348879  0.000  0.000  0.000  0.000  0.394  0.094  0.002  0.102  0.392  0.984
   2.75079    -24.348831  0.000  0.000  0.000  0.000  0.394  0.094  0.002  0.102  0.392  0.984
 
# Band-Index:    2
   2.75079    -24.348831  0.000  0.000  0.000  0.000  0.394  0.094  0.002  0.102  0.392  0.984
   2.71417    -24.348783  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.392  0.984
   2.67755    -24.348741  0.000  0.000  0.000  0.000  0.394  0.096  0.002  0.100  0.392  0.984
   2.64094    -24.348698  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.098  0.394  0.984
   2.60432    -24.348654  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.098  0.394  0.984
   2.56770    -24.348604  0.000  0.000  0.000  0.000  0.394  0.100  0.002  0.096  0.394  0.984
   2.53109    -24.348553  0.000  0.000  0.000  0.000  0.394  0.102  0.002  0.094  0.394  0.984
   2.49447    -24.348493  0.000  0.000  0.000  0.000  0.394  0.102  0.002  0.092  0.394  0.984
   2.45785    -24.348418  0.000  0.000  0.000  0.000  0.394  0.104  0.002  0.092  0.394  0.984
   2.42124    -24.348558  0.000  0.000  0.000  0.000  0.394  0.104  0.002  0.092  0.392  0.984
   2.38462    -24.348826  0.000  0.000  0.000  0.000  0.394  0.104  0.002  0.092  0.392  0.984
   2.34800    -24.349070  0.000  0.000  0.000  0.000  0.394  0.102  0.002  0.092  0.392  0.984
   2.31139    -24.349292  0.000  0.000  0.000  0.000  0.394  0.102  0.002  0.092  0.394  0.984
   2.27477    -24.349490  0.000  0.000  0.000  0.000  0.394  0.102  0.002  0.092  0.394  0.984
   2.23815    -24.349661  0.000  0.000  0.000  0.000  0.394  0.102  0.002  0.094  0.394  0.984
   2.20154    -24.349808  0.000  0.000  0.000  0.000  0.394  0.102  0.002  0.094  0.394  0.984
   2.16492    -24.349922  0.000  0.000  0.000  0.000  0.394  0.100  0.002  0.094  0.394  0.984
   2.12830    -24.350011  0.000  0.000  0.000  0.000  0.394  0.100  0.002  0.094  0.394  0.984
   2.09168    -24.350071  0.000  0.000  0.000  0.000  0.394  0.100  0.002  0.096  0.394  0.984
   2.05507    -24.350110  0.000  0.000  0.000  0.000  0.394  0.098  0.002  0.096  0.394  0.984
