#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 120  33
# Band-Index:    1
   0.00000    -24.531969  0.000  0.000  0.000  0.000  0.395  0.100  0.000  0.095  0.394  0.984
   0.03339    -24.531978  0.000  0.000  0.000  0.000  0.395  0.099  0.000  0.095  0.395  0.984
   0.06679    -24.531987  0.000  0.000  0.000  0.000  0.395  0.099  0.000  0.096  0.395  0.984
   0.10018    -24.531996  0.000  0.000  0.000  0.000  0.394  0.098  0.000  0.097  0.395  0.984
   0.13357    -24.532008  0.000  0.000  0.000  0.000  0.394  0.097  0.000  0.098  0.395  0.984
   0.16697    -24.532023  0.000  0.000  0.000  0.000  0.394  0.096  0.000  0.099  0.395  0.984
   0.20036    -24.532043  0.000  0.000  0.000  0.000  0.394  0.096  0.000  0.099  0.395  0.984
   0.23375    -24.532071  0.000  0.000  0.000  0.000  0.394  0.095  0.000  0.100  0.395  0.984
   0.26714    -24.532107  0.000  0.000  0.000  0.000  0.394  0.095  0.001  0.100  0.395  0.984
   0.30054    -24.532154  0.000  0.000  0.000  0.000  0.394  0.094  0.001  0.101  0.395  0.984
   0.33393    -24.532214  0.000  0.000  0.000  0.000  0.394  0.094  0.001  0.101  0.395  0.984
   0.36732    -24.532284  0.000  0.000  0.000  0.000  0.394  0.094  0.001  0.101  0.395  0.984
   0.40072    -24.532362  0.000  0.000  0.000  0.000  0.394  0.093  0.001  0.102  0.395  0.984
   0.43411    -24.532454  0.000  0.000  0.000  0.000  0.394  0.093  0.001  0.102  0.395  0.984
   0.46750    -24.532560  0.000  0.000  0.000  0.000  0.394  0.093  0.001  0.101  0.395  0.984
   0.50090    -24.532673  0.000  0.000  0.000  0.000  0.394  0.093  0.001  0.101  0.395  0.984
   0.53429    -24.532797  0.000  0.000  0.000  0.000  0.394  0.094  0.001  0.101  0.395  0.984
   0.56768    -24.532926  0.000  0.000  0.000  0.000  0.394  0.094  0.001  0.101  0.395  0.984
   0.60107    -24.533063  0.000  0.000  0.000  0.000  0.394  0.094  0.000  0.100  0.395  0.984
   0.63447    -24.533199  0.000  0.000  0.000  0.000  0.394  0.094  0.000  0.100  0.395  0.984
   0.66786    -24.533337  0.000  0.000  0.000  0.000  0.395  0.095  0.000  0.099  0.395  0.984
   0.70125    -24.533474  0.000  0.000  0.000  0.000  0.395  0.095  0.000  0.099  0.395  0.984
   0.73465    -24.533608  0.000  0.000  0.000  0.000  0.395  0.096  0.000  0.098  0.396  0.984
   0.76804    -24.533734  0.000  0.000  0.000  0.000  0.395  0.096  0.000  0.097  0.396  0.984
   0.80143    -24.533846  0.000  0.000  0.000  0.000  0.395  0.097  0.000  0.097  0.396  0.984
   0.83483    -24.533944  0.000  0.000  0.000  0.000  0.395  0.097  0.000  0.096  0.396  0.984
   0.86822    -24.534023  0.000  0.000  0.000  0.000  0.395  0.098  0.000  0.096  0.396  0.984
   0.90161    -24.534084  0.000  0.000  0.000  0.000  0.395  0.098  0.000  0.095  0.396  0.984
   0.93500    -24.534118  0.000  0.000  0.000  0.000  0.395  0.098  0.000  0.095  0.396  0.984
   0.96840    -24.534129  0.000  0.000  0.000  0.000  0.395  0.098  0.000  0.096  0.396  0.984
   0.96840    -24.534129  0.000  0.000  0.000  0.000  0.395  0.098  0.000  0.096  0.396  0.984
   0.99717    -24.534121  0.000  0.000  0.000  0.000  0.395  0.098  0.000  0.095  0.396  0.984
   1.02595    -24.534095  0.000  0.000  0.000  0.000  0.395  0.099  0.000  0.095  0.396  0.984
   1.05472    -24.534049  0.000  0.000  0.000  0.000  0.395  0.099  0.000  0.094  0.396  0.984
   1.08349    -24.533988  0.000  0.000  0.000  0.000  0.395  0.100  0.000  0.094  0.396  0.984
   1.11227    -24.533902  0.000  0.000  0.000  0.000  0.395  0.100  0.000  0.094  0.396  0.984
   1.14104    -24.533794  0.000  0.000  0.000  0.000  0.395  0.100  0.000  0.094  0.396  0.984
   1.16982    -24.533674  0.000  0.000  0.000  0.000  0.395  0.100  0.000  0.094  0.396  0.984
   1.19859    -24.533542  0.000  0.000  0.000  0.000  0.394  0.100  0.000  0.094  0.396  0.984
   1.22737    -24.533398  0.000  0.000  0.000  0.000  0.394  0.100  0.000  0.094  0.396  0.984
   1.25614    -24.533242  0.000  0.000  0.000  0.000  0.394  0.100  0.000  0.094  0.396  0.984
   1.28491    -24.533075  0.000  0.000  0.000  0.000  0.394  0.100  0.000  0.095  0.396  0.984
   1.31369    -24.532899  0.000  0.000  0.000  0.000  0.394  0.099  0.000  0.095  0.396  0.984
   1.34246    -24.532715  0.000  0.000  0.000  0.000  0.394  0.099  0.001  0.096  0.396  0.984
   1.37124    -24.532533  0.000  0.000  0.000  0.000  0.393  0.098  0.001  0.096  0.396  0.984
   1.40001    -24.532351  0.000  0.000  0.000  0.000  0.393  0.098  0.001  0.097  0.396  0.984
   1.42879    -24.532170  0.000  0.000  0.000  0.000  0.393  0.097  0.001  0.098  0.396  0.984
   1.45756    -24.531989  0.000  0.000  0.000  0.000  0.393  0.096  0.001  0.099  0.396  0.984
   1.48633    -24.531814  0.000  0.000  0.000  0.000  0.393  0.096  0.001  0.099  0.396  0.984
   1.51511    -24.531644  0.000  0.000  0.000  0.000  0.392  0.095  0.001  0.100  0.396  0.984
   1.54388    -24.531481  0.000  0.000  0.000  0.000  0.392  0.094  0.001  0.101  0.396  0.984
   1.57266    -24.531332  0.000  0.000  0.000  0.000  0.392  0.093  0.001  0.102  0.396  0.984
   1.60143    -24.531201  0.000  0.000  0.000  0.000  0.392  0.092  0.001  0.103  0.396  0.984
   1.63021    -24.531083  0.000  0.000  0.000  0.000  0.392  0.091  0.001  0.104  0.396  0.984
   1.65898    -24.530974  0.000  0.000  0.000  0.000  0.392  0.090  0.001  0.105  0.396  0.984
